@relation aux
@attribute DMFT.Begin {'0','1','2','3','4','5','6','7','8'}
@attribute DMFT.End {'0','1','2','3','4','5','6'}
@attribute Gender {'Female','Male'}
@attribute Ethnic {'Black','Dark','White'}
@attribute class {'1','2'}
@data
'6','3','Male','Black','2'
'2','1','Female','Black','2'
'1','0','Male','Black','2'
'7','2','Male','White','2'
'3','3','Female','White','2'
'0','0','Female','Black','2'
'4','3','Male','White','2'
'2','1','Male','White','2'
'8','2','Female','Dark','2'
'3','3','Male','White','2'
'0','0','Female','Black','2'
'5','2','Male','Dark','2'
'2','2','Female','White','2'
'5','2','Female','Dark','2'
'3','2','Female','White','2'
'3','1','Female','White','2'
'2','1','Female','White','2'
'2','3','Male','White','2'
'2','1','Male','White','2'
'0','0','Female','Dark','2'
'8','1','Female','White','2'
'2','2','Female','White','2'
'5','1','Female','Dark','2'
'3','3','Male','Dark','2'
'5','1','Male','Black','2'
'4','3','Male','Black','2'
'6','4','Male','White','2'
'2','1','Female','Dark','2'
'8','1','Female','Dark','2'
'5','2','Male','Dark','2'
'4','3','Female','Dark','2'
'4','0','Male','Dark','2'
'1','1','Female','White','2'
'1','1','Male','White','2'
'6','5','Male','White','2'
'4','4','Male','Dark','2'
'6','4','Female','White','2'
'0','0','Female','White','2'
'7','0','Female','White','2'
'5','2','Male','White','2'
'0','1','Female','White','2'
'0','2','Female','White','2'
'8','5','Female','Dark','2'
'6','4','Male','White','2'
'7','5','Male','White','2'
'5','4','Female','Black','2'
'8','3','Male','White','2'
'1','2','Female','White','2'
'4','0','Male','White','2'
'4','2','Female','Black','2'
'4','1','Male','White','2'
'5','4','Male','White','2'
'4','3','Male','Black','2'
'5','1','Male','Dark','2'
'6','2','Male','Dark','2'
'6','4','Male','Black','2'
'2','1','Male','Black','2'
'4','3','Female','White','2'
'2','2','Female','Dark','2'
'8','2','Female','White','2'
'2','0','Male','White','2'
'3','0','Female','Black','2'
'3','3','Male','Black','2'
'8','4','Female','White','2'
'0','3','Female','White','2'
'7','5','Male','White','2'
'0','0','Female','White','2'
'2','2','Male','White','2'
'7','3','Female','White','2'
'5','1','Male','Dark','2'
'4','2','Male','Dark','2'
'6','3','Female','White','2'
'6','0','Male','Black','2'
'0','0','Male','White','2'
'4','2','Male','White','2'
'2','4','Female','White','2'
'7','5','Female','White','2'
'0','0','Male','Dark','2'
'6','0','Female','White','2'
'6','2','Female','White','2'
'2','3','Male','Black','2'
'0','2','Male','Dark','2'
'5','2','Female','Black','2'
'4','3','Male','Black','2'
'0','0','Female','White','2'
'3','1','Female','Dark','2'
'2','1','Female','White','2'
'0','1','Female','Dark','2'
'3','2','Female','Black','2'
'7','5','Female','White','2'
'7','2','Female','White','2'
'6','3','Male','White','2'
'6','2','Male','Black','2'
'3','1','Female','White','2'
'0','0','Female','White','2'
'6','2','Female','White','2'
'7','0','Male','White','2'
'4','3','Male','White','2'
'4','0','Male','Black','2'
'1','1','Male','Black','2'
'2','2','Female','White','2'
'2','0','Female','White','2'
'4','0','Female','White','2'
'2','0','Male','White','2'
'2','1','Female','Dark','2'
'5','1','Male','Black','2'
'1','2','Female','Black','2'
'7','3','Female','White','2'
'4','1','Female','White','2'
'5','4','Male','Dark','2'
'4','3','Male','White','2'
'0','0','Female','White','2'
'0','0','Female','White','2'
'7','4','Female','White','2'
'8','0','Male','White','2'
'5','1','Male','Black','2'
'6','4','Female','Dark','2'
'4','0','Male','Dark','2'
'8','0','Male','White','2'
'4','2','Male','Black','2'
'7','6','Male','Black','2'
'4','1','Male','White','2'
'6','1','Male','Dark','2'
'4','0','Male','Dark','2'
'3','4','Male','Dark','2'
'6','2','Male','Dark','2'
'0','0','Male','Black','2'
'3','1','Female','White','2'
'6','2','Female','Dark','2'
'6','0','Female','Dark','2'
'2','2','Male','Dark','2'
'3','4','Female','White','2'
'5','3','Female','Dark','2'
'4','4','Male','White','2'
'5','3','Male','White','2'
'7','2','Male','Dark','2'
'0','0','Male','White','2'
'6','0','Female','White','2'
'5','0','Female','White','2'
'3','0','Male','White','2'
'6','4','Female','White','2'
'1','0','Male','Dark','2'
'4','6','Female','Black','2'
'2','0','Female','Dark','2'
'8','4','Male','Dark','2'
'4','3','Female','White','2'
'2','1','Male','Black','2'
'1','1','Female','Dark','2'
'3','2','Female','White','2'
'0','0','Male','White','2'
'4','1','Male','Dark','2'
'0','0','Male','Black','2'
'3','4','Male','White','2'
'2','1','Female','Dark','2'
'5','4','Female','Dark','2'
'1','0','Male','Black','2'
'2','0','Female','White','2'
'2','1','Male','White','2'
'0','0','Male','White','2'
'0','1','Female','White','2'
'0','0','Female','Dark','2'
'4','0','Male','Black','2'
'8','0','Female','White','2'
'4','1','Female','White','2'
'6','1','Female','Dark','2'
'4','0','Female','White','2'
'1','0','Male','Dark','2'
'0','0','Male','White','2'
'7','3','Male','Black','2'
'6','1','Male','Dark','2'
'5','2','Female','Dark','2'
'2','1','Male','White','2'
'3','1','Female','Dark','2'
'2','2','Female','Dark','2'
'0','0','Female','White','2'
'8','0','Female','White','2'
'0','0','Female','Dark','2'
'0','1','Male','Dark','2'
'0','0','Male','White','2'
'0','0','Male','Dark','2'
'2','0','Male','White','2'
'0','1','Male','Dark','2'
'2','2','Male','Dark','2'
'2','1','Female','Dark','2'
'3','1','Female','Dark','2'
'0','0','Female','Dark','2'
'0','0','Female','Black','2'
'2','0','Female','White','2'
'1','1','Male','Dark','2'
'6','0','Male','Black','2'
'7','5','Male','Dark','2'
'0','0','Female','White','2'
'0','0','Female','Dark','2'
'2','1','Female','Black','2'
'2','2','Female','Black','2'
'5','1','Male','White','2'
'4','3','Male','White','2'
'0','0','Female','Black','2'
'7','3','Female','White','2'
'0','0','Male','Black','2'
'0','3','Male','Dark','2'
'8','1','Male','White','2'
'1','0','Female','Black','2'
'6','1','Female','White','2'
'3','1','Female','White','2'
'0','2','Female','White','2'
'6','0','Female','Dark','2'
'3','2','Female','Black','2'
'0','0','Female','Dark','2'
'0','1','Male','Dark','2'
'8','4','Male','Dark','2'
'6','1','Female','Black','2'
'2','4','Female','White','2'
'0','0','Male','Dark','2'
'3','3','Female','White','2'
'3','0','Male','White','2'
'6','2','Female','White','2'
'0','0','Male','Dark','2'
'7','5','Female','Dark','2'
'0','0','Male','Dark','2'
'5','1','Male','Dark','2'
'2','4','Male','White','2'
'4','4','Female','White','2'
'1','1','Female','Dark','2'
'0','3','Male','White','2'
'6','2','Male','Dark','2'
'3','0','Female','White','2'
'0','0','Female','White','2'
'2','2','Male','White','2'
'0','0','Male','White','2'
'0','0','Male','White','2'
'0','1','Male','Dark','2'
'0','1','Male','Dark','2'
'0','0','Male','White','2'
'3','0','Male','White','2'
'8','3','Male','Black','2'
'0','2','Female','White','2'
'5','1','Female','White','2'
'7','2','Male','Dark','2'
'0','2','Male','Dark','2'
'4','0','Female','Dark','2'
'2','0','Female','White','2'
'3','2','Female','Dark','2'
'0','0','Male','Dark','2'
'7','5','Male','White','2'
'0','0','Male','Dark','2'
'0','0','Male','Black','2'
'1','0','Male','Dark','2'
'0','0','Male','Dark','2'
'3','4','Male','White','2'
'4','2','Male','Dark','2'
'7','2','Male','Black','2'
'5','4','Female','Dark','2'
'4','3','Male','Dark','2'
'5','4','Female','Dark','2'
'4','1','Female','Black','2'
'6','3','Female','White','2'
'3','0','Male','White','2'
'6','3','Male','White','2'
'2','2','Female','Black','2'
'2','2','Female','Dark','2'
'3','1','Male','Black','2'
'5','2','Male','White','2'
'4','2','Female','Dark','2'
'5','3','Male','White','2'
'5','1','Male','White','2'
'3','2','Male','Dark','2'
'1','0','Female','Dark','2'
'4','2','Female','Dark','2'
'4','1','Male','Black','2'
'2','2','Male','Dark','2'
'4','1','Male','Dark','2'
'8','3','Male','Dark','2'
'4','3','Male','Black','2'
'2','1','Male','Dark','2'
'1','2','Female','Black','2'
'5','4','Male','White','2'
'0','0','Female','Black','2'
'3','0','Female','Dark','2'
'5','3','Male','Dark','2'
'0','0','Female','Dark','2'
'6','4','Female','White','2'
'3','2','Male','White','2'
'3','3','Male','White','2'
'6','3','Male','White','2'
'5','3','Male','Dark','2'
'5','4','Female','Dark','2'
'1','0','Male','White','2'
'0','0','Female','White','2'
'6','5','Male','Dark','2'
'2','3','Female','Black','2'
'0','0','Male','Black','2'
'0','0','Male','Black','2'
'8','4','Male','White','2'
'4','5','Male','White','2'
'7','1','Male','White','2'
'6','6','Male','Dark','2'
'6','5','Male','White','2'
'4','5','Female','Black','2'
'8','6','Male','White','2'
'8','6','Male','Dark','2'
'1','1','Female','White','2'
'4','2','Male','Black','2'
'7','4','Female','Dark','2'
'1','1','Female','Dark','2'
'1','2','Female','White','2'
'7','5','Male','White','2'
'3','0','Female','White','2'
'6','2','Female','Dark','2'
'2','3','Female','White','2'
'0','0','Female','Black','2'
'5','3','Male','Black','2'
'2','2','Male','Dark','2'
'0','0','Male','Dark','2'
'0','0','Male','White','2'
'5','4','Male','Black','2'
'3','3','Male','Dark','2'
'2','2','Female','Dark','2'
'0','0','Male','Dark','2'
'4','1','Male','Dark','2'
'1','0','Female','Dark','2'
'2','0','Female','Dark','2'
'8','6','Male','Black','2'
'2','1','Male','Dark','2'
'0','1','Male','Dark','2'
'5','5','Male','Dark','2'
'7','6','Female','White','2'
'1','1','Female','White','2'
'0','0','Female','White','2'
'8','6','Female','Black','2'
'0','1','Male','Dark','2'
'5','3','Male','Dark','2'
'4','1','Male','White','2'
'4','5','Female','Dark','2'
'3','0','Female','White','2'
'5','1','Female','Dark','2'
'5','5','Female','White','2'
'5','4','Female','White','2'
'0','1','Female','Dark','2'
'6','4','Female','Dark','2'
'0','0','Female','Black','2'
'8','3','Male','White','2'
'8','6','Male','White','2'
'0','2','Male','Dark','2'
'5','5','Male','Black','2'
'7','5','Male','White','2'
'6','5','Female','Dark','2'
'0','0','Female','Dark','2'
'7','4','Female','White','2'
'2','2','Male','Dark','2'
'6','5','Male','Dark','2'
'3','2','Male','Dark','2'
'5','1','Female','White','2'
'7','3','Male','Dark','2'
'7','1','Female','Black','2'
'6','3','Female','Dark','2'
'3','0','Male','White','2'
'1','1','Female','Dark','2'
'3','2','Female','White','2'
'5','6','Male','White','2'
'6','3','Male','Dark','2'
'2','0','Male','Dark','2'
'7','3','Male','White','2'
'4','4','Male','Dark','2'
'2','2','Male','Black','2'
'4','0','Male','Dark','2'
'5','3','Female','Dark','2'
'1','1','Male','Dark','2'
'3','1','Male','White','2'
'1','1','Male','White','2'
'2','0','Male','White','2'
'3','5','Male','Dark','2'
'8','6','Male','Dark','2'
'4','3','Male','White','2'
'2','2','Female','White','2'
'1','3','Female','White','2'
'4','2','Female','White','2'
'4','0','Female','White','2'
'0','0','Female','Dark','2'
'0','1','Female','White','2'
'6','3','Female','White','2'
'4','2','Female','Dark','2'
'8','3','Male','Black','2'
'1','3','Male','Dark','2'
'3','1','Male','Dark','2'
'2','1','Male','Dark','2'
'3','2','Male','Dark','2'
'3','2','Male','White','2'
'1','2','Male','White','2'
'6','2','Female','White','2'
'8','2','Male','Dark','2'
'7','0','Male','Dark','2'
'7','3','Male','White','2'
'5','1','Male','Dark','2'
'3','2','Female','White','2'
'0','5','Female','Dark','2'
'3','4','Male','Black','2'
'6','3','Male','White','2'
'0','0','Female','White','2'
'5','1','Male','White','2'
'7','2','Male','White','2'
'1','1','Female','White','2'
'7','5','Male','Dark','2'
'7','6','Male','Dark','2'
'7','4','Male','Dark','2'
'6','4','Female','White','2'
'2','3','Female','White','2'
'5','3','Female','White','2'
'0','0','Male','Black','2'
'0','1','Male','Black','2'
'0','2','Female','Black','2'
'0','0','Male','Dark','2'
'7','5','Male','White','2'
'4','3','Female','Dark','2'
'0','1','Female','White','2'
'1','1','Male','Black','2'
'1','0','Female','Black','2'
'1','1','Male','White','2'
'0','0','Female','Dark','2'
'0','0','Male','White','2'
'2','5','Male','White','2'
'4','1','Male','White','2'
'5','3','Male','Dark','2'
'6','3','Female','Dark','2'
'0','0','Female','Dark','2'
'3','1','Female','White','2'
'2','2','Female','Dark','2'
'1','2','Female','Black','2'
'0','0','Female','Dark','2'
'3','2','Female','White','2'
'4','3','Male','Dark','2'
'7','5','Male','Dark','2'
'3','1','Male','White','2'
'4','4','Female','White','2'
'0','0','Female','Dark','2'
'5','3','Female','White','2'
'1','1','Female','White','2'
'7','5','Male','White','2'
'4','3','Male','Dark','2'
'8','2','Male','Dark','2'
'0','0','Female','White','2'
'8','6','Female','White','2'
'3','0','Female','Dark','2'
'4','4','Female','Black','2'
'1','2','Female','White','2'
'0','1','Female','White','2'
'8','5','Male','Black','2'
'8','3','Male','Dark','2'
'1','0','Male','Dark','2'
'2','4','Female','White','2'
'6','5','Male','Dark','2'
'0','0','Male','White','2'
'8','6','Male','White','2'
'5','0','Female','Dark','2'
'1','1','Female','Dark','2'
'0','2','Female','Dark','2'
'1','0','Male','Dark','2'
'2','3','Female','White','2'
'4','3','Female','White','2'
'0','0','Male','Dark','2'
'2','4','Male','White','2'
'0','3','Female','White','2'
'4','3','Female','Dark','2'
'6','4','Female','Dark','2'
'4','2','Male','Dark','2'
'7','1','Male','Dark','2'
'0','0','Female','Dark','2'
'3','1','Female','Dark','2'
'0','4','Female','Dark','2'
'3','3','Male','Dark','2'
'8','5','Female','Black','2'
'2','2','Male','Dark','2'
'6','3','Female','White','2'
'8','5','Female','Dark','2'
'3','1','Female','Dark','2'
'5','3','Male','White','2'
'2','0','Female','Dark','2'
'0','1','Female','White','2'
'4','1','Male','Black','2'
'3','3','Female','Dark','2'
'5','5','Male','Dark','2'
'6','4','Male','Dark','2'
'0','0','Male','Dark','2'
'6','0','Male','Dark','2'
'8','3','Male','Dark','2'
'4','1','Female','White','2'
'1','1','Male','Dark','2'
'0','0','Male','Dark','2'
'0','1','Female','Dark','2'
'5','2','Male','Dark','2'
'0','0','Female','White','2'
'1','2','Female','Black','2'
'3','0','Female','White','2'
'0','0','Male','Dark','2'
'0','2','Female','Black','2'
'4','2','Female','White','2'
'6','3','Male','Dark','2'
'5','3','Male','White','2'
'5','3','Male','White','2'
'1','3','Female','Dark','2'
'1','1','Male','Dark','2'
'5','4','Female','White','2'
'0','1','Male','Black','2'
'6','2','Male','Dark','2'
'5','0','Female','White','2'
'2','2','Male','Dark','2'
'1','0','Female','White','2'
'8','5','Female','White','2'
'4','3','Female','White','2'
'0','0','Female','Dark','2'
'5','5','Female','White','2'
'3','0','Female','Dark','2'
'0','0','Male','Dark','2'
'0','1','Male','Dark','2'
'8','5','Male','White','2'
'6','4','Male','Dark','2'
'4','2','Male','Dark','2'
'3','2','Male','Dark','2'
'4','3','Male','White','2'
'7','5','Female','White','1'
'5','4','Male','Dark','1'
'2','1','Male','Dark','1'
'0','1','Female','Dark','1'
'4','0','Male','Dark','1'
'0','0','Male','Dark','1'
'0','0','Male','Black','1'
'7','3','Male','White','1'
'0','0','Female','Black','1'
'6','2','Female','White','1'
'2','1','Male','Black','1'
'1','0','Female','White','1'
'0','0','Female','Dark','1'
'8','1','Female','White','1'
'3','2','Female','White','1'
'3','3','Male','Dark','1'
'4','3','Male','White','1'
'0','0','Male','Dark','1'
'5','3','Male','White','1'
'7','6','Male','Dark','1'
'1','1','Female','Black','1'
'5','4','Female','White','1'
'5','2','Female','Dark','1'
'2','0','Female','White','1'
'1','0','Female','Dark','1'
