@relation aux
@attribute Political_system {'Poorly','Very_poorly','Very_well','Well'}
@attribute Age {'19-29','30-44','45-59','60-74','75+'}
@attribute Time_of_survey {'1991','1992'}
@attribute Schooling {'Basic','Basic_incomplete','Intensive','Medium','Upper_medium'}
@attribute Region {'East_Germany','West_Germany'}
@attribute class {'1','2'}
@data
'Very_poorly','19-29','1991','Basic_incomplete','West_Germany','1'
'Very_poorly','19-29','1991','Basic','West_Germany','1'
'Very_poorly','19-29','1991','Medium','West_Germany','1'
'Very_poorly','19-29','1991','Upper_medium','West_Germany','1'
'Very_poorly','19-29','1991','Intensive','West_Germany','1'
'Very_poorly','19-29','1991','Basic_incomplete','East_Germany','1'
'Very_poorly','19-29','1991','Basic','East_Germany','1'
'Very_poorly','19-29','1991','Medium','East_Germany','1'
'Very_poorly','19-29','1991','Upper_medium','East_Germany','1'
'Very_poorly','19-29','1991','Intensive','East_Germany','1'
'Poorly','19-29','1991','Basic_incomplete','West_Germany','1'
'Poorly','19-29','1991','Basic','West_Germany','2'
'Poorly','19-29','1991','Medium','West_Germany','2'
'Poorly','19-29','1991','Upper_medium','West_Germany','2'
'Poorly','19-29','1991','Intensive','West_Germany','2'
'Poorly','19-29','1991','Basic_incomplete','East_Germany','1'
'Poorly','19-29','1991','Basic','East_Germany','1'
'Poorly','19-29','1991','Medium','East_Germany','2'
'Poorly','19-29','1991','Upper_medium','East_Germany','1'
'Poorly','19-29','1991','Intensive','East_Germany','2'
'Well','19-29','1991','Basic_incomplete','West_Germany','1'
'Well','19-29','1991','Basic','West_Germany','2'
'Well','19-29','1991','Medium','West_Germany','2'
'Well','19-29','1991','Upper_medium','West_Germany','1'
'Well','19-29','1991','Intensive','West_Germany','1'
'Well','19-29','1991','Basic_incomplete','East_Germany','1'
'Well','19-29','1991','Basic','East_Germany','1'
'Well','19-29','1991','Medium','East_Germany','2'
'Well','19-29','1991','Upper_medium','East_Germany','1'
'Well','19-29','1991','Intensive','East_Germany','1'
'Very_well','19-29','1991','Basic_incomplete','West_Germany','1'
'Very_well','19-29','1991','Basic','West_Germany','1'
'Very_well','19-29','1991','Medium','West_Germany','1'
'Very_well','19-29','1991','Upper_medium','West_Germany','1'
'Very_well','19-29','1991','Intensive','West_Germany','1'
'Very_well','19-29','1991','Basic_incomplete','East_Germany','1'
'Very_well','19-29','1991','Basic','East_Germany','1'
'Very_well','19-29','1991','Medium','East_Germany','1'
'Very_well','19-29','1991','Upper_medium','East_Germany','1'
'Very_well','19-29','1991','Intensive','East_Germany','1'
'Very_poorly','30-44','1991','Basic_incomplete','West_Germany','1'
'Very_poorly','30-44','1991','Basic','West_Germany','2'
'Very_poorly','30-44','1991','Medium','West_Germany','2'
'Very_poorly','30-44','1991','Upper_medium','West_Germany','1'
'Very_poorly','30-44','1991','Intensive','West_Germany','1'
'Very_poorly','30-44','1991','Basic_incomplete','East_Germany','1'
'Very_poorly','30-44','1991','Basic','East_Germany','1'
'Very_poorly','30-44','1991','Medium','East_Germany','1'
'Very_poorly','30-44','1991','Upper_medium','East_Germany','1'
'Very_poorly','30-44','1991','Intensive','East_Germany','1'
