@relation aux
@attribute WMC numeric
@attribute DIT numeric
@attribute NOC numeric
@attribute CBO numeric
@attribute RFC numeric
@attribute LCOM numeric
@attribute NPM numeric
@attribute LOC numeric
@attribute class {'1','2'}
@data
30,2,0,4,51,89,2,780,'1'
9,1,0,6,21,92,9,194,'2'
4,1,0,0,16,50,0,92,'2'
4,0,2,1,4,0,4,7,'2'
33,1,0,7,45,56,32,352,'2'
14,3,0,7,37,75,13,167,'2'
21,1,0,5,33,71,17,299,'2'
4,1,4,11,16,75,4,257,'1'
0,0,2,0,0,0,0,68,'2'
2,4,0,1,43,0,2,13,'2'
34,2,0,6,51,92,6,1595,'2'
3,6,0,30,630,45,1,467,'2'
2,1,0,15,14,50,1,91,'2'
5,1,0,20,17,50,5,82,'2'
4,1,0,3,16,0,4,17,'2'
16,1,0,8,28,82,14,181,'2'
3,2,0,17,73,22,2,73,'2'
1,1,0,11,13,0,1,58,'2'
18,3,0,9,49,83,18,307,'2'
4,2,0,4,24,33,0,25,'2'
3,0,6,0,3,100,0,6,'2'
6,1,0,5,18,62,5,45,'2'
3,2,0,5,23,33,0,28,'2'
5,2,0,5,25,72,0,91,'2'
5,3,0,5,36,70,5,54,'2'
4,1,0,1,16,0,3,18,'2'
4,3,0,5,41,91,3,37,'2'
5,1,0,5,17,60,3,91,'2'
3,2,0,5,23,16,0,43,'2'
8,1,0,5,20,96,8,177,'2'
4,1,0,0,16,0,3,18,'2'
3,3,0,3,69,0,3,15,'2'
5,3,0,5,38,70,5,54,'2'
3,2,0,4,23,0,0,37,'2'
3,2,0,5,23,33,0,38,'2'
5,2,0,7,25,9,0,72,'2'
3,2,0,3,23,0,0,11,'2'
5,2,0,5,25,30,0,38,'2'
5,1,0,5,17,62,3,83,'2'
4,1,0,1,16,16,3,20,'2'
3,2,0,3,23,33,0,25,'2'
4,2,0,3,24,50,0,25,'2'
14,1,0,6,26,65,10,104,'2'
7,2,0,5,27,46,0,123,'2'
8,1,13,3,20,75,0,35,'2'
46,2,1,34,66,95,26,666,'2'
2,2,0,16,32,0,1,91,'1'
6,0,1,2,6,0,6,8,'1'
4,2,0,14,34,0,1,42,'1'
12,1,0,4,24,48,0,80,'1'
3,2,0,7,33,66,2,27,'1'
8,2,0,14,38,73,2,94,'1'
3,2,0,6,33,77,2,25,'1'
4,2,0,13,34,0,2,80,'1'
7,1,0,4,19,78,3,65,'1'
4,2,0,10,27,75,3,83,'1'
2,2,0,5,32,0,1,13,'1'
1,2,0,1,31,100,1,7,'1'
4,3,0,6,37,75,4,42,'1'
2,0,2,0,2,0,2,5,'1'
7,1,1,0,7,0,7,10,'1'
9,2,0,20,39,72,7,110,'1'
2,2,0,13,32,50,1,76,'1'
0,0,1,1,0,0,0,81,'1'
5,1,0,6,17,0,5,56,'1'
3,2,0,8,33,0,2,75,'1'
4,1,1,14,16,75,4,30,'1'
2,2,0,4,32,0,1,15,'1'
2,2,0,6,32,50,1,47,'1'
44,1,0,20,56,87,29,712,'1'
2,2,0,4,32,0,1,17,'1'
11,1,2,18,23,59,8,129,'1'
3,4,0,5,44,33,3,20,'1'
86,2,0,39,109,0,84,155,'1'
10,2,0,26,40,90,1,190,'1'
50,1,0,8,62,90,7,2098,'1'
13,1,0,5,25,30,13,59,'1'
2,2,0,5,32,50,1,15,'1'
5,2,0,9,35,65,4,66,'1'
3,2,0,6,33,0,2,37,'1'
0,0,13,1,0,0,0,268,'1'
5,2,0,6,35,65,3,56,'1'
351,1,0,70,363,91,88,5317,'1'
5,2,0,11,32,53,4,47,'1'
2,2,0,6,32,0,2,15,'1'
15,1,1,25,27,82,10,220,'1'
19,1,0,26,31,81,8,537,'1'
10,2,0,6,95,0,7,53,'1'
2,2,0,1,32,50,1,6,'1'
8,2,0,12,38,75,6,56,'1'
4,2,0,7,34,0,2,53,'1'
31,1,0,8,43,80,25,446,'1'
73,1,1,33,85,95,48,765,'1'
56,1,0,45,68,93,45,616,'1'
6,1,0,21,18,0,2,122,'1'
31,1,0,41,43,0,14,605,'1'
22,1,0,43,34,89,6,693,'1'
18,1,38,11,30,88,18,105,'1'
6,2,0,11,36,83,2,55,'1'
3,1,0,2,15,0,3,13,'1'
6,1,1,8,18,83,6,85,'1'
10,4,0,9,59,65,10,71,'1'
1,2,0,1,16,0,1,11,'1'
2,1,0,1,14,93,2,18,'1'
9,1,0,19,21,59,3,156,'1'
6,3,0,3,43,96,4,71,'1'
5,1,0,4,17,70,5,35,'1'
5,2,0,9,35,40,2,80,'1'
1,1,0,1,13,0,1,10,'1'
10,1,0,19,22,85,3,208,'1'
4,2,0,12,34,75,1,88,'1'
12,1,0,7,24,76,7,73,'1'
4,2,0,7,22,0,4,26,'1'
4,1,0,4,16,25,3,25,'1'
11,4,0,5,60,72,10,148,'1'
7,2,0,35,23,0,5,220,'1'
3,1,0,10,15,66,3,66,'1'
2,2,0,3,32,50,2,12,'1'
4,2,0,7,34,50,2,25,'1'
1,4,0,1,42,0,1,7,'1'
1,4,0,1,42,0,1,3,'1'
3,1,1,3,15,66,3,25,'1'
6,2,0,21,36,85,1,164,'1'
12,3,2,4,49,63,9,87,'1'
2,2,0,4,32,0,1,15,'1'
2,0,1,2,2,0,2,8,'1'
4,3,3,5,41,0,3,23,'1'
2,2,0,8,32,56,1,67,'1'
3,2,0,11,33,66,2,45,'1'
2,2,0,9,32,50,1,41,'1'
4,2,0,9,34,50,2,78,'1'
32,1,1,31,44,91,19,300,'1'
2,3,0,1,39,0,2,5,'1'
3,2,0,12,33,66,1,107,'1'
5,2,0,18,35,70,1,79,'1'
2,2,0,8,32,0,2,18,'1'
17,0,1,2,17,0,0,24,'1'
5,0,1,2,5,0,0,20,'1'
4,1,0,7,16,75,1,102,'1'
23,1,0,13,35,88,18,301,'1'
0,1,0,1,12,0,0,6,'1'
22,1,0,11,34,93,7,397,'1'
31,1,0,10,43,85,17,967,'1'
0,0,1,0,0,0,0,181,'1'
11,1,0,4,23,9,10,143,'1'
8,1,0,2,20,60,0,97,'1'
2,1,0,13,14,0,2,63,'2'
8,7,0,13,850,77,7,114,'2'
2,0,8,1,2,0,0,5,'2'
2,1,0,18,14,0,2,86,'1'
4,6,0,15,780,62,3,137,'2'
3,1,0,14,15,33,3,101,'2'
3,1,0,10,15,0,2,48,'2'
2,1,0,15,14,0,2,84,'2'
4,7,0,15,795,50,3,138,'2'
2,1,0,10,14,0,2,119,'2'
3,1,0,18,15,0,2,133,'2'
13,1,0,7,25,71,12,106,'1'
13,1,0,10,25,72,13,134,'1'
5,2,0,8,30,53,4,78,'2'
13,2,0,16,89,71,8,213,'1'
14,1,0,10,26,90,13,463,'1'
30,1,0,11,42,91,30,198,'1'
10,2,0,19,26,68,10,207,'1'
7,2,0,11,27,66,3,141,'2'
2,0,2,2,2,0,2,6,'2'
12,1,0,8,24,66,10,124,'2'
18,2,1,16,43,84,11,547,'1'
8,1,2,4,20,70,5,55,'2'
4,1,1,5,16,92,4,77,'2'
1,1,0,2,13,0,1,24,'2'
2,1,0,2,14,100,2,9,'2'
6,1,0,2,18,66,6,33,'1'
10,1,0,6,22,85,9,151,'1'
12,1,0,17,24,70,6,628,'1'
7,1,0,2,19,53,2,41,'2'
7,1,2,11,19,47,7,61,'2'
56,1,0,59,68,97,52,836,'1'
17,1,0,31,29,75,9,393,'2'
2,2,0,2,25,0,2,49,'2'
3,1,0,8,15,16,3,97,'1'
2,2,0,2,25,0,2,39,'2'
12,2,0,37,28,79,3,720,'1'
14,1,0,10,26,74,11,309,'2'
10,1,0,3,22,19,7,117,'2'
8,1,0,26,20,50,4,298,'1'
6,1,1,1,18,0,6,14,'1'
21,1,0,8,33,75,19,271,'2'
2,2,0,2,25,0,2,11,'2'
11,1,3,13,23,72,10,80,'2'
6,0,1,1,6,0,1,12,'1'
13,1,5,5,25,53,13,73,'1'
15,1,0,15,27,89,15,214,'1'
15,5,23,11,649,75,13,138,'2'
4,0,1,2,4,0,0,7,'2'
2,2,1,3,23,50,1,15,'2'
5,1,0,8,17,40,4,64,'2'
3,1,0,13,15,0,1,61,'2'
9,6,0,25,636,81,7,228,'1'
3,5,0,28,637,53,1,541,'1'
12,2,0,13,37,80,8,207,'2'
10,1,0,15,22,66,1,348,'1'
5,1,0,20,17,56,0,312,'1'
3,5,0,25,637,50,2,505,'1'
12,2,0,8,37,80,8,105,'1'
3,6,0,17,653,71,3,120,'1'
6,2,0,21,22,69,2,188,'1'
4,2,0,9,23,0,3,39,'2'
40,1,0,45,52,84,29,812,'1'
2,1,2,2,14,50,2,16,'1'
9,1,0,10,21,66,4,126,'1'
9,2,0,10,28,44,8,85,'1'
5,0,2,2,5,0,0,8,'2'
5,1,0,3,17,0,5,26,'2'
7,1,2,7,19,28,6,78,'1'
13,5,0,30,647,80,10,405,'1'
18,7,0,51,673,81,8,701,'1'
6,2,0,4,20,64,3,142,'1'
8,5,0,31,642,70,5,287,'1'
5,2,0,14,49,74,4,193,'1'
4,2,0,11,48,0,4,46,'2'
20,1,0,29,32,87,19,234,'2'
18,2,0,25,62,88,18,310,'1'
32,1,4,25,44,95,30,453,'1'
9,2,0,11,53,58,9,131,'2'
24,1,0,39,36,87,17,459,'1'
11,2,0,9,36,77,7,114,'2'
152,1,0,82,164,97,126,2620,'1'
7,1,13,3,19,42,7,45,'2'
9,1,5,12,21,77,9,101,'1'
17,1,0,31,29,80,15,451,'1'
6,1,0,34,18,70,2,284,'2'
4,1,0,8,16,12,3,63,'2'
5,1,0,31,17,30,3,123,'2'
7,2,0,13,32,71,7,97,'1'
20,5,0,36,654,77,15,443,'1'
14,5,0,34,840,78,12,372,'1'
45,5,0,63,679,94,34,1211,'1'
6,7,0,34,661,66,5,409,'1'
6,7,0,21,790,33,3,219,'1'
12,2,0,13,40,54,10,172,'1'
16,5,0,31,650,74,15,397,'1'
4,5,0,22,698,50,2,201,'1'
7,2,0,12,23,50,2,245,'2'
7,6,0,21,685,77,5,195,'2'
2,1,1,2,2,0,0,5,'2'
12,2,0,13,37,79,8,104,'2'
4,2,0,9,74,41,4,90,'1'
1,2,0,4,25,0,1,10,'2'
20,1,0,26,32,77,19,217,'2'
10,1,0,34,22,66,6,341,'1'
4,1,0,6,16,50,3,43,'2'
60,6,0,72,687,95,46,1061,'1'
23,1,0,25,35,89,20,576,'1'
6,5,0,30,640,63,0,306,'1'
2,5,0,20,636,37,1,216,'2'
9,6,0,39,636,80,8,277,'1'
10,1,0,23,22,63,7,272,'2'
8,1,0,22,20,12,7,168,'1'
6,1,0,13,18,16,0,119,'2'
16,1,2,6,28,78,9,490,'1'
239,4,0,75,862,96,214,4600,'1'
37,4,0,30,660,92,36,602,'1'
31,1,0,31,43,83,14,1389,'1'
2,0,1,2,2,0,0,149,'2'
2,1,1,1,2,0,0,5,'2'
2,1,0,4,14,0,0,23,'2'
26,1,0,19,38,75,0,504,'1'
51,4,0,35,674,95,48,634,'1'
4,1,7,2,16,0,4,28,'2'
0,1,0,1,12,0,0,25,'1'
4,2,0,3,23,81,4,26,'1'
4,2,0,3,23,70,4,31,'2'
5,2,0,4,24,90,5,40,'2'
1,2,0,1,20,0,1,7,'2'
3,2,0,2,22,0,3,19,'2'
3,2,0,1,22,0,3,17,'2'
5,2,0,3,24,80,5,34,'2'
1,2,0,1,20,0,1,7,'2'
1,2,0,1,20,0,1,7,'2'
1,2,0,1,20,0,1,7,'2'
2,2,0,1,21,0,2,11,'2'
4,2,0,3,23,81,4,26,'1'
3,6,0,5,652,33,3,102,'2'
6,8,0,5,678,83,4,55,'2'
7,6,0,28,656,71,1,277,'1'
3,6,0,5,652,33,2,80,'1'
3,6,0,8,652,33,3,73,'1'
3,6,0,10,652,33,3,149,'1'
3,6,0,7,652,33,1,62,'2'
3,6,0,12,652,42,1,115,'2'
3,6,0,12,652,33,3,125,'2'
4,6,0,6,653,28,1,165,'2'
3,6,0,11,652,33,1,176,'1'
6,6,0,36,655,66,1,238,'2'
4,6,0,26,653,52,1,281,'2'
5,6,0,12,654,80,1,56,'1'
