@relation aux
@attribute time numeric
@attribute Diam {'<=2cm','>2cm'}
@attribute N {'>=4','1-3'}
@attribute ER {'Negative','Positive'}
@attribute Grade {'Poorly diff','Intermediate','Well diff'}
@attribute Age numeric
@attribute TSPYL5 numeric
@attribute Contig63649_RC numeric
@attribute DIAPH3 numeric
@attribute NUSAP1 numeric
@attribute AA555029_RC numeric
@attribute ALDH4A1 numeric
@attribute QSCN6L1 numeric
@attribute FGF18 numeric
@attribute DIAPH3.1 numeric
@attribute Contig32125_RC numeric
@attribute BBC3 numeric
@attribute DIAPH3.2 numeric
@attribute RP5.860F19.3 numeric
@attribute C16orf61 numeric
@attribute SCUBE2 numeric
@attribute EXT1 numeric
@attribute FLT1 numeric
@attribute GNAZ numeric
@attribute OXCT1 numeric
@attribute MMP9 numeric
@attribute RUNDC1 numeric
@attribute Contig35251_RC numeric
@attribute ECT2 numeric
@attribute GMPS numeric
@attribute KNTC2 numeric
@attribute WISP1 numeric
@attribute CDC42BPA numeric
@attribute SERF1A numeric
@attribute AYTL2 numeric
@attribute GSTM3 numeric
@attribute GPR180 numeric
@attribute RAB6B numeric
@attribute ZNF533 numeric
@attribute RTN4RL1 numeric
@attribute UCHL5 numeric
@attribute PECI numeric
@attribute MTDH numeric
@attribute Contig40831_RC numeric
@attribute TGFB3 numeric
@attribute MELK numeric
@attribute COL4A2 numeric
@attribute DTL numeric
@attribute STK32B numeric
@attribute DCK numeric
@attribute FBXO31 numeric
@attribute GPR126 numeric
@attribute SLC2A3 numeric
@attribute PECI.1 numeric
@attribute ORC6L numeric
@attribute RFC4 numeric
@attribute CDCA7 numeric
@attribute LOC643008 numeric
@attribute MS4A7 numeric
@attribute MCM6 numeric
@attribute AP2B1 numeric
@attribute C9orf30 numeric
@attribute IGFBP5 numeric
@attribute HRASLS numeric
@attribute PITRM1 numeric
@attribute IGFBP5.1 numeric
@attribute NMU numeric
@attribute PALM2.AKAP2 numeric
@attribute LGP2 numeric
@attribute PRC1 numeric
@attribute Contig20217_RC numeric
@attribute CENPA numeric
@attribute EGLN1 numeric
@attribute NM_004702 numeric
@attribute ESM1 numeric
@attribute C20orf46 numeric
@attribute class {'0','1'}
@data
7.748118,'<=2cm','1-3','Positive','Intermediate',50,-0.187528,-0.153047,-0.295141,-0.565829,-0.218641,-0.180379,-0.187785,-0.316828,-0.301185,-0.113406,0.018417,-0.12126,-0.154648,-0.271917,-0.530936,-0.229332,0.029282,-0.169064,-0.179943,-0.062166,0.087715,-0.037489,-0.147859,-0.257091,-0.12767,-0.103971,-0.224402,-0.136236,-0.009439,0.189681,-0.095272,-0.33732,0.240776,-0.036569,-0.123891,0.06761,-0.206421,-0.074292,-0.061359,-0.213446,-0.127033,-0.189278,0.018299,-0.090262,-0.182893,-0.266596,-0.091843,0.086508,-0.403466,-0.071409,-0.708102,-0.216478,0.38911,-0.24465,-0.006829,-0.152817,-0.405449,-0.142759,-0.102477,-0.120259,-0.140641,0.145558,-0.144725,-0.526843,-0.292265,-0.662897,-0.077762,-0.193993,-0.15086,-0.26755,'0'
4.66256,'<=2cm','1-3','Positive','Well diff',42,0.15099,-0.210058,0.033551,0.036547,-0.064746,-0.04813,-0.025835,-0.425102,0.204498,0.016093,0.075051,0.059131,-0.061557,-0.041528,0.27553,-0.207143,-0.148416,-0.029201,-0.197139,-0.345648,-0.182031,-0.047634,0.480572,-0.138512,0.203597,0.059727,0.177741,0.088628,-0.072734,-0.326438,-0.110817,-0.21529,-0.657579,-0.04677,-0.156723,-0.223023,-0.188774,-0.016182,-0.057135,0.093873,-0.02267,0.088657,-0.049454,-0.052708,-0.049128,-0.252393,-0.151374,-0.265191,-0.121457,-0.063492,-0.379928,-0.167756,-0.263972,-0.037888,-0.058419,-0.104257,-0.191292,0.108492,-0.1213,-0.104507,-0.151911,-0.199578,-0.070232,0.165824,-0.001631,0.075595,-0.02741,0.277569,-0.159581,-0.144363,'1'
8.73922,'>2cm','1-3','Positive','Well diff',50,0.11695,-0.258139,0.077918,-0.088344,-0.319737,0.12525,-0.087408,-0.23622,0.236517,0.160249,0.119026,0.076615,0.232429,-0.183145,0.256927,-0.274306,0.046483,-0.130849,-0.212754,-0.584319,0.131815,-0.135765,0.128468,-0.402203,0.277333,-0.10437,-0.301386,-0.174453,-0.026081,-0.061747,-0.112744,-0.223797,-0.254073,0.203232,-0.255129,0.03641,-0.305618,-0.23946,-0.047963,-0.081492,0.124977,0.116359,0.086098,-0.122562,-0.004431,-0.57278,-0.001816,0.126027,-0.243548,-0.213011,-0.539554,-0.466571,0.051189,-0.039441,0.149224,-0.246065,-0.17018,-0.101253,-0.220336,-0.058744,-0.428187,-0.004845,0.139942,0.032192,-0.408807,-0.185306,-0.030023,-0.026721,-0.27083,0.022451,'0'
7.56742,'<=2cm','1-3','Positive','Intermediate',43,0.104933,-0.136873,-0.019841,-0.272124,-0.050672,0.032153,-0.180706,-0.141912,-0.02986,0.135193,0.072152,-0.006717,-0.096241,-0.150299,0.446084,0.046367,-0.205116,0.110257,-0.239512,-0.348005,0.052871,-0.059921,-0.014442,0.126041,-0.025308,-0.019753,-0.014149,0.047167,0.022049,0.175645,-0.108239,-0.226528,0.628243,-0.067016,-0.056431,0.085113,0.11851,-0.11258,0.045099,-0.111722,-0.006662,0.0184,0.102283,-0.01966,-0.077151,-0.335056,-0.171288,0.152326,-0.213401,0.027118,-0.721302,-0.088794,0.298918,-0.038601,0.211246,-0.099655,0.03333,-0.008608,-0.198195,0.023238,0.038035,-0.207189,0.14901,-0.286176,-0.169653,-0.244858,-0.205547,-0.054464,-0.142498,-0.218878,'0'
7.296372,'<=2cm','1-3','Negative','Poorly diff',47,0.308217,0.035445,0.155896,0.172818,-0.134458,0.368575,0.173492,-0.444558,0.109816,-0.038093,-0.297777,0.061856,-0.206352,0.192034,-1.011574,-0.045212,0.080847,-0.345813,0.027784,-0.335503,-0.048082,0.597481,0.146476,0.059125,-0.098037,-0.115149,-0.10022,0.070472,0.081808,-0.13777,-0.029904,0.86482,-0.519054,0.03135,0.029619,-0.08379,-0.087772,0.461414,-0.162872,0.166749,-0.05592,-0.048198,-0.124616,-0.013267,0.006056,0.558363,-0.041407,-0.004977,0.218053,0.239288,-0.265138,-0.046998,-0.315011,-0.089678,0.045294,0.140463,-0.544673,0.283236,0.244931,-0.394928,-0.125454,-0.144542,-0.295075,0.053011,0.100878,0.150044,0.099075,0.003167,0.061278,0.083252,'0'
6.718686,'<=2cm','1-3','Positive','Intermediate',47,-0.096435,-0.037724,-0.058826,0.101738,-0.195594,0.464241,0.212049,-0.242591,0.03225,-0.27079,0.020572,0.01688,0.241474,0.125351,-0.146071,-0.18754,0.124857,-0.010817,0.12974,-0.580037,0.159266,-0.327247,-0.035435,-0.050181,-0.021036,-0.003369,0.281155,-0.031683,0.118698,0.494234,-0.226737,0.015752,-0.531921,0.163348,0.004188,0.106748,-0.096806,0.018566,0.200057,0.098453,0.169,0.273821,0.265587,-0.013261,0.09757,-0.35885,-0.135216,0.217921,0.185736,0.015661,-0.342961,-0.583017,-0.205278,0.109275,0.212807,0.126399,-0.311592,-0.147548,0.088559,-0.18185,-0.154828,0.045688,-0.136509,-0.126805,-0.238719,0.047136,0.016815,-0.048961,0.187457,-0.106004,'0'
6.995209,'<=2cm','1-3','Positive','Poorly diff',38,0.088543,-0.181304,0.090893,-0.150114,-0.113379,-0.07758,0.042322,-0.056441,-0.048208,-0.043216,-0.144136,-0.054277,-0.025841,-0.228078,0.448231,-0.005409,0.234047,-0.136599,-0.062047,0.138929,0.114208,0.096547,-0.262589,-0.2737,0.010804,-0.080973,0.057106,0.06296,0.113154,0.072263,-0.208335,-0.147601,-0.340032,0.056949,0.050403,0.062658,-0.113363,-0.142513,0.121891,0.067148,0.066975,0.034701,0.095739,-0.078766,-0.125835,0.129924,0.03523,0.071256,0.040435,-0.12755,-0.180156,-0.067773,-0.144619,0.036726,0.196231,0.020985,-0.137338,-0.070935,-0.049917,-0.100504,0.047408,0.067485,0.195776,-0.104494,-0.211521,-0.163499,0.002537,-0.176627,-0.096872,-0.327287,'1'
9.330595,'<=2cm','1-3','Negative','Poorly diff',45,0.327735,0.033381,0.54099,0.192698,0.021941,-0.220282,0.479631,-0.44559,0.655284,-0.192314,0.051228,0.394462,-0.341355,0.032819,-1.076516,0.115941,-0.17744,-0.339689,0.012929,-0.525043,-0.310641,0.045983,0.337877,0.135488,0.341737,-0.126344,0.191161,0.334877,-0.02047,-0.576951,0.10271,-0.206513,-0.625815,-0.205439,0.294421,-0.523843,0.108756,0.325444,-0.644212,0.603046,-0.03037,0.103912,-0.082829,-0.023564,0.08587,-0.071808,0.060708,-0.440425,0.237124,0.533615,0.433767,0.151991,0.02013,0.296824,0.089502,0.201973,-0.360113,0.344171,0.426684,-0.142881,-0.055508,0.186868,0.325602,0.19763,-0.024323,0.305035,0.056913,0.411451,-0.173773,-0.056582,'0'
3.438741,'>2cm','1-3','Negative','Poorly diff',31,-0.406144,0.328742,0.045602,0.12568,-0.316793,-0.047235,0.100489,-0.096832,0.079523,-0.140871,0.008236,0.062412,-0.178619,-0.073907,-0.842712,-0.111992,0.100695,-0.248418,-0.121396,-0.197432,-0.220076,-0.092613,0.096572,0.204826,0.078187,0.084764,-0.082569,-0.146664,0.127452,-0.519438,-0.257809,0.288493,-0.643234,-0.13898,0.026706,-0.017864,-0.186394,-0.087311,0.028158,0.159746,0.063499,0.189825,-0.081966,-0.10416,-0.144122,-0.007655,0.264016,0.119424,0.178363,0.117094,-0.188203,-0.283319,-0.15173,0.17646,0.042286,0.13365,0.014246,-0.28191,0.252982,0.055203,0.132859,-0.069781,-0.001374,0.010664,-0.314488,-0.176194,-0.150757,0.003769,0.270757,0.022107,'1'
15.329227,'<=2cm','1-3','Positive','Well diff',41,0.254381,-0.219219,-0.21852,-0.326967,-0.126375,-0.052435,-0.105187,0.209654,-0.271565,0.13085,0.12153,-0.196659,0.222209,-0.26596,0.710491,0.117939,-0.035411,-0.133519,-0.110004,-0.544621,0.051993,-0.183659,-0.21569,-0.171095,-0.022228,0.155628,-0.169712,-0.204966,0.266593,0.011791,-0.357,-0.155758,0.543885,0.087045,-0.30373,-0.158459,-0.297622,-0.275153,0.385966,-0.110706,-0.013984,-0.199099,0.256575,-0.163975,0.003582,-0.495219,-0.013611,-0.166179,-0.338432,-0.051306,-0.666947,-0.35345,-0.129894,-0.09051,0.108692,-0.027078,-0.111889,0.023924,-0.055861,-0.074561,-0.207276,-0.065194,0.132892,-0.302794,-0.288074,-0.414559,-0.228025,-0.483339,-0.260461,-0.220278,'0'
5.486653,'<=2cm','1-3','Positive','Intermediate',48,-0.226419,-0.507679,-0.403062,-0.167322,-0.273482,-0.083269,-0.059127,-0.216454,-0.185545,-0.003423,0.09896,-0.042294,-0.244226,-0.353166,-0.839655,-0.158042,0.354887,0.26379,-0.127097,-0.489709,0.023249,-0.077158,0.017259,-0.26254,-0.033366,-0.237975,-0.008766,-0.191412,0.015102,-0.625847,-0.413433,-0.359652,-0.550828,-0.182753,-0.130997,0.073775,-0.268785,-0.322695,-0.360205,-0.33968,0.228155,-0.273525,0.540118,-0.246129,0.106681,-0.870378,-0.16291,0.136423,-0.494829,-0.218281,-0.920285,-0.342292,-0.195228,-0.367442,0.113851,-0.256668,-0.35023,-1.120435,0.036688,-0.122443,-0.199086,-0.170216,0.139299,-0.189523,-0.157665,-0.475444,0.02244,-0.523616,0.255647,-0.094468,'0'
3.655031,'>2cm','>=4','Positive','Poorly diff',47,0.01889,-0.475319,-0.032279,0.203631,0.013857,-0.144167,-0.068348,0.704889,-0.111739,-0.096086,0.019068,-0.012566,0.049178,-0.161658,-0.404871,-0.065345,-0.01357,0.144808,-0.095396,-0.190454,0.35518,-0.336255,-0.009457,-0.011207,0.088737,-0.085345,-0.043986,-0.119011,0.096866,-0.20266,-0.147493,-0.441873,-0.741015,0.249183,-0.043992,-0.078629,-0.016776,-0.251971,-0.051813,-0.128976,-0.088491,0.04183,-0.139889,-0.007774,0.099363,-0.579624,-0.188388,-0.044755,-0.257491,0.113778,-0.576814,-0.544255,-0.406318,0.006739,0.239127,-0.053411,-0.519664,-0.502192,-0.078299,-0.300149,0.006742,-0.126689,0.353376,0.075637,-0.213108,-0.193389,-0.040565,-0.237298,0.135106,-0.195966,'1'
1.609856,'<=2cm','1-3','Negative','Intermediate',38,0.335911,0.29608,0.122863,0.021036,0.13359,0.242181,0.163994,-0.287768,0.166035,-0.222389,0.052821,0.199032,-0.08164,0.045236,-0.830548,0.012079,0.201596,-0.124555,-0.004049,-0.102737,-0.23106,0.404126,0.205958,0.139934,-0.097549,-0.035551,0.120418,-0.032586,0.211402,-0.148836,-0.06695,-0.02673,-0.594871,-0.191066,0.034175,0.101544,0.239115,0.421764,-0.110223,0.190962,0.124,-0.170107,-0.022643,0.060213,-0.140596,-0.063287,0.139953,0.067892,-0.220109,0.089928,-0.262519,0.223689,-0.147461,0.037312,-0.055631,0.042099,0.883071,0.204631,-0.000711,0.843106,0.276432,0.103865,-0.381048,0.051832,0.000161,0.041744,-0.058986,0.10151,0.101696,0.09612,'1'
