@relation aux
@attribute attribute.1 {'0','1'}
@attribute attribute.2 {'0','1'}
@attribute attribute.3 {'0','1'}
@attribute attribute.4 {'0','1'}
@attribute attribute.5 {'0','1'}
@attribute attribute.6 {'0','1'}
@attribute attribute.7 {'0','1'}
@attribute irrelevant1 {'0','1'}
@attribute irrelevant2 {'0','1'}
@attribute irrelevant3 {'0','1'}
@attribute irrelevant4 {'0','1'}
@attribute irrelevant5 {'0','1'}
@attribute irrelevant6 {'0','1'}
@attribute irrelevant7 {'0','1'}
@attribute irrelevant8 {'0','1'}
@attribute irrelevant9 {'0','1'}
@attribute irrelevant10 {'0','1'}
@attribute irrelevant11 {'0','1'}
@attribute irrelevant12 {'0','1'}
@attribute irrelevant13 {'0','1'}
@attribute irrelevant14 {'0','1'}
@attribute irrelevant15 {'0','1'}
@attribute irrelevant16 {'0','1'}
@attribute irrelevant17 {'0','1'}
@attribute class {'1','2','3','4','5','6','7','8','9','10'}
@data
'1','1','1','1','1','1','1','1','1','0','1','0','1','0','0','0','0','1','1','0','1','1','0','0','9'
'0','0','1','0','0','1','0','0','0','0','0','0','0','1','1','1','1','0','0','1','0','0','0','0','2'
'1','1','1','0','1','1','0','0','1','1','1','0','0','1','0','0','0','0','1','1','0','0','0','0','1'
'0','1','0','1','1','1','1','0','1','1','1','1','1','0','0','0','1','0','1','1','1','1','1','1','7'
'1','1','0','0','0','1','0','0','0','1','0','1','1','0','1','0','0','0','0','0','1','0','1','1','6'
'1','0','1','1','1','0','1','1','0','1','1','0','0','1','1','1','1','0','0','0','1','1','0','0','3'
'1','1','0','1','1','1','1','1','0','1','1','1','1','0','1','0','1','0','0','0','1','1','0','1','7'
'1','1','1','0','1','1','1','0','1','1','0','0','1','1','0','1','0','0','0','1','1','1','0','1','1'
'1','1','1','0','0','1','0','1','0','1','0','0','1','0','1','0','0','0','0','0','0','1','0','0','10'
'1','1','1','1','0','1','0','0','1','0','0','0','1','1','0','0','1','0','1','1','1','1','1','1','8'
'0','0','1','0','0','1','0','0','0','1','0','0','0','0','1','0','0','1','1','1','1','1','0','1','2'
'1','0','1','1','1','1','1','0','0','0','1','0','1','1','0','1','1','1','1','1','0','0','1','0','3'
'0','0','1','0','0','1','1','0','1','0','0','1','0','1','1','0','0','1','1','1','1','0','1','0','2'
'1','1','0','1','1','1','1','0','0','1','1','0','0','1','1','0','0','0','0','1','1','0','1','0','7'
'1','1','0','1','1','1','0','1','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','7'
'1','1','1','1','1','1','1','0','0','0','1','0','0','0','1','0','1','1','0','0','1','0','0','0','9'
'1','1','1','1','0','1','1','0','1','1','1','0','0','1','0','0','0','1','0','1','0','0','0','1','10'
'1','0','1','1','0','1','1','0','1','1','1','0','1','1','1','0','0','0','0','0','0','0','0','1','4'
'0','0','1','0','0','0','0','1','1','0','1','0','1','0','1','0','1','1','1','0','1','0','1','1','2'
'0','1','1','1','0','1','1','0','0','0','1','1','0','0','0','0','1','0','1','1','1','1','0','1','10'
'1','1','0','1','0','0','0','0','0','0','1','0','1','0','0','0','1','1','0','1','1','0','0','0','6'
'1','0','1','0','0','1','0','0','0','1','1','0','0','0','0','1','1','0','0','1','0','0','0','1','8'
'0','1','0','1','0','1','1','0','0','0','1','1','0','1','0','1','1','0','0','1','0','1','0','1','7'
'1','0','1','0','1','1','0','0','1','0','1','0','0','1','0','0','0','0','0','0','0','0','1','0','1'
'0','1','1','1','0','1','0','1','0','1','0','1','1','0','0','1','1','0','1','0','1','1','1','1','5'
'1','0','1','1','1','0','1','1','1','0','1','1','1','0','0','0','0','1','1','0','1','0','1','1','9'
'1','1','0','1','0','1','1','0','0','1','1','0','1','1','1','0','0','1','1','0','1','1','0','0','6'
'0','1','1','1','0','1','0','1','1','1','0','0','0','1','0','0','0','1','1','1','0','1','1','1','5'
'1','0','1','0','0','1','1','1','1','0','0','0','1','1','0','0','1','0','0','0','0','0','1','1','8'
'0','0','1','1','0','1','1','0','1','1','0','1','0','0','0','1','0','1','0','1','1','0','0','1','4'
'1','1','0','0','1','1','1','1','0','0','0','0','0','0','0','1','1','1','1','1','1','0','1','0','1'
'1','0','1','0','0','1','0','0','0','1','1','1','0','0','1','0','0','0','0','1','0','1','0','1','8'
'1','1','1','0','1','1','0','0','0','0','1','1','0','1','1','1','0','0','1','0','0','0','0','0','1'
'1','1','1','0','1','1','1','1','0','0','0','0','0','1','1','1','0','0','1','1','0','0','1','0','1'
'1','1','0','1','0','1','0','0','0','0','1','1','1','1','0','1','1','0','0','0','1','1','0','0','6'
'0','0','1','0','0','1','0','1','0','1','1','1','0','0','1','0','1','1','1','0','1','1','0','1','2'
'0','1','1','0','1','1','1','1','0','1','1','1','0','0','1','1','0','0','1','0','0','0','1','1','1'
'1','1','1','1','1','1','1','0','1','1','1','1','0','0','0','1','0','1','1','0','0','1','0','1','9'
'0','1','0','1','1','1','1','0','0','0','1','0','0','0','1','0','1','1','0','0','1','1','0','0','7'
'1','1','1','1','0','1','1','0','0','1','0','0','1','0','1','1','0','1','0','0','0','0','1','1','10'
'1','1','0','1','1','0','1','1','1','1','0','1','0','1','1','0','1','0','1','0','1','1','0','0','7'
'1','1','1','0','0','1','1','0','0','0','1','1','0','0','0','1','0','1','0','1','1','0','1','1','10'
'1','1','1','1','0','1','1','0','0','0','0','1','1','1','1','0','0','1','0','0','1','0','0','1','10'
'1','1','1','1','0','1','0','1','0','1','1','1','0','1','0','0','0','1','0','1','1','0','1','0','5'
'1','0','1','0','0','1','0','0','0','0','1','0','0','0','0','1','1','1','1','1','1','0','1','1','8'
'0','1','1','1','0','1','0','1','1','1','0','1','1','0','0','1','0','0','0','0','0','1','0','1','5'
'1','1','1','0','1','0','1','0','1','1','0','1','1','1','0','0','1','0','1','0','0','1','0','0','9'
'0','0','1','0','1','1','0','0','0','1','0','1','1','0','0','0','0','0','1','0','0','0','1','0','2'
'1','0','0','1','1','1','1','0','0','0','0','1','0','0','0','1','1','1','1','1','0','1','0','0','3'
'1','0','1','1','1','1','1','1','1','0','0','0','0','0','0','1','0','0','1','1','0','0','0','1','4'
'1','1','1','1','0','1','1','0','1','1','1','1','0','0','0','0','0','1','1','1','1','0','1','1','10'
'1','0','1','0','1','1','0','0','0','1','0','0','1','0','1','0','1','0','0','1','1','0','0','0','1'
'1','0','0','1','1','1','1','0','0','1','1','1','1','0','1','1','0','1','0','0','0','0','1','0','4'
'1','1','0','1','0','1','1','1','1','0','0','0','1','0','0','0','0','1','0','0','0','1','0','1','6'
'1','0','1','0','0','1','0','1','1','0','0','1','1','1','1','1','1','1','0','0','1','1','0','0','8'
'1','0','1','0','1','0','1','0','0','1','1','1','0','0','0','0','1','0','0','0','1','1','0','0','3'
'1','1','0','0','1','0','1','1','0','0','0','1','0','0','1','1','1','0','1','0','0','0','1','0','7'
'1','0','1','1','0','1','1','0','0','1','1','0','1','0','0','1','0','1','1','0','0','0','0','0','4'
'1','1','1','1','1','1','0','1','1','0','0','1','1','1','1','1','0','0','0','1','0','0','1','0','9'
'1','0','1','1','1','0','1','0','0','1','1','0','1','0','1','1','1','0','1','0','0','0','0','0','3'
'1','1','1','1','0','1','1','1','0','1','0','0','1','0','0','0','1','0','1','0','1','1','1','0','10'
'1','1','0','0','0','0','1','0','1','0','1','1','1','0','1','0','0','1','1','0','1','1','1','1','6'
'1','1','1','1','0','0','1','0','1','1','0','0','0','1','1','0','0','0','1','0','1','1','0','0','10'
'1','1','0','1','0','1','1','0','1','1','1','0','1','1','0','0','0','0','0','1','1','0','1','1','6'
'0','1','1','1','0','1','1','1','1','0','1','0','1','1','1','1','0','0','0','0','0','0','0','0','10'
'1','0','1','0','0','1','0','0','1','0','0','1','1','1','0','1','0','0','1','1','0','0','0','0','8'
'1','0','1','0','0','1','0','1','0','1','1','1','0','1','0','0','1','1','1','0','1','0','0','1','8'
'0','0','1','0','0','1','0','1','1','1','1','1','0','0','1','1','1','0','1','0','0','1','1','1','2'
'1','1','0','1','0','1','1','1','0','0','1','1','0','0','1','1','0','0','0','0','0','1','0','0','6'
'1','0','1','0','0','0','0','1','0','1','1','0','0','0','0','0','1','0','0','0','1','0','0','1','8'
'1','1','1','1','0','1','1','1','1','1','1','0','0','0','0','1','1','0','1','0','1','0','1','1','10'
'1','1','1','0','1','1','1','1','0','0','1','0','1','0','1','0','1','1','1','0','1','0','1','0','1'
