@relation aux
@attribute F1 {'0','1'}
@attribute F2 {'0','1'}
@attribute F3 {'0','1'}
@attribute F4 {'0','1'}
@attribute F5 {'0','1'}
@attribute F6 {'0','1'}
@attribute F7 {'0','1'}
@attribute F8 {'0','1'}
@attribute F9 {'0','1'}
@attribute class {'1','2'}
@data
'1','1','1','0','1','0','0','1','1','2'
'0','1','1','1','0','0','1','1','0','2'
'0','1','1','1','1','1','1','0','0','2'
'1','1','1','1','0','1','0','1','0','2'
'1','0','1','0','1','0','1','1','0','1'
'0','0','1','1','1','1','1','0','1','2'
'1','1','0','0','0','1','0','0','1','1'
'0','1','1','1','0','1','0','1','1','2'
'1','0','0','1','1','1','1','1','0','2'
'0','1','1','1','0','1','1','1','0','2'
'1','1','0','1','0','1','1','1','1','2'
'1','1','0','1','0','0','1','0','0','1'
'1','0','0','0','0','0','1','0','0','1'
'0','0','0','0','1','0','0','0','0','1'
'0','1','0','1','1','1','0','1','1','2'
'0','1','1','0','0','0','1','1','0','1'
'0','1','0','1','0','1','0','1','0','1'
'0','0','0','0','0','1','1','0','0','1'
'1','0','1','0','0','1','0','0','1','1'
'1','0','1','0','1','1','1','0','0','2'
'1','0','0','1','1','1','1','1','1','2'
'0','1','1','0','0','0','1','1','1','2'
'1','1','1','1','1','1','1','1','1','2'
'1','1','1','0','0','1','0','0','0','2'
'1','0','0','1','0','1','0','1','0','1'
'0','1','0','1','0','0','1','0','1','1'
'0','0','1','0','0','0','0','0','0','1'
'0','1','1','0','0','1','1','0','0','1'
'1','1','1','0','1','0','1','1','1','2'
'0','0','0','1','0','1','0','0','0','1'
'1','1','1','1','0','1','1','1','0','2'
'0','0','1','0','1','0','1','1','0','1'
'1','1','0','1','0','0','0','0','1','1'
'1','1','1','1','1','0','0','1','0','2'
'0','1','0','0','0','1','0','1','0','1'
'1','0','1','0','0','1','0','0','0','1'
'1','1','0','1','1','0','1','0','1','1'
'0','1','0','1','1','0','1','0','0','1'
'0','0','1','1','1','1','1','1','0','2'
'1','1','0','0','1','0','1','1','0','1'
'1','0','1','1','0','0','0','1','0','1'
'0','1','1','0','0','0','0','0','1','1'
'1','0','0','0','1','1','0','0','1','1'
'0','1','0','1','0','0','1','0','0','1'
'0','1','1','0','1','0','0','0','1','1'
'1','1','1','0','1','1','0','1','1','2'
'1','1','1','1','1','1','0','1','0','2'
'1','0','1','0','0','0','0','1','0','1'
'1','0','0','0','1','0','1','0','1','1'
'1','0','0','0','1','1','0','0','0','1'
'1','0','1','0','1','0','1','1','1','2'
'1','0','1','1','0','0','0','1','1','1'
'0','0','1','1','0','0','0','0','0','1'
'1','1','1','1','0','1','0','0','1','2'
'0','0','1','0','1','0','1','1','1','2'
'0','0','0','0','1','1','1','1','0','2'
'0','1','0','1','0','1','0','1','1','1'
'0','1','1','1','0','0','1','0','0','2'
'1','0','1','1','1','0','1','0','1','2'
'1','1','0','1','1','1','1','0','1','2'
'1','0','1','1','1','1','1','1','0','2'
'1','0','0','0','1','1','0','1','0','1'
'1','0','1','1','0','0','1','1','1','2'
'1','1','0','0','1','1','0','0','0','1'
'0','1','0','0','0','0','1','1','1','2'
'0','0','0','1','0','1','1','0','0','1'
'0','0','0','1','1','1','1','0','1','2'
'1','0','0','1','1','0','1','1','1','2'
'1','0','0','1','1','1','0','1','1','2'
'0','1','0','1','0','0','0','0','0','1'
'1','1','0','0','0','1','1','0','0','1'
'0','0','0','1','0','0','1','0','0','1'
'0','0','0','1','0','0','1','0','1','1'
