@relation aux
@attribute Attribute_1 {'0','1'}
@attribute Attribute_2 {'0','1'}
@attribute Attribute_3 {'0','1'}
@attribute Attribute_4 {'0','1'}
@attribute Attribute_5 {'0','1'}
@attribute Attribute_6 {'0','1'}
@attribute Attribute_7 {'0','1'}
@attribute Attribute_8 {'0','1'}
@attribute Attribute_9 {'0','1'}
@attribute class {'1','2'}
@data
'0','0','1','0','0','0','1','0','0','1'
'1','1','0','0','0','0','1','1','0','1'
'0','1','1','1','0','0','0','1','1','1'
'1','0','1','0','0','0','0','0','0','1'
'1','1','1','0','0','1','1','1','1','2'
'0','1','0','1','0','0','1','1','0','1'
'0','1','1','1','1','0','1','1','1','2'
'1','1','1','1','1','0','1','1','1','2'
'0','1','0','1','0','1','1','1','1','2'
'1','1','1','1','0','1','1','0','0','2'
'0','0','1','1','0','1','0','0','1','1'
'1','1','0','1','0','1','0','1','1','1'
'0','1','1','0','0','1','1','1','0','1'
'0','0','0','1','0','1','0','1','1','1'
'0','0','0','0','0','1','0','0','1','1'
'1','1','1','1','0','1','0','0','0','2'
'1','1','0','1','1','1','1','0','1','2'
'0','0','0','1','1','1','1','0','0','2'
'0','0','1','1','1','0','1','1','1','2'
'1','0','0','0','1','1','1','1','1','2'
'0','0','0','0','1','1','1','0','0','1'
'0','0','1','0','1','0','0','0','1','1'
'0','1','0','1','1','1','1','0','1','2'
'1','1','0','1','0','0','0','1','1','1'
'0','1','0','1','1','0','0','1','0','1'
'1','0','0','1','0','1','0','1','1','1'
'1','1','0','1','0','0','0','1','0','1'
'1','1','1','1','0','0','0','1','0','2'
'0','1','0','0','0','0','1','1','1','2'
'1','0','1','0','1','1','1','0','1','1'
'0','1','1','0','0','1','0','1','1','1'
'0','1','0','1','0','1','0','0','0','1'
'0','0','0','0','0','1','0','1','1','1'
'0','1','1','0','0','0','0','1','0','1'
'1','1','0','0','1','0','1','0','0','1'
'0','1','0','0','0','0','0','1','0','1'
'0','1','0','0','1','0','0','0','0','1'
'1','1','1','0','0','0','1','0','0','2'
'1','1','0','0','1','0','0','1','1','1'
'1','0','1','1','1','0','0','0','1','1'
