@relation data
@attribute white_piece0_strength numeric
@attribute white_piece0_file numeric
@attribute white_piece0_rank numeric
@attribute white_piece0_advanced {'ATT','DEF','MID'}
@attribute white_piece0_distanceto_white_den numeric
@attribute white_piece0_distanceto_black_den numeric
@attribute white_piece0_unopposedto_black_den_length numeric
@attribute white_piece0_movesto_white_den numeric
@attribute white_piece0_movesto_black_den numeric
@attribute white_piece0_in_trap {'0','1'}
@attribute white_piece0_in_water {'0','1'}
@attribute white_piece0_can_cross {'0','1'}
@attribute white_piece0_can_cross_shortest {'0','1'}
@attribute white_piece0_unopposed_to_bank {'0','1'}
@attribute white_piece0_distanceto_black_piece0 numeric
@attribute white_piece0_distanceto_black_piece0_parity {'0','1'}
@attribute white_piece0_nextto_black_piece0 {'0','1'}
@attribute black_piece0_strength numeric
@attribute black_piece0_file numeric
@attribute black_piece0_rank numeric
@attribute black_piece0_advanced {'ATT','DEF','MID'}
@attribute black_piece0_distanceto_white_den numeric
@attribute black_piece0_distanceto_black_den numeric
@attribute black_piece0_movesto_white_den numeric
@attribute black_piece0_movesto_black_den numeric
@attribute black_piece0_unopposedto_white_den_length numeric
@attribute black_piece0_in_trap {'0','1'}
@attribute black_piece0_in_water {'0','1'}
@attribute black_piece0_can_cross {'0','1'}
@attribute black_piece0_can_cross_shortest {'0','1'}
@attribute black_piece0_unopposed_to_bank {'0','1'}
@attribute black_piece0_at_d7 {'0','1'}
@attribute black_piece0_distanceto_white_piece0 numeric
@attribute black_piece0_distanceto_white_piece0_parity {'0','1'}
@attribute black_piece0_nextto_white_piece0 {'0','1'}
@attribute closest_to_den {'b','w'}
@attribute closest_to_den_diff numeric
@attribute fastest_to_den {'b','w'}
@attribute fastest_to_den_diff numeric
@attribute white_unopposed_to_den {'0','1'}
@attribute black_unopposed_to_den {'0','1'}
@attribute white_unopposed_to_den_quick_detour {'0','1'}
@attribute black_unopposed_to_den_quick_detour {'0','1'}
@attribute class {'1','2'}
@data
0,1,8,'ATT',10,2,1,10,2,'0','0','1','1','1',1,'1','1',0,0,8,'DEF',11,3,11,3,-1,'0','0','0','0','0','0',1,'1','1','w',9,'w',9,'1','0','1','0','1'
0,2,8,'ATT',9,1,0,9,1,'1','0','1','1','1',2,'0','0',0,0,8,'DEF',11,3,11,3,-1,'0','0','1','1','1','0',2,'0','0','w',10,'w',10,'1','0','1','0','1'
0,4,8,'ATT',9,1,0,9,1,'1','0','1','1','1',6,'0','0',0,0,8,'DEF',11,3,11,3,-1,'0','0','1','1','1','0',6,'0','0','w',10,'w',10,'1','0','1','0','1'
0,5,8,'ATT',10,2,1,10,2,'0','0','1','1','1',7,'1','0',0,0,8,'DEF',11,3,11,3,-1,'0','0','1','1','1','0',7,'1','0','w',9,'w',9,'1','0','1','0','1'
0,6,8,'ATT',11,3,2,11,3,'0','0','1','1','1',8,'0','0',0,0,8,'DEF',11,3,11,3,10,'0','0','1','1','1','0',8,'0','0','w',8,'w',8,'1','1','1','0','1'
0,0,7,'ATT',10,4,3,10,4,'0','0','1','1','1',1,'1','1',0,0,8,'DEF',11,3,11,3,-1,'0','0','0','0','0','0',1,'1','1','w',7,'w',7,'1','0','1','0','1'
0,1,7,'ATT',9,3,2,9,3,'0','0','1','1','1',2,'0','0',0,0,8,'DEF',11,3,11,3,-1,'0','0','0','0','0','0',2,'0','0','w',8,'w',8,'1','0','1','0','1'
0,2,7,'ATT',8,2,1,8,2,'0','0','1','1','1',3,'1','0',0,0,8,'DEF',11,3,11,3,-1,'0','0','0','0','0','0',3,'1','0','w',9,'w',9,'1','0','1','0','1'
0,3,7,'ATT',7,1,0,7,1,'1','0','1','1','1',4,'0','0',0,0,8,'DEF',11,3,11,3,-1,'0','0','1','1','1','0',4,'0','0','w',10,'w',10,'1','0','1','0','1'
0,4,7,'ATT',8,2,1,8,2,'0','0','1','1','1',5,'1','0',0,0,8,'DEF',11,3,11,3,-1,'0','0','1','1','1','0',5,'1','0','w',9,'w',9,'1','0','1','0','1'
