@relation aux
@attribute P numeric
@attribute N numeric
@attribute O numeric
@attribute class {'1','2','3','4','5','6'}
@data
668.9,2100.4,641.2,'1'
984.3,1920.2,502.6,'5'
433.2,2329.1,658.5,'3'
132.6,219.3,147.9,'2'
290.7,168.3,45.9,'6'
91.8,142.8,270.3,'4'
692.9,2110.1,647.7,'1'
1051.6,1869.8,511.9,'5'
497.9,2329.5,626.8,'3'
125.2,210.4,150.3,'2'
280.6,150.3,60.1,'6'
85.2,135.3,280.6,'4'
563.4,2206.4,836.1,'1'
952.4,2039.2,617.9,'5'
428.9,2537.2,643.4,'3'
96.3,228.1,172.4,'2'
218,212.9,71,'6'
86.2,147,268.7,'4'
394.5,2181.9,879.7,'1'
733.1,2073.6,642.3,'5'
422.4,2398.3,638.9,'3'
90.2,230.5,165.3,'2'
210.4,200.4,80.2,'6'
70.1,120.2,305.6,'4'
339,2256.3,896.9,'1'
663.8,2182.2,646.2,'5'
349.6,2567,589.7,'3'
80,220,190,'2'
180,225,90,'6'
80,125,285,'4'
329.2,2283.7,792.1,'1'
678.9,2119.1,603.5,'5'
370.3,2338.6,692.7,'3'
80,265,140,'2'
185,240,70,'6'
65,130,295,'4'
418.2,2167.4,580.9,'1'
740.5,2017.3,395.8,'5'
383,2183.3,587.3,'3'
81.1,263.6,147,'2'
228.1,202.8,65.9,'6'
76.1,147,273.8,'4'
494.4,2333.5,601.5,'1'
847,2126.1,446,'5'
421.8,2371.5,632.6,'3'
80.2,250.5,150.3,'2'
190.4,230.5,75.1,'6'
70.1,145.3,280.6,'4'
539.2,2220.8,576.3,'1'
845.9,2055.7,431.4,'5'
401,2338.8,596.5,'3'
95.9,257.6,131.3,'2'
212.1,217.1,75.8,'6'
85.9,121.2,297.9,'4'
467.5,2167.1,492.8,'1'
739.2,1983.9,401.2,'5'
388.6,2211.3,527.6,'3'
80,240,150,'2'
205,205,80,'6'
70,130,290,'4'
426.9,2102.1,703.9,'1'
638.8,2040.1,544.3,'5'
400.9,2219.4,612.7,'3'
75.6,252,156.2,'2'
141.1,262.1,95.8,'6'
55.4,126,312.5,'4'
333.6,1915.7,899.1,'1'
565.5,1884,692.6,'5'
339.9,2128.6,689.4,'3'
55.4,191.5,236.9,'2'
131,231.8,136.1,'6'
50.4,126,322.6,'4'
