@relation aux
@attribute TIME numeric
@attribute DURATION numeric
@attribute LOG.1.DURATION. numeric
@attribute class {'1','2'}
@data
157,1,0.69,'1'
268,10,2.4,'1'
209,2,1.1,'2'
134,0.1,0.1,'1'
21,0.1,0.1,'2'
28,7,2.08,'2'
150,25,3.26,'1'
221,12,2.56,'1'
225,18,2.94,'1'
264,2,1.1,'1'
46,24,3.22,'2'
169,2,1.1,'2'
195,0.1,0.1,'1'
237,0.1,0.1,'1'
39,22,3.14,'2'
99,0.1,0.1,'2'
132,0.1,0.1,'2'
114,1,0.69,'2'
212,1,0.69,'1'
179,5,1.79,'1'
127,4,1.61,'2'
182,0.1,0.1,'1'
107,6,1.95,'1'
200,0.1,0.1,'1'
248,1,0.69,'1'
108,7,2.08,'1'
192,0.1,0.1,'1'
112,0.1,0.1,'1'
103,11,2.48,'2'
169,2,1.1,'1'
136,0.1,0.1,'1'
126,0.1,0.1,'1'
256,0.1,0.1,'1'
39,57,4.06,'2'
220,0.1,0.1,'1'
63,1,0.69,'2'
186,0.1,0.1,'1'
159,0.1,0.1,'2'
166,1,0.69,'1'
75,1,0.69,'2'
32,1,0.69,'2'
237,5,1.79,'1'
148,44,3.81,'1'
127,0.1,0.1,'1'
189,4,1.61,'1'
138,10,2.4,'2'
145,0.1,0.1,'2'
182,14,2.71,'2'
214,17,2.89,'1'
226,0.1,0.1,'1'
4,106,4.67,'2'
138,1,0.69,'1'
103,1,0.69,'2'
253,4,1.61,'1'
81,16,2.83,'1'
169,3,1.39,'1'
180,7,2.08,'2'
235,7,2.08,'1'
54,1,0.69,'2'
188,0.1,0.1,'2'
239,0.1,0.1,'1'
263,7,2.08,'1'
168,0.1,0.1,'1'
276,99,4.61,'1'
19,0.1,0.1,'2'
240,75,4.33,'1'
118,10,2.4,'2'
128,1,0.69,'1'
37,7,2.08,'1'
147,3,1.39,'1'
100,1,0.69,'1'
48,1,0.69,'2'
158,14,2.71,'1'
191,1,0.69,'1'
189,0.1,0.1,'1'
13,6,1.95,'2'
209,75,4.33,'1'
165,0.1,0.1,'2'
86,8,2.2,'2'
78,0.1,0.1,'1'
25,15,2.77,'2'
107,3,1.39,'1'
4,34,3.56,'2'
65,0.1,0.1,'2'
62,8,2.2,'2'
89,0.1,0.1,'1'
44,77,4.36,'2'
