@relation aux
@attribute Year {'1993','1995','1996','1997','1998','1999','2000','2001','2002'}
@attribute League {'AL','NL'}
@attribute Type {'Reliever','Starter'}
@attribute Wins numeric
@attribute Win_pct numeric
@attribute Saves numeric
@attribute ERA numeric
@attribute Strikeouts numeric
@attribute Innings_pitched numeric
@attribute class {'1','2'}
@data
'1993','AL','Starter',19,0.67857,0,3.87,215,216.3,'1'
'1993','AL','Starter',19,0.7037,1,3.24,185,255.3,'1'
'1993','AL','Starter',22,0.6875,0,3.37,261,256.7,'2'
'1993','AL','Reliever',7,0.58333,45,2.27,65,87.3,'1'
'1993','AL','Reliever',2,0.4,45,2.13,49,71.7,'1'
'1993','NL','Starter',22,0.75862,0,3.65,224,231.7,'1'
'1993','NL','Starter',22,0.78571,0,3.2,236,239.3,'1'
'1993','NL','Starter',20,0.66667,0,2.36,228,267,'2'
'1993','NL','Reliever',3,0.75,48,2.16,57,79.3,'1'
'1993','NL','Reliever',2,0.33333,53,3.11,65,75.3,'1'
'1995','AL','Starter',18,0.9,0,2.48,159,214.3,'2'
'1995','AL','Starter',19,0.67857,0,3.29,187,221.7,'1'
'1995','AL','Reliever',3,1,46,1.13,49,64,'1'
'1995','AL','Reliever',0,0,37,3.47,42,49.3,'1'
'1995','NL','Starter',19,0.90476,0,1.63,147,209.7,'2'
'1995','NL','Starter',18,0.72,0,3.22,158,190.3,'1'
'1995','NL','Reliever',1,0.5,36,1.82,42,54.3,'1'
'1995','NL','Reliever',1,0.33333,38,3.88,49,55.7,'1'
'1996','AL','Starter',20,0.66667,0,3.22,238,265.7,'2'
'1996','AL','Starter',21,0.72414,0,3.87,229,221,'1'
'1996','AL','Reliever',2,0.22222,39,3.73,69,72.3,'1'
'1996','AL','Reliever',2,0.4,43,2.83,54,63.7,'2'
'1996','NL','Starter',18,0.64286,1,3.83,215,230.3,'1'
'1996','NL','Starter',24,0.75,0,2.94,199,253.7,'2'
'1996','NL','Reliever',1,0.33333,44,2.41,54,71,'1'
'1996','NL','Reliever',4,0.4,44,3.03,70,65.3,'1'
'1997','AL','Starter',21,0.75,0,2.05,292,264,'2'
'1997','AL','Starter',20,0.833333,0,2.28,291,213,'1'
'1997','AL','Starter',20,0.666667,0,3.87,174,239.2,'1'
'1997','AL','Reliever',6,0.6,43,1.88,68,71.2,'1'
