@relation aux
@attribute error numeric
@attribute percent numeric
@attribute distance numeric
@attribute class {'1','2'}
@data
18.90625,50,37.40523,'1'
16.33333,55,37.1523,'1'
19.4375,60,36.89979,'1'
17.44791,65,36.6478,'1'
17.03646,70,36.39627,'1'
14.59896,75,36.1453,'1'
11.63021,80,35.89493,'1'
9.13542,85,35.64516,'1'
7.58333,90,35.39608,'1'
6.041666,95,35.14767,'1'
5.45833,100,34.9,'1'
16.05728,50,30.07505,'2'
16.97396,55,29.5797,'2'
13.69792,60,29.08769,'2'
12.05729,65,28.59927,'2'
11.95833,70,28.11473,'1'
11.97396,75,27.63423,'1'
9.81771,80,27.15805,'1'
9.182291,85,26.68634,'1'
7.65625,90,26.21932,'1'
5.30729,95,25.75715,'1'
5.916666,100,25.29999,'1'
8.244791,50,17.43569,'2'
9.213541,55,16.53969,'2'
9.47917,60,15.66512,'2'
9.026041,65,14.81283,'2'
8.13542,70,13.9834,'2'
5.96875,75,13.17728,'2'
6.322916,80,12.39471,'1'
6.40625,85,11.6358,'1'
6.078125,90,10.9005,'1'
4.80208,95,10.18866,'1'
3.104167,100,9.5,'1'
5.78125,50,0.264824,'2'
6.34896,55,1.574486,'2'
7.99479,60,2.79645,'2'
7.97396,65,3.93522,'2'
6.57292,70,4.995754,'2'
6.479166,75,5.98323,'2'
6.90104,80,6.90282,'2'
7.11458,85,7.7596,'1'
6.63542,90,8.55839,'1'
5.77083,95,9.30376,'1'
3.36979,100,10,'1'
