@relation aux
@attribute MYCT numeric
@attribute MMIN numeric
@attribute MMAX numeric
@attribute CACH numeric
@attribute CHMIN numeric
@attribute CHMAX numeric
@attribute class {'1','2'}
@data
125,256,6000,256,16,128,'2'
29,8000,32000,32,8,32,'2'
29,8000,32000,32,8,32,'2'
29,8000,32000,32,8,32,'2'
29,8000,16000,32,8,16,'2'
26,8000,32000,64,8,32,'2'
23,16000,32000,64,16,32,'2'
23,16000,32000,64,16,32,'2'
23,16000,64000,64,16,32,'2'
23,32000,64000,128,32,64,'2'
400,1000,3000,0,1,2,'1'
400,512,3500,4,1,6,'1'
60,2000,8000,65,1,8,'1'
50,4000,16000,65,1,8,'2'
350,64,64,0,1,4,'1'
200,512,16000,0,4,32,'1'
167,524,2000,8,4,15,'1'
143,512,5000,0,7,32,'1'
143,1000,2000,0,5,16,'1'
110,5000,5000,142,8,64,'2'
143,1500,6300,0,5,32,'1'
143,3100,6200,0,5,20,'1'
143,2300,6200,0,6,64,'1'
110,3100,6200,0,6,64,'1'
320,128,6000,0,1,12,'1'
320,512,2000,4,1,3,'1'
320,256,6000,0,1,6,'1'
320,256,3000,4,1,3,'1'
320,512,5000,4,1,5,'1'
320,256,5000,4,1,6,'1'
25,1310,2620,131,12,24,'2'
25,1310,2620,131,12,24,'2'
50,2620,10480,30,12,24,'1'
50,2620,10480,30,12,24,'1'
56,5240,20970,30,12,24,'2'
64,5240,20970,30,12,24,'2'
50,500,2000,8,1,4,'1'
50,1000,4000,8,1,5,'1'
50,2000,8000,8,1,5,'1'
50,1000,4000,8,3,5,'1'
50,1000,8000,8,3,5,'1'
50,2000,16000,8,3,5,'1'
50,2000,16000,8,3,6,'1'
50,2000,16000,8,3,6,'1'
133,1000,12000,9,3,12,'1'
133,1000,8000,9,3,12,'1'
810,512,512,8,1,1,'1'
810,1000,5000,0,1,1,'1'
320,512,8000,4,1,5,'1'
200,512,8000,8,1,8,'1'
700,384,8000,0,1,1,'1'
700,256,2000,0,1,1,'1'
140,1000,16000,16,1,3,'2'
200,1000,8000,0,1,2,'1'
110,1000,4000,16,1,2,'1'
110,1000,12000,16,1,2,'1'
220,1000,8000,16,1,2,'1'
800,256,8000,0,1,4,'1'
800,256,8000,0,1,4,'1'
800,256,8000,0,1,4,'1'
800,256,8000,0,1,4,'1'
800,256,8000,0,1,4,'1'
125,512,1000,0,8,20,'1'
75,2000,8000,64,1,38,'2'
