@relation aux
@attribute ozone numeric
@attribute radiation numeric
@attribute temperature numeric
@attribute class {'1','2'}
@data
41,190,67,'1'
36,118,72,'1'
12,149,74,'2'
18,313,62,'2'
23,299,65,'1'
19,99,59,'2'
8,19,61,'2'
16,256,69,'1'
11,290,66,'1'
14,274,68,'2'
18,65,58,'2'
14,334,64,'2'
34,307,66,'2'
6,78,57,'2'
30,322,68,'2'
11,44,62,'1'
1,8,59,'1'
11,320,73,'2'
4,25,61,'1'
32,92,61,'2'
23,13,67,'2'
45,252,81,'2'
115,223,79,'1'
37,279,76,'1'
29,127,82,'1'
71,291,90,'2'
39,323,87,'2'
23,148,82,'1'
21,191,77,'2'
37,284,72,'2'
20,37,65,'1'
12,120,73,'2'
13,137,76,'2'
135,269,84,'1'
49,248,85,'1'
32,236,81,'1'
64,175,83,'1'
40,314,83,'2'
77,276,88,'1'
97,267,92,'1'
97,272,92,'1'
85,175,89,'1'
10,264,73,'2'
27,175,81,'2'
7,48,80,'2'
48,260,81,'1'
35,274,82,'2'
61,285,84,'1'
79,187,87,'1'
63,220,85,'2'
16,7,74,'1'
80,294,86,'1'
108,223,85,'1'
20,81,82,'1'
52,82,86,'2'
82,213,88,'1'
50,275,86,'1'
64,253,83,'1'
59,254,81,'1'
39,83,81,'1'
9,24,81,'2'
16,77,82,'1'
122,255,89,'1'
89,229,90,'2'
110,207,90,'1'
44,192,86,'2'
28,273,82,'2'
65,157,80,'1'
22,71,77,'2'
59,51,79,'1'
23,115,76,'1'
31,244,78,'2'
44,190,78,'2'
21,259,77,'2'
9,36,72,'2'
45,212,79,'1'
168,238,81,'1'
73,215,86,'1'
76,203,97,'1'
118,225,94,'1'
84,237,96,'1'
85,188,94,'1'
96,167,91,'1'
78,197,92,'1'
73,183,93,'1'
91,189,93,'1'
47,95,87,'1'
32,92,84,'2'
20,252,80,'2'
23,220,78,'2'
21,230,75,'2'
24,259,73,'1'
44,236,81,'2'
21,259,76,'2'
28,238,77,'1'
9,24,71,'2'
13,112,71,'2'
46,237,78,'1'
18,224,67,'2'
13,27,76,'2'
24,238,68,'2'
16,201,82,'1'
13,238,64,'2'
23,14,71,'1'
36,139,81,'2'
7,49,69,'2'
14,20,63,'2'
30,193,70,'1'
14,191,75,'2'
18,131,76,'1'
20,223,68,'2'
