@relation aux
@attribute heart_rate numeric
@attribute sleep_state {'1','2','3','4'}
@attribute class {'1','2'}
@data
152,'4','2'
156,'4','2'
147,'4','2'
145,'4','2'
129,'4','2'
131,'4','2'
137,'4','2'
138,'4','2'
139,'4','2'
141,'4','2'
142,'4','2'
128,'4','2'
142,'4','2'
155,'4','2'
150,'4','2'
146,'4','2'
150,'4','2'
146,'4','2'
151,'4','2'
145,'4','2'
146,'4','2'
146,'4','2'
139,'4','2'
135,'4','2'
141,'4','2'
145,'4','2'
149,'4','2'
140,'4','2'
146,'4','2'
147,'4','2'
144,'4','2'
140,'4','2'
135,'4','2'
118,'4','2'
120,'4','2'
135,'4','2'
146,'4','2'
139,'4','2'
138,'4','2'
129,'4','2'
130,'4','2'
128,'4','2'
125,'4','2'
127,'4','2'
131,'4','2'
132,'4','2'
145,'4','2'
153,'4','2'
154,'4','2'
145,'4','2'
146,'4','2'
140,'4','2'
134,'4','2'
128,'4','2'
127,'4','2'
140,'4','2'
143,'4','2'
138,'4','2'
124,'4','2'
123,'4','2'
131,'4','2'
151,'4','2'
136,'4','2'
126,'2','2'
127,'2','2'
129,'2','2'
124,'2','2'
128,'2','2'
130,'2','2'
121,'2','2'
141,'2','2'
128,'2','2'
130,'2','2'
124,'2','2'
128,'1','2'
122,'1','2'
130,'1','2'
130,'1','2'
135,'1','2'
125,'1','2'
123,'1','2'
127,'1','2'
125,'1','2'
125,'1','2'
129,'1','2'
128,'1','2'
130,'1','2'
128,'1','2'
130,'1','2'
129,'1','2'
129,'1','2'
129,'1','2'
130,'1','2'
131,'1','2'
131,'1','2'
130,'1','2'
131,'1','2'
131,'1','2'
132,'1','2'
129,'1','2'
131,'1','2'
131,'1','2'
128,'1','2'
127,'1','2'
128,'1','2'
129,'1','2'
131,'1','2'
131,'1','2'
131,'1','2'
131,'1','2'
129,'1','2'
125,'1','2'
124,'1','2'
130,'1','2'
125,'1','2'
126,'1','2'
127,'1','2'
124,'1','2'
122,'1','2'
128,'1','2'
128,'1','2'
126,'1','2'
130,'1','2'
114,'1','2'
123,'1','2'
116,'3','2'
127,'3','2'
123,'3','2'
131,'3','2'
125,'3','2'
123,'3','2'
125,'3','2'
123,'3','2'
114,'3','2'
120,'3','1'
130,'3','2'
126,'3','2'
112,'3','2'
