@relation aux
@attribute Gold2000 numeric
@attribute Silver2000 numeric
@attribute Bronze2000 numeric
@attribute Total2000 numeric
@attribute Population numeric
@attribute Athletes numeric
@attribute GDP numeric
@attribute Total1996 numeric
@attribute Log1996 numeric
@attribute Log.population numeric
@attribute Log.GDP numeric
@attribute class {'1','2'}
@data
39,25,33,97,274028,664,7567100,101,4.615121,12.520986,15.83932,'2'
32,28,28,88,147434,468,356030,63,4.143135,11.901136,12.78277,'2'
28,16,15,59,1255698,295,906079,50,3.912023,14.043202,13.716882,'2'
16,25,17,58,18520,655,367802,41,3.713572,9.826607,12.8153,'2'
14,17,26,57,82133,497,2364632,65,4.174387,11.316095,14.676133,'2'
13,14,11,38,58683,359,1533619,37,3.610918,10.979905,14.243141,'2'
14,8,13,35,57369,413,1140484,35,3.555348,10.957259,13.946963,'2'
11,11,7,29,11116,245,18600,25,3.218876,9.316141,9.830917,'2'
11,10,7,28,58649,355,1152136,15,2.70805,10.979326,13.957128,'2'
8,9,11,28,23348,292,483130,27,3.295837,10.058267,13.088041,'2'
11,6,9,26,22474,169,36191,20,2.995732,10.020114,10.496566,'2'
12,9,4,25,15678,254,402565,19,2.944439,9.660014,12.905612,'2'
3,10,10,23,50861,248,60904,23,3.135494,10.836852,11.017054,'2'
5,8,5,18,126281,286,5149185,14,2.639057,11.746265,15.454349,'2'
8,6,3,17,10116,204,44274,21,3.044522,9.221874,10.698153,'2'
3,3,11,17,10315,156,22452,15,2.70805,9.241354,10.019135,'2'
6,5,3,14,38718,205,124682,17,2.833213,10.56406,11.733522,'2'
3,3,8,14,30563,332,569899,22,3.091042,10.327545,13.253214,'2'
5,6,2,13,8336,98,9924,15,2.70805,9.028339,9.202711,'1'
4,6,3,13,10600,166,120021,8,2.079442,9.268609,11.695422,'2'
4,5,3,12,8875,164,227315,8,2.079442,9.090994,12.334092,'2'
0,6,6,12,165851,206,709591,15,2.70805,12.018845,13.472444,'2'
3,3,5,11,39628,354,563249,17,2.833213,10.587291,13.241477,'2'
4,3,3,10,4419,110,151198,7,1.94591,8.393669,11.926346,'2'
1,6,2,9,7299,115,313729,7,1.94591,8.895493,12.656285,'2'
4,1,3,8,59649,31,6042,3,1.098612,10.996233,8.70649,'1'
2,3,3,8,10282,140,120800,11,2.397895,9.23815,11.701892,'2'
3,4,0,7,16319,135,22213,11,2.397895,9.700085,10.008433,'2'
2,3,2,7,29008,58,8661,8,2.079442,10.275327,9.066585,'1'
0,4,3,7,2538,53,8800,6,1.791759,7.839132,9.082507,'1'
2,3,1,6,5270,110,168917,6,1.791759,8.569786,12.037163,'2'
1,3,2,6,206338,48,213384,4,1.386294,12.237271,12.270849,'1'
1,2,3,6,95831,81,314718,1,0,11.470342,12.659432,'1'
0,0,6,6,5059,36,4590,2,0.693147,8.528924,8.431635,'1'
3,0,2,5,64479,59,177530,6,1.791759,11.074095,12.086895,'1'
2,0,3,5,3694,68,8455,1,0,8.214465,9.042513,'1'
1,3,1,5,5377,115,18206,3,1.098612,8.589886,9.809506,'2'
1,1,3,5,30081,49,43726,3,1.098612,10.311649,10.685698,'1'
0,2,3,5,10141,70,268633,6,1.791759,9.224342,12.501101,'1'
0,2,3,5,39357,134,132455,5,1.609438,10.580429,11.793998,'2'
0,1,4,5,6660,55,297953,1,0,8.803875,12.604691,'1'
0,1,4,5,27377,60,34936,2,0.693147,10.217459,10.461273,'1'
3,0,1,4,65758,35,347600,3,1.098612,11.093737,12.758808,'1'
2,1,1,4,5154,78,119086,4,1.386294,8.547528,11.687601,'1'
1,1,2,4,23574,80,23490,2,0.693147,10.0679,10.06433,'1'
1,0,3,4,3796,165,57135,6,1.791759,8.241703,10.953172,'2'
0,2,2,4,36123,152,295131,3,1.098612,10.494685,12.595175,'2'
0,1,3,4,46109,31,20867,5,1.609438,10.738763,9.945924,'1'
2,1,0,3,8140,97,226510,3,1.098612,9.004545,12.330544,'1'
2,0,1,3,7669,31,3642,1,0,8.944942,8.200288,'1'
1,1,1,3,2424,48,5730,1,0,7.793174,8.653471,'1'
1,1,1,3,10635,121,20039,4,1.386294,9.271906,9.905436,'2'
1,0,2,3,60300,59,177476,2,0.693147,11.007087,12.086591,'1'
0,3,0,3,106409,91,27599,6,1.791759,11.575045,10.225535,'1'
2,0,0,2,1993,90,18390,2,0.693147,7.597396,9.819562,'1'
1,1,0,2,296,28,3391,1,0,5.690359,8.12888,'1'
1,0,1,2,4784,113,181130,2,0.693147,8.473032,12.10697,'2'
0,1,1,2,1283,23,5017,2,0.693147,7.156956,8.520587,'1'
0,1,1,2,4378,34,2542,2,0.693147,8.384347,7.840706,'1'
0,0,2,2,3841,7,9081,1,0,8.253488,9.11394,'1'
0,0,2,2,9869,85,100934,2,0.693147,9.197154,11.522222,'1'
1,0,0,1,18880,5,1472,1,0,9.845858,7.294377,'1'
0,1,0,1,3681,78,73700,4,1.386294,8.21094,11.207758,'1'
0,0,1,1,3536,28,2387,2,0.693147,8.170751,7.777793,'1'
0,0,1,1,5984,40,90310,1,0,8.696845,11.411003,'1'
0,0,1,1,982223,78,357759,1,0,13.797574,12.787615,'1'
