@relation aux
@attribute Automatic {'CA','H','MA','N','OA'}
@attribute Scorer_2 {'CA','H','MA','N','OA'}
@attribute Subject numeric
@attribute class {'1','2'}
@data
'N','N',1,'2'
'H','N',1,'1'
'OA','N',1,'1'
'MA','N',1,'1'
'CA','N',1,'2'
'N','H',1,'2'
'H','H',1,'2'
'OA','H',1,'2'
'MA','H',1,'1'
'CA','H',1,'1'
'N','OA',1,'1'
'H','OA',1,'1'
'OA','OA',1,'1'
'MA','OA',1,'1'
'CA','OA',1,'1'
'N','MA',1,'1'
'H','MA',1,'1'
'OA','MA',1,'1'
'MA','MA',1,'1'
'CA','MA',1,'1'
'N','CA',1,'2'
'H','CA',1,'1'
'OA','CA',1,'1'
'MA','CA',1,'1'
'CA','CA',1,'2'
'N','N',2,'2'
'H','N',2,'1'
'OA','N',2,'1'
'MA','N',2,'1'
'CA','N',2,'2'
'N','H',2,'1'
'H','H',2,'1'
'OA','H',2,'1'
'MA','H',2,'1'
'CA','H',2,'1'
'N','OA',2,'1'
'H','OA',2,'1'
'OA','OA',2,'1'
'MA','OA',2,'1'
'CA','OA',2,'1'
'N','MA',2,'1'
'H','MA',2,'1'
'OA','MA',2,'1'
'MA','MA',2,'1'
'CA','MA',2,'1'
'N','CA',2,'2'
'H','CA',2,'1'
'OA','CA',2,'1'
'MA','CA',2,'1'
'CA','CA',2,'2'
'N','N',3,'2'
'H','N',3,'1'
'OA','N',3,'1'
'MA','N',3,'1'
'CA','N',3,'1'
'N','H',3,'1'
'H','H',3,'1'
'OA','H',3,'1'
'MA','H',3,'1'
'CA','H',3,'1'
'N','OA',3,'1'
'H','OA',3,'1'
'OA','OA',3,'1'
'MA','OA',3,'1'
'CA','OA',3,'1'
'N','MA',3,'1'
'H','MA',3,'1'
'OA','MA',3,'1'
'MA','MA',3,'1'
'CA','MA',3,'1'
'N','CA',3,'1'
'H','CA',3,'1'
'OA','CA',3,'1'
'MA','CA',3,'1'
'CA','CA',3,'2'
'N','N',4,'2'
'H','N',4,'1'
'OA','N',4,'1'
'MA','N',4,'1'
'CA','N',4,'1'
'N','H',4,'1'
'H','H',4,'1'
'OA','H',4,'1'
'MA','H',4,'1'
'CA','H',4,'1'
'N','OA',4,'1'
'H','OA',4,'1'
'OA','OA',4,'1'
'MA','OA',4,'1'
'CA','OA',4,'1'
'N','MA',4,'1'
'H','MA',4,'1'
'OA','MA',4,'1'
'MA','MA',4,'1'
'CA','MA',4,'1'
'N','CA',4,'1'
'H','CA',4,'1'
'OA','CA',4,'1'
'MA','CA',4,'1'
'CA','CA',4,'1'
'N','N',5,'2'
'H','N',5,'1'
'OA','N',5,'1'
'MA','N',5,'1'
'CA','N',5,'2'
'N','H',5,'1'
'H','H',5,'1'
'OA','H',5,'1'
'MA','H',5,'1'
'CA','H',5,'1'
'N','OA',5,'1'
'H','OA',5,'1'
'OA','OA',5,'1'
'MA','OA',5,'1'
'CA','OA',5,'1'
'N','MA',5,'1'
'H','MA',5,'1'
'OA','MA',5,'1'
'MA','MA',5,'1'
'CA','MA',5,'1'
'N','CA',5,'1'
'H','CA',5,'1'
'OA','CA',5,'1'
'MA','CA',5,'1'
'CA','CA',5,'2'
