@relation aux
@attribute Age numeric
@attribute Civil numeric
@attribute Can.US numeric
@attribute class {'1','2'}
@data
31.18637,22.83411,7.394009,'2'
55.55914,18.82398,4.649171,'1'
46.84475,14.74777,7.412544,'2'
38.65486,16.11274,9.091577,'2'
31.14866,14.08295,11.007282,'2'
21.2955,14.26631,14.826195,'2'
54.14984,15.5977,5.549157,'1'
41.13384,21.82097,5.629469,'1'
32.61265,20.9435,15.480536,'1'
84.19693,18.86272,7.066119,'2'
53.40041,23.1884,10.86045,'2'
36.32352,14.18041,7.793161,'2'
38.24642,17.52741,9.228531,'2'
16.90371,19.21725,12.119771,'2'
49.64308,21.88894,9.367929,'1'
38.69632,17.99165,9.757161,'2'
51.78011,23.46203,7.163988,'1'
48.66861,20.55046,3.349288,'1'
68.20977,20.71243,8.180897,'1'
40.88956,16.8964,7.623984,'2'
70.19353,22.46233,4.892901,'2'
49.78243,24.57066,9.785597,'2'
29.22088,21.2202,9.920431,'2'
61.9452,22.34577,8.0944,'1'
69.92424,24.33128,8.921105,'2'
22.41093,23.81666,7.92407,'2'
73.14208,25.81556,5.392962,'2'
50.25041,18.48134,9.246144,'1'
59.90858,25.38729,8.250439,'2'
47.40993,15.54821,8.253026,'2'
59.22101,21.84382,17.137112,'1'
38.11056,23.03169,9.639585,'2'
38.82649,24.6327,5.30688,'2'
40.49625,18.48409,10.502372,'1'
46.27111,23.04858,7.546625,'2'
60.69474,15.60124,12.359905,'1'
56.9887,21.24923,9.328762,'1'
50.3076,24.42922,6.436592,'2'
31.10928,19.38341,8.685407,'1'
58.87905,20.6005,10.305835,'2'
32.85657,17.12442,7.96686,'1'
29.6662,21.65633,12.43705,'2'
36.12341,21.3262,11.214588,'1'
44.93738,24.62855,4.594869,'1'
44.89563,23.35907,9.4516,'1'
42.55286,19.47317,5.157527,'2'
39.00749,18.88768,10.276209,'2'
28.48044,19.01452,11.769225,'2'
48.10498,19.59423,9.962055,'1'
70.48336,22.7967,6.384136,'1'
41.8252,18.17218,11.039347,'1'
64.93879,22.27267,11.77969,'2'
67.78167,17.01638,11.967506,'1'
63.71057,16.96794,12.084795,'2'
26.6358,18.66263,8.182603,'1'
32.17431,12.31332,4.042098,'2'
29.95373,11.29584,5.509431,'2'
28.72693,10.82765,8.841081,'1'
37.19417,19.13134,4.167812,'2'
33.77907,23.11272,11.328474,'1'
17.25073,20.25152,9.062926,'2'
34.1775,17.75105,11.36868,'1'
60.84548,19.47414,6.690848,'2'
30.85411,17.00643,7.508841,'1'
35.95761,20.01411,6.456081,'1'
55.38179,21.8412,9.043536,'2'
38.01466,13.82133,11.917102,'1'
31.09277,20.50169,8.384408,'1'
66.16185,20.98436,7.962789,'2'
36.88611,26.62899,9.925015,'2'
26.24839,16.37618,9.206887,'2'
52.60568,26.44081,12.057291,'1'
45.49325,15.32068,4.805596,'1'
54.82461,20.53692,8.685458,'1'
34.48473,21.45076,4.187657,'2'
44.16966,11.97941,11.715031,'1'
53.20888,19.28388,11.385194,'2'
29.77773,21.62575,7.723369,'2'
31.48746,18.88074,8.664322,'2'
53.39722,27.6194,17.945732,'2'
48.65152,13.79837,11.043041,'2'
34.55501,20.04578,9.647154,'1'
29.16693,13.75281,9.239416,'2'
30.30996,16.85495,12.189791,'2'
44.45727,21.99979,13.024019,'1'
19.66987,15.12152,10.161239,'2'
44.05678,21.30771,10.108403,'2'
46.87087,22.14846,10.763728,'2'
51.29583,20.27642,7.493956,'1'
49.91967,10.24715,13.010366,'2'
39.07306,18.61345,7.68082,'2'
50.80356,12.18998,7.530484,'2'
50.90849,19.67577,8.997192,'2'
36.3622,21.77894,12.502025,'2'
53.05573,8.139584,7.405971,'1'
36.87878,21.065959,9.562442,'2'
54.33095,24.20832,6.118009,'2'
28.18625,16.265045,6.60199,'2'
24.24785,12.435849,6.313998,'2'
37.62636,27.308125,8.243452,'2'
38.18392,18.391304,13.57448,'1'
51.03951,22.727726,8.959712,'2'
36.06605,28.928272,9.041547,'2'
50.97347,12.843044,4.782641,'2'
43.75758,14.928319,3.680485,'2'
44.09445,15.717843,9.573348,'2'
52.70474,17.011994,6.779439,'2'
52.51761,24.448252,8.187178,'2'
29.5821,18.732784,11.727603,'1'
45.42079,20.391128,6.966569,'2'
48.5508,20.766737,7.195625,'1'
44.05683,28.215953,13.898368,'2'
40.59795,24.29844,11.505016,'2'
62.59774,20.919083,10.388981,'2'
64.52395,21.890008,11.146322,'2'
30.92853,15.16459,9.504353,'2'
38.29697,22.088098,7.034256,'1'
29.53164,26.062636,12.482617,'1'
35.11554,19.199661,6.712813,'1'
31.24179,16.232492,7.339393,'2'
42.1688,21.48458,17.471127,'1'
55.3512,12.377082,9.109013,'2'
30.60091,15.007547,11.457449,'2'
60.88695,17.859766,16.815912,'2'
36.29126,19.428858,7.082709,'2'
68.82696,22.461753,15.021384,'2'
43.89838,17.414551,9.249423,'1'
