@relation aux
@attribute Age numeric
@attribute Civil numeric
@attribute Can.US numeric
@attribute class {'1','2'}
@data
23.532389,29.42811,4.36037,'1'
59.626422,23.836741,5.859656,'2'
45.682512,8.227006,9.292625,'1'
37.698205,14.36713,8.06957,'2'
33.994757,17.807684,14.42789,'1'
26.882009,13.043289,18.688364,'2'
53.842859,9.138462,4.747932,'2'
42.442568,19.264733,12.29712,'1'
31.906834,11.764081,16.135605,'1'
81.215532,12.416312,5.839766,'2'
53.77399,20.887984,6.168898,'2'
35.940005,1.732548,6.727001,'2'
42.707532,12.874006,8.846593,'2'
9.079582,20.946008,10.552738,'2'
50.955519,28.922443,7.621261,'1'
45.267637,18.176793,6.731224,'2'
48.605993,30.570037,4.385733,'2'
52.233819,25.814605,3.246501,'1'
62.206974,12.674118,12.13834,'1'
49.982072,11.363703,6.869758,'2'
75.590107,26.513122,6.500797,'2'
52.493193,19.091138,13.184026,'2'
28.374695,26.790837,15.545151,'2'
55.516388,20.922633,8.613632,'1'
65.154747,22.582827,10.578372,'2'
26.304376,14.686453,9.107645,'2'
70.715498,18.334349,3.948309,'2'
42.24049,18.140507,12.498873,'2'
53.560822,21.242344,8.697504,'2'
43.248115,16.268829,8.117798,'2'
56.432621,20.599094,18.529186,'1'
41.141973,27.840025,11.816953,'2'
38.927568,28.103649,0.498865,'2'
43.060564,15.859981,13.330741,'2'
40.779694,25.559825,8.430193,'1'
63.172696,18.308998,10.690004,'1'
54.720039,24.107274,7.333687,'2'
58.172396,21.49765,5.377434,'2'
27.38778,16.61804,6.336821,'2'
51.778954,17.730399,10.531135,'2'
31.93691,14.526499,9.110852,'1'
32.694012,29.266048,10.100635,'1'
37.785012,16.313605,14.054034,'1'
42.512147,16.776678,4.495178,'2'
44.175977,18.845724,8.451563,'2'
43.08511,19.112413,4.070279,'2'
38.052534,26.016072,10.042079,'2'
18.76836,30.890604,7.838419,'2'
42.69398,24.254582,12.203349,'1'
63.39901,15.951617,4.959822,'1'
47.73758,21.84078,6.276407,'1'
63.3375,16.68712,15.181407,'1'
64.62566,8.653961,12.348222,'2'
61.12597,10.937095,9.867441,'2'
28.93022,19.352744,5.639552,'1'
35.02604,8.81834,1.973732,'2'
33.26865,-0.617459,6.457413,'1'
27.89846,16.328401,11.110817,'1'
35.13197,21.067151,9.051805,'2'
37.88261,19.20572,9.221414,'2'
20.58881,26.395693,9.164312,'2'
33.59109,4.624334,8.078751,'1'
64.67773,29.22852,4.910587,'2'
31.57348,19.716716,10.629851,'1'
31.64919,22.161503,11.010811,'1'
58.56576,18.950223,10.5104,'1'
30.88615,10.997022,13.125554,'1'
23.61735,17.629785,5.032891,'1'
69.56984,23.347131,8.557324,'2'
37.14245,21.813314,7.858374,'2'
26.91929,9.045653,10.847806,'2'
60.064,16.530839,12.174473,'1'
52.95456,14.412254,2.110831,'1'
50.55268,24.316393,8.698874,'2'
34.29229,21.790887,5.57018,'1'
46.32972,6.521044,15.773852,'1'
49.42401,14.540583,15.942546,'2'
40.99183,16.255379,5.264684,'2'
21.46442,30.52722,6.778565,'2'
41.86589,23.320483,19.046629,'1'
54.04422,12.732965,11.522474,'2'
40.24288,17.482205,8.179686,'2'
29.35824,14.960191,9.601594,'2'
31.23262,13.471607,14.177519,'2'
43.81709,34.40176,17.66385,'2'
16.87616,10.859426,9.411403,'2'
45.45257,14.39691,11.654254,'2'
48.30879,22.953578,16.753305,'2'
51.13177,25.439056,4.76722,'2'
55.8244,-1.141984,13.903507,'2'
35.56688,16.790185,9.610113,'1'
51.51527,12.588804,9.945439,'2'
46.98138,28.537849,7.012328,'2'
40.00931,17.742257,12.69119,'2'
61.78803,11.985086,4.550837,'2'
31.44156,24.968817,6.708154,'2'
57.06691,23.428117,7.569742,'2'
27.53936,16.429567,5.155034,'2'
30.68619,6.95877,5.8928,'2'
34.34053,29.151823,8.313547,'2'
36.04658,11.519307,17.107253,'1'
49.23566,24.612394,10.843007,'2'
34.55327,29.135165,12.946714,'2'
43.13551,12.718241,4.463657,'2'
38.69533,21.094509,4.558278,'2'
34.51182,23.029645,11.723037,'2'
47.8474,18.684854,9.146771,'2'
53.2133,25.065426,4.827062,'2'
32.41175,25.688791,16.835325,'1'
42.3425,26.373699,0.325633,'1'
50.84267,28.967274,8.210139,'1'
41.48177,27.452789,21.802222,'2'
35.01518,24.874934,13.012844,'2'
62.06408,31.802794,14.297915,'2'
64.42893,20.471853,13.221583,'2'
31.40722,19.686756,12.272225,'2'
38.68294,21.962463,1.365808,'1'
29.54265,27.161494,12.711666,'1'
41.94063,10.823145,8.574421,'1'
39.16807,18.013965,13.4472,'2'
43.41535,15.918564,15.366874,'2'
48.43342,11.503495,8.447168,'2'
28.98547,7.223125,10.821375,'2'
52.82749,26.336608,21.173159,'2'
33.38632,22.445815,4.761355,'1'
64.00543,18.701067,13.060758,'2'
40.78202,15.493253,6.20704,'1'
32.18787,14.137501,10.673733,'2'
47.91388,19.007404,13.231618,'1'
32.73593,10.350172,9.274058,'2'
48.46117,32.439071,15.584425,'1'
43.92322,18.282073,10.984225,'1'
44.69215,22.096866,13.240122,'2'
45.70274,16.622924,3.972251,'1'
57.58898,5.407808,16.03557,'2'
68.50798,16.822559,16.532507,'1'
31.10504,22.962631,11.654086,'1'
63.00667,21.997565,12.091514,'2'
55.47159,14.511913,13.349943,'1'
57.76958,18.390095,15.106271,'2'
38.99409,8.693074,9.679333,'2'
40.911939,35.447742,6.734288,'1'
34.29467,22.006575,3.351018,'2'
37.156378,17.677708,7.620967,'2'
35.163763,20.348014,8.361747,'2'
38.65862,21.274448,3.878784,'2'
51.059922,20.856839,6.417753,'2'
43.963919,23.860097,3.413389,'2'
32.629388,19.194947,2.997044,'2'
38.567724,7.945856,13.435713,'2'
40.228616,24.441571,11.325811,'2'
62.368871,17.285218,13.404031,'1'
31.401246,20.177787,8.005927,'2'
29.574507,19.406086,7.444266,'1'
35.955069,18.104917,6.209061,'1'
26.783852,16.398572,8.552474,'2'
32.388095,18.777107,4.771126,'2'
41.967789,15.993304,18.118434,'1'
34.529375,27.449545,3.72243,'2'
32.909274,19.184503,11.442367,'1'
44.999605,13.984202,13.903784,'1'
36.708872,12.693636,6.631475,'2'
38.225624,25.264782,8.601658,'2'
3.958579,6.386352,7.524628,'2'
42.455563,5.904942,11.577219,'2'
63.929618,16.807057,6.688885,'2'
56.799339,17.893995,15.662966,'1'
29.507029,27.044353,3.647606,'2'
52.391174,15.628642,7.212599,'2'
52.931517,11.389055,15.985239,'1'
34.270632,3.602504,2.746411,'2'
59.167506,20.153196,17.358192,'2'
60.261205,16.406237,4.964685,'2'
41.087163,19.725986,10.423953,'1'
23.787923,16.148963,5.666108,'1'
36.289101,31.44854,7.741319,'1'
36.309777,26.166475,14.062613,'1'
20.99881,18.132575,5.64002,'2'
41.175995,26.285403,7.288877,'1'
65.30109,6.613621,14.093183,'2'
60.491685,15.555218,4.271268,'1'
44.244803,16.942483,5.777045,'1'
51.837417,22.092358,7.555865,'2'
57.73007,30.598956,10.266301,'1'
37.287835,12.155175,6.434396,'2'
42.831043,25.746921,7.876315,'1'
40.13141,13.568794,9.669467,'1'
57.171095,16.88684,4.673702,'1'
22.046724,18.023394,5.664223,'2'
42.265811,21.116726,2.868419,'2'
55.303876,23.578742,7.790484,'1'
21.193924,14.998202,10.99801,'1'
26.990121,14.828261,19.11279,'2'
30.571691,20.109419,17.965897,'1'
54.138791,22.618513,9.945175,'1'
64.568199,15.367627,12.677979,'1'
52.361402,14.842489,5.444365,'1'
51.771224,27.124716,16.998803,'2'
35.153331,24.733548,2.928197,'2'
24.041597,6.740195,5.226276,'1'
25.281643,20.957642,7.900526,'1'
43.622711,25.84604,10.254428,'2'
45.165184,18.627521,2.70652,'2'
53.903366,12.337672,10.769849,'2'
44.55546,16.906082,12.85237,'1'
32.053582,10.054337,15.825318,'2'
32.030703,18.391028,13.218115,'2'
62.858132,10.643816,7.810853,'2'
59.621581,24.731146,12.58229,'1'
58.850007,26.266857,9.426301,'2'
50.051524,2.624582,10.657826,'2'
9.290921,10.994427,6.706242,'2'
63.6353,31.703272,2.937937,'1'
41.373354,16.683774,6.327664,'1'
55.561004,23.099831,1.04216,'2'
66.92442,18.301034,8.547163,'1'
65.933894,12.612001,9.509697,'2'
40.60523,34.038447,14.861367,'1'
