@relation aux
@attribute vendor {'adviser','amdahl','apollo','basf','bti','burroughs','c.r.d','cdc','cambex','dec','dg','formation','four-phase','gould','hp','harris','honeywell','ibm','ipl','magnuson','microdata','nas','ncr','nixdorf','perkin-elmer','prime','siemens','sperry','sratus','wang'}
@attribute MYCT numeric
@attribute MMIN numeric
@attribute MMAX numeric
@attribute CACH numeric
@attribute CHMIN numeric
@attribute CHMAX numeric
@attribute class {'1','2'}
@data
'adviser',125,256,6000,256,16,128,'2'
'amdahl',29,8000,32000,32,8,32,'2'
'amdahl',29,8000,32000,32,8,32,'2'
'amdahl',29,8000,32000,32,8,32,'2'
'amdahl',29,8000,16000,32,8,16,'2'
'amdahl',26,8000,32000,64,8,32,'2'
'amdahl',23,16000,32000,64,16,32,'2'
'amdahl',23,16000,32000,64,16,32,'2'
'amdahl',23,16000,64000,64,16,32,'2'
'amdahl',23,32000,64000,128,32,64,'2'
'apollo',400,1000,3000,0,1,2,'1'
'apollo',400,512,3500,4,1,6,'1'
'basf',60,2000,8000,65,1,8,'1'
'basf',50,4000,16000,65,1,8,'2'
'bti',350,64,64,0,1,4,'1'
'bti',200,512,16000,0,4,32,'1'
'burroughs',167,524,2000,8,4,15,'1'
'burroughs',143,512,5000,0,7,32,'1'
'burroughs',143,1000,2000,0,5,16,'1'
'burroughs',110,5000,5000,142,8,64,'2'
'burroughs',143,1500,6300,0,5,32,'1'
'burroughs',143,3100,6200,0,5,20,'1'
'burroughs',143,2300,6200,0,6,64,'1'
'burroughs',110,3100,6200,0,6,64,'1'
'c.r.d',320,128,6000,0,1,12,'1'
'c.r.d',320,512,2000,4,1,3,'1'
'c.r.d',320,256,6000,0,1,6,'1'
'c.r.d',320,256,3000,4,1,3,'1'
'c.r.d',320,512,5000,4,1,5,'1'
'c.r.d',320,256,5000,4,1,6,'1'
'cdc',25,1310,2620,131,12,24,'2'
'cdc',25,1310,2620,131,12,24,'2'
'cdc',50,2620,10480,30,12,24,'1'
'cdc',50,2620,10480,30,12,24,'1'
'cdc',56,5240,20970,30,12,24,'2'
'cdc',64,5240,20970,30,12,24,'2'
'cdc',50,500,2000,8,1,4,'1'
'cdc',50,1000,4000,8,1,5,'1'
'cdc',50,2000,8000,8,1,5,'1'
'cambex',50,1000,4000,8,3,5,'1'
'cambex',50,1000,8000,8,3,5,'1'
'cambex',50,2000,16000,8,3,5,'1'
'cambex',50,2000,16000,8,3,6,'1'
'cambex',50,2000,16000,8,3,6,'1'
'dec',133,1000,12000,9,3,12,'1'
'dec',133,1000,8000,9,3,12,'1'
'dec',810,512,512,8,1,1,'1'
'dec',810,1000,5000,0,1,1,'1'
'dec',320,512,8000,4,1,5,'1'
'dec',200,512,8000,8,1,8,'1'
'dg',700,384,8000,0,1,1,'1'
'dg',700,256,2000,0,1,1,'1'
'dg',140,1000,16000,16,1,3,'1'
'dg',200,1000,8000,0,1,2,'1'
'dg',110,1000,4000,16,1,2,'1'
'dg',110,1000,12000,16,1,2,'1'
'dg',220,1000,8000,16,1,2,'1'
'formation',800,256,8000,0,1,4,'1'
'formation',800,256,8000,0,1,4,'1'
'formation',800,256,8000,0,1,4,'1'
'formation',800,256,8000,0,1,4,'1'
'formation',800,256,8000,0,1,4,'1'
'four-phase',125,512,1000,0,8,20,'1'
'gould',75,2000,8000,64,1,38,'1'
'gould',75,2000,16000,64,1,38,'2'
'gould',75,2000,16000,128,1,38,'2'
'hp',90,256,1000,0,3,10,'1'
'hp',105,256,2000,0,3,10,'1'
'hp',105,1000,4000,0,3,24,'1'
'hp',105,2000,4000,8,3,19,'1'
'hp',75,2000,8000,8,3,24,'1'
'hp',75,3000,8000,8,3,48,'1'
'hp',175,256,2000,0,3,24,'1'
'harris',300,768,3000,0,6,24,'1'
'harris',300,768,3000,6,6,24,'1'
'harris',300,768,12000,6,6,24,'1'
'harris',300,768,4500,0,1,24,'1'
'harris',300,384,12000,6,1,24,'1'
'harris',300,192,768,6,6,24,'1'
'harris',180,768,12000,6,1,31,'1'
'honeywell',330,1000,3000,0,2,4,'1'
'honeywell',300,1000,4000,8,3,64,'1'
'honeywell',300,1000,16000,8,2,112,'1'
'honeywell',330,1000,2000,0,1,2,'1'
'honeywell',330,1000,4000,0,3,6,'1'
'honeywell',140,2000,4000,0,3,6,'1'
'honeywell',140,2000,4000,0,4,8,'1'
'honeywell',140,2000,4000,8,1,20,'1'
'honeywell',140,2000,32000,32,1,20,'2'
'honeywell',140,2000,8000,32,1,54,'1'
'honeywell',140,2000,32000,32,1,54,'2'
'honeywell',140,2000,32000,32,1,54,'2'
'honeywell',140,2000,4000,8,1,20,'1'
'ibm',57,4000,16000,1,6,12,'1'
'ibm',57,4000,24000,64,12,16,'2'
'ibm',26,16000,32000,64,16,24,'2'
'ibm',26,16000,32000,64,8,24,'2'
'ibm',26,8000,32000,0,8,24,'2'
'ibm',26,8000,16000,0,8,16,'2'
'ibm',480,96,512,0,1,1,'1'
'ibm',203,1000,2000,0,1,5,'1'
'ibm',115,512,6000,16,1,6,'1'
'ibm',1100,512,1500,0,1,1,'1'
'ibm',1100,768,2000,0,1,1,'1'
'ibm',600,768,2000,0,1,1,'1'
'ibm',400,2000,4000,0,1,1,'1'
'ibm',400,4000,8000,0,1,1,'1'
'ibm',900,1000,1000,0,1,2,'1'
'ibm',900,512,1000,0,1,2,'1'
'ibm',900,1000,4000,4,1,2,'1'
'ibm',900,1000,4000,8,1,2,'1'
'ibm',900,2000,4000,0,3,6,'1'
'ibm',225,2000,4000,8,3,6,'1'
'ibm',225,2000,4000,8,3,6,'1'
'ibm',180,2000,8000,8,1,6,'1'
'ibm',185,2000,16000,16,1,6,'1'
'ibm',180,2000,16000,16,1,6,'1'
'ibm',225,1000,4000,2,3,6,'1'
'ibm',25,2000,12000,8,1,4,'1'
'ibm',25,2000,12000,16,3,5,'1'
