@relation aux
@attribute col_2 numeric
@attribute col_3 numeric
@attribute class {'1','2'}
@data
1,15600,'1'
1,14650,'2'
1,15001,'1'
1,15628,'1'
1,14222,'1'
1,14222,'2'
1,15065,'2'
1,14916,'2'
1,14477,'2'
1,14308,'1'
1,14239,'2'
1,14202,'2'
1,12978,'1'
1,14511,'1'
1,13726,'2'
1,13555,'2'
1,13544,'1'
1,13723,'2'
1,13293,'1'
1,14333,'2'
1,13050,'1'
1,13207,'1'
1,13501,'2'
1,12548,'1'
1,13224,'2'
2,16423,'1'
2,15156,'2'
2,15973,'2'
2,14576,'2'
2,15361,'2'
2,14288,'2'
2,14711,'2'
2,14259,'2'
2,14290,'2'
2,13833,'2'
2,14033,'2'
2,12963,'2'
2,14255,'2'
2,12614,'1'
2,13175,'2'
2,12595,'1'
2,12219,'2'
3,22331,'2'
3,17063,'2'
3,15851,'2'
3,16113,'1'
3,15448,'2'
3,15421,'1'
3,15434,'1'
3,13597,'1'
3,15278,'2'
3,14724,'1'
3,15275,'2'
3,14450,'1'
3,14803,'1'
3,14033,'2'
3,14587,'2'
3,14201,'2'
3,13977,'1'
3,14570,'1'
3,14231,'1'
3,12890,'1'
3,14516,'2'
3,14039,'2'
3,14136,'2'
3,13505,'1'
3,12714,'1'
3,14371,'2'
3,13762,'2'
3,13669,'1'
3,13602,'2'
3,13721,'1'
3,13297,'1'
3,12948,'2'
4,22934,'2'
4,17819,'1'
4,18266,'2'
4,17188,'2'
4,16960,'2'
4,16040,'2'
4,16719,'1'
4,16457,'2'
4,15617,'1'
4,15705,'2'
4,15680,'1'
4,15756,'2'
4,15593,'2'
4,14099,'2'
4,13628,'2'
4,15556,'1'
4,14973,'2'
4,14874,'2'
4,13659,'1'
4,13554,'2'
4,13994,'2'
4,13685,'2'
4,13626,'1'
4,13240,'2'
4,12784,'1'
5,24161,'2'
5,22067,'2'
5,18125,'1'
5,20043,'2'
5,18311,'2'
5,18666,'2'
5,18913,'2'
5,19673,'2'
5,17666,'1'
5,17994,'2'
5,17682,'2'
5,16841,'2'
5,16159,'1'
5,15282,'1'
5,15795,'2'
5,14040,'1'
5,14973,'1'
5,14650,'1'
5,13148,'2'
5,12433,'1'
6,21995,'1'
6,21487,'2'
6,20966,'1'
6,18911,'1'
6,21349,'2'
6,18129,'1'
6,17847,'2'
6,18681,'2'
6,18146,'2'
6,17929,'2'
6,17643,'2'
6,18878,'1'
6,17367,'1'
6,17644,'1'
6,17666,'2'
6,17591,'2'
6,18275,'2'
6,17182,'2'
6,17311,'1'
6,16693,'2'
6,15663,'2'
6,16842,'2'
6,16396,'2'
6,17049,'1'
6,16502,'2'
6,15435,'2'
6,15200,'2'
6,16040,'1'
6,16783,'2'
6,15488,'2'
6,15591,'2'
6,14704,'2'
6,14742,'2'
6,14870,'1'
6,14348,'2'
6,15336,'2'
6,14455,'2'
7,13723,'1'
7,13726,'1'
7,12767,'1'
7,12952,'1'
7,11618,'1'
7,11700,'1'
7,12502,'1'
7,13320,'1'
7,10473,'1'
7,11885,'1'
7,11688,'1'
7,11419,'1'
7,11337,'1'
7,13183,'1'
7,10499,'1'
7,10859,'1'
7,10982,'1'
7,10176,'1'
7,12317,'1'
7,11412,'1'
7,11077,'1'
7,10856,'1'
7,10383,'1'
7,10232,'1'
7,9569,'1'
7,9939,'1'
7,10252,'1'
7,9781,'1'
7,9426,'1'
