@relation aux
@attribute oz1 numeric
@attribute oz2 numeric
@attribute oz3 numeric
@attribute oz4 numeric
@attribute oz5 numeric
@attribute class {'1','2'}
@data
-0.783396,0.083035,0.550633,0.060445,-0.390058,'2'
0.606526,1.462304,2.398482,1.696707,2.13029,'2'
0.915738,1.024161,-0.317019,-0.906453,-0.071312,'1'
0.78932,0.613411,0.318879,0.033238,0.341646,'1'
-1.369379,-1.086501,-0.321815,-0.203726,-0.674851,'1'
1.410934,0.807202,0.030256,-0.443959,0.403562,'1'
-0.072172,-0.808521,-0.647298,0.243744,-0.495955,'2'
0.865103,1.55745,-0.711564,-1.389076,-0.094924,'1'
0.049476,0.670372,2.078225,1.255713,1.016064,'2'
0.152648,0.453727,0.39226,-1.435231,0.416229,'1'
1.300624,1.309766,2.488849,1.637378,2.733178,'2'
-0.848385,-0.844723,-0.222349,1.076562,-0.398119,'2'
1.021963,1.71147,-0.080587,-1.180784,0.108283,'1'
0.818665,1.448155,0.783462,-0.419514,0.872091,'1'
1.3028,1.692341,0.138669,-1.081004,0.295616,'2'
1.68735,1.469729,1.578865,0.616465,2.255499,'2'
-1.792611,-1.551049,-0.690819,1.271467,-0.736704,'2'
0.079662,-0.603999,0.144391,1.545664,0.272865,'2'
-0.129046,-0.580768,-0.460611,-1.312275,-0.655311,'2'
-0.842187,-0.183233,0.270562,0.082558,-0.484123,'2'
0.371179,0.799164,1.222911,1.022011,1.07319,'1'
-0.191277,0.321911,0.732081,0.87956,0.557818,'2'
-0.722127,-0.079943,0.732243,1.331186,0.329584,'2'
1.237934,1.132475,1.450831,0.847898,1.638197,'2'
-0.173007,0.098838,-0.662959,-1.332668,-0.42395,'2'
-0.535974,-0.217295,0.288892,-0.523743,-0.2336,'2'
0.458169,0.921257,-1.237956,-1.568682,-0.873192,'1'
-1.101534,-1.498584,-0.914942,0.488607,-0.77981,'1'
-0.098565,-1.080622,-0.362942,0.548128,-0.655305,'2'
-0.340557,-0.41083,-0.279187,-0.274696,-0.308969,'2'
0.210348,1.327512,0.699572,-0.125265,0.182671,'1'
-1.065767,-0.501152,0.276165,1.726807,-0.513127,'2'
1.787758,1.138631,0.177272,-0.443699,0.681695,'2'
-0.762173,-0.787797,-0.6248,-0.874182,-0.800339,'2'
1.362941,0.944555,-0.298482,-0.736608,0.056815,'1'
-0.870818,-1.481771,-0.960453,1.208622,-0.984763,'2'
0.022411,-0.937619,-0.459648,-1.625878,-0.407924,'2'
0.806122,0.838562,0.951623,0.893141,0.953489,'1'
-1.309798,-0.577027,-0.29501,-0.219447,-0.643412,'2'
-0.367912,-0.042444,-0.211672,-0.606741,-0.255384,'2'
0.011514,-0.223583,-0.073383,0.474574,-0.228503,'2'
0.101448,0.227658,-0.85162,-0.806908,-0.944984,'1'
0.797121,1.017493,1.704816,1.192537,1.935454,'1'
-1.491714,-0.932182,0.179352,0.790808,-0.522868,'2'
0.686178,1.441972,1.783927,0.919604,1.72604,'1'
-0.531804,-1.240268,-1.60882,-1.609135,-1.20606,'2'
0.318157,-0.167909,0.742928,1.019757,0.700688,'2'
-0.636379,-0.687195,-0.456389,-0.606694,-0.646872,'2'
0.936023,0.696182,-0.29544,-1.58538,-0.244042,'1'
