@relation aux
@attribute col_1 numeric
@attribute col_2 numeric
@attribute class {'1','2'}
@data
1983,1,'1'
1983,2,'2'
1983,3,'2'
1983,4,'2'
1983,5,'2'
1983,6,'2'
1983,7,'2'
1983,8,'2'
1983,9,'2'
1983,10,'2'
1983,11,'1'
1983,12,'1'
1983,13,'1'
1983,14,'1'
1983,15,'2'
1983,16,'2'
1983,17,'1'
1983,18,'2'
1983,19,'2'
1983,20,'1'
1983,21,'1'
1983,22,'2'
1983,23,'2'
1983,24,'2'
1983,25,'2'
1983,26,'2'
1983,27,'2'
1983,28,'2'
1983,29,'2'
1983,30,'2'
1983,31,'2'
1983,32,'2'
1983,33,'2'
1983,34,'2'
1983,35,'2'
1983,36,'2'
1983,37,'2'
1983,38,'2'
1983,39,'2'
1983,40,'2'
1983,41,'2'
1983,42,'2'
1983,43,'2'
1983,44,'2'
1983,45,'2'
1983,46,'1'
1983,47,'1'
1983,48,'1'
1983,49,'1'
1983,50,'1'
1983,51,'1'
1983,52,'1'
1984,1,'1'
1984,2,'1'
1984,3,'2'
1984,4,'2'
1984,5,'1'
1984,6,'2'
1984,7,'2'
1984,8,'2'
1984,9,'2'
1984,10,'2'
1984,11,'2'
1984,12,'1'
1984,13,'2'
1984,14,'1'
1984,15,'1'
1984,16,'2'
1984,17,'2'
1984,18,'2'
1984,19,'1'
1984,20,'2'
1984,21,'2'
1984,22,'2'
1984,23,'2'
1984,24,'2'
1984,25,'2'
1984,26,'2'
1984,27,'2'
1984,28,'2'
1984,29,'2'
1984,30,'2'
1984,31,'2'
1984,32,'2'
1984,33,'2'
1984,34,'2'
1984,35,'2'
1984,36,'1'
1984,37,'2'
1984,38,'2'
1984,39,'1'
1984,40,'1'
1984,41,'2'
1984,42,'1'
1984,43,'1'
1984,44,'1'
1984,45,'2'
1984,46,'2'
1984,47,'2'
1984,48,'2'
1984,49,'2'
1984,50,'1'
1984,51,'1'
1984,52,'1'
1985,1,'1'
1985,2,'1'
1985,3,'1'
1985,4,'1'
1985,5,'1'
1985,6,'1'
1985,7,'1'
1985,8,'1'
1985,9,'1'
1985,10,'1'
1985,11,'1'
1985,12,'1'
1985,13,'1'
1985,14,'1'
1985,15,'1'
1985,16,'1'
1985,17,'1'
1985,18,'1'
1985,19,'1'
1985,20,'1'
1985,21,'1'
1985,22,'2'
1985,23,'1'
1985,24,'2'
1985,25,'2'
1985,26,'2'
1985,27,'2'
1985,28,'2'
1985,29,'2'
1985,30,'2'
1985,31,'2'
1985,32,'2'
1985,33,'2'
1985,34,'1'
1985,35,'1'
1985,36,'1'
1985,37,'2'
1985,38,'2'
1985,39,'2'
1985,40,'2'
1985,41,'2'
1985,42,'2'
1985,43,'2'
1985,44,'2'
1985,45,'2'
1985,46,'1'
1985,47,'1'
1985,48,'1'
1985,49,'1'
1985,50,'1'
1985,51,'1'
1985,52,'1'
1986,1,'1'
1986,2,'2'
1986,3,'2'
1986,4,'2'
1986,5,'2'
1986,6,'1'
1986,7,'1'
1986,8,'1'
1986,9,'1'
1986,10,'1'
1986,11,'1'
1986,12,'1'
1986,13,'1'
1986,14,'1'
1986,15,'1'
1986,16,'1'
1986,17,'1'
1986,18,'1'
1986,19,'1'
1986,20,'1'
1986,21,'1'
1986,22,'1'
1986,23,'1'
1986,24,'1'
1986,25,'1'
1986,26,'1'
1986,27,'1'
1986,28,'1'
1986,29,'1'
1986,30,'1'
1986,31,'1'
1986,32,'1'
1986,33,'1'
1986,34,'1'
1986,35,'1'
1986,36,'1'
1986,37,'1'
1986,38,'1'
1986,39,'1'
1986,40,'1'
1986,41,'1'
1986,42,'1'
1986,43,'1'
1986,44,'1'
1986,45,'1'
1986,46,'1'
1986,47,'1'
1986,48,'1'
1986,49,'1'
1986,50,'1'
1986,51,'1'
1986,52,'1'
1987,1,'1'
1987,2,'1'
1987,3,'1'
1987,4,'1'
1987,5,'1'
1987,6,'2'
1987,7,'1'
1987,8,'1'
1987,9,'2'
1987,10,'1'
1987,11,'1'
1987,12,'1'
1987,13,'1'
1987,14,'1'
1987,15,'1'
1987,16,'2'
1987,17,'2'
1987,18,'2'
1987,19,'2'
1987,20,'2'
1987,21,'2'
1987,22,'2'
1987,23,'2'
1987,24,'2'
1987,25,'2'
1987,26,'2'
1987,27,'2'
1987,28,'2'
1987,29,'2'
1987,30,'2'
1987,31,'2'
1987,32,'2'
1987,33,'2'
1987,34,'2'
1987,35,'2'
1987,36,'2'
1987,37,'1'
1987,38,'2'
1987,39,'1'
1987,40,'2'
1987,41,'1'
1987,42,'1'
1987,43,'1'
1987,44,'1'
1987,45,'1'
1987,46,'1'
1987,47,'1'
1987,48,'1'
1987,49,'1'
1987,50,'1'
1987,51,'1'
1987,52,'1'
1988,1,'1'
1988,2,'1'
1988,3,'1'
1988,4,'1'
1988,5,'1'
1988,6,'1'
1988,7,'1'
1988,8,'1'
1988,9,'1'
1988,10,'1'
1988,11,'1'
1988,12,'1'
1988,13,'1'
1988,14,'1'
1988,15,'1'
1988,16,'1'
1988,17,'1'
1988,18,'1'
1988,19,'1'
1988,20,'1'
1988,21,'1'
1988,22,'1'
1988,23,'1'
1988,24,'1'
1988,25,'1'
1988,26,'1'
1988,27,'1'
1988,28,'1'
1988,29,'1'
1988,30,'1'
1988,31,'1'
1988,32,'1'
1988,33,'1'
1988,34,'1'
1988,35,'2'
1988,36,'2'
1988,37,'2'
1988,38,'1'
1988,39,'2'
1988,40,'2'
1988,41,'2'
1988,42,'1'
1988,43,'1'
1988,44,'1'
1988,45,'2'
1988,46,'1'
1988,47,'1'
1988,48,'1'
1988,49,'1'
1988,50,'1'
1988,51,'1'
1988,52,'1'
1989,1,'1'
1989,2,'1'
1989,3,'1'
1989,4,'1'
1989,5,'1'
1989,6,'1'
1989,7,'1'
1989,8,'1'
1989,9,'1'
1989,10,'1'
1989,11,'1'
1989,12,'1'
1989,13,'1'
1989,14,'1'
1989,15,'1'
1989,16,'1'
1989,17,'1'
1989,18,'1'
1989,19,'1'
1989,20,'1'
1989,21,'1'
1989,22,'1'
1989,23,'1'
1989,24,'1'
1989,25,'1'
1989,26,'1'
1989,27,'1'
1989,28,'1'
1989,29,'1'
1989,30,'1'
1989,31,'1'
1989,32,'1'
1989,33,'1'
1989,34,'1'
1989,35,'1'
1989,36,'1'
1989,37,'1'
1989,38,'1'
1989,39,'1'
1989,40,'1'
1989,41,'1'
1989,42,'1'
1989,43,'1'
1989,44,'1'
1989,45,'1'
1989,46,'1'
1989,47,'1'
1989,48,'1'
1989,49,'1'
1989,50,'1'
1989,51,'1'
1989,52,'1'
1990,1,'1'
1990,2,'1'
1990,3,'2'
1990,4,'1'
1990,5,'2'
1990,6,'2'
1990,7,'2'
1990,8,'2'
1990,9,'2'
1990,10,'2'
1990,11,'2'
1990,12,'2'
1990,13,'2'
1990,14,'2'
1990,15,'2'
1990,16,'2'
1990,17,'2'
1990,18,'2'
1990,19,'2'
1990,20,'2'
1990,21,'2'
1990,22,'2'
1990,23,'2'
1990,24,'2'
1990,25,'2'
1990,26,'2'
1990,27,'2'
1990,28,'2'
1990,29,'2'
1990,30,'2'
1990,31,'1'
1990,32,'1'
1990,33,'1'
1990,34,'1'
1990,35,'1'
1990,36,'2'
1990,37,'1'
1990,38,'2'
1990,39,'1'
1990,40,'2'
1990,41,'1'
1990,42,'2'
1990,43,'1'
1990,44,'2'
1990,45,'2'
1990,46,'1'
1990,47,'1'
1990,48,'1'
1990,49,'1'
1990,50,'1'
1990,51,'1'
1990,52,'1'
1991,1,'2'
1991,2,'2'
1991,3,'2'
1991,4,'2'
1991,5,'2'
1991,6,'2'
1991,7,'2'
1991,8,'2'
1991,9,'2'
1991,10,'2'
1991,11,'2'
1991,12,'2'
1991,13,'2'
1991,14,'2'
1991,15,'2'
1991,16,'2'
1991,17,'2'
1991,18,'2'
1991,19,'2'
1991,20,'2'
1991,21,'2'
1991,22,'2'
1991,23,'2'
1991,24,'2'
1991,25,'2'
1991,26,'2'
1991,27,'2'
1991,28,'2'
1991,29,'2'
1991,30,'2'
1991,31,'2'
1991,32,'2'
1991,33,'2'
1991,34,'2'
1991,35,'2'
1991,36,'2'
1991,37,'2'
1991,38,'2'
1991,39,'2'
1991,40,'2'
1991,41,'2'
1991,42,'2'
1991,43,'2'
1991,44,'2'
1991,45,'2'
1991,46,'2'
1991,47,'2'
1991,48,'2'
1991,49,'2'
1991,50,'2'
1991,51,'1'
1991,52,'1'
