@relation aux
@attribute Occasion {'1','2'}
@attribute Judges {'1','2','3','4','5','6'}
@attribute Interval {'1','2','3'}
@attribute Sittings {'1','2','3','4'}
@attribute Position {'1','2','3','4'}
@attribute Squares {'1','2'}
@attribute Rows {'1','2','3'}
@attribute Columns {'1','2','3','4'}
@attribute Halfplot {'1','2'}
@attribute Trellis {'1','2','3','4'}
@attribute Method {'1','2'}
@attribute class {'1','2'}
@data
'1','1','1','1','1','1','3','3','1','2','1','1'
'1','1','1','1','2','1','3','3','2','2','2','1'
'1','1','1','1','3','1','3','3','1','2','1','1'
'1','1','1','1','4','1','3','3','2','2','2','1'
'1','1','1','2','1','1','3','1','1','3','1','2'
'1','1','1','2','2','1','3','1','2','3','2','2'
'1','1','1','2','3','1','3','1','2','3','2','2'
'1','1','1','2','4','1','3','1','1','3','1','1'
'1','1','1','3','1','1','3','2','2','1','2','2'
'1','1','1','3','2','1','3','2','1','1','1','1'
'1','1','1','3','3','1','3','2','1','1','1','2'
'1','1','1','3','4','1','3','2','2','1','2','1'
'1','1','1','4','1','1','3','4','2','4','2','2'
'1','1','1','4','2','1','3','4','2','4','2','2'
'1','1','1','4','3','1','3','4','1','4','1','2'
'1','1','1','4','4','1','3','4','1','4','1','2'
'1','1','2','1','1','1','1','3','1','1','1','1'
'1','1','2','1','2','1','1','3','1','1','1','1'
'1','1','2','1','3','1','1','3','2','1','2','1'
'1','1','2','1','4','1','1','3','2','1','2','1'
'1','1','2','2','1','1','1','4','1','3','1','2'
'1','1','2','2','2','1','1','4','1','3','1','1'
'1','1','2','2','3','1','1','4','2','3','2','1'
'1','1','2','2','4','1','1','4','2','3','2','1'
'1','1','2','3','1','1','1','2','1','4','1','1'
'1','1','2','3','2','1','1','2','2','4','2','1'
'1','1','2','3','3','1','1','2','2','4','2','1'
'1','1','2','3','4','1','1','2','1','4','1','1'
'1','1','2','4','1','1','1','1','2','2','2','1'
'1','1','2','4','2','1','1','1','1','2','1','1'
'1','1','2','4','3','1','1','1','1','2','1','1'
'1','1','2','4','4','1','1','1','2','2','2','1'
'1','1','3','1','1','1','2','1','2','4','2','2'
'1','1','3','1','2','1','2','1','1','4','1','1'
'1','1','3','1','3','1','2','1','2','4','2','1'
'1','1','3','1','4','1','2','1','1','4','1','2'
'1','1','3','2','1','1','2','2','1','2','1','1'
'1','1','3','2','2','1','2','2','2','2','2','1'
'1','1','3','2','3','1','2','2','1','2','1','1'
'1','1','3','2','4','1','2','2','2','2','2','1'
'1','1','3','3','1','1','2','4','2','1','2','2'
'1','1','3','3','2','1','2','4','2','1','2','2'
'1','1','3','3','3','1','2','4','1','1','1','2'
'1','1','3','3','4','1','2','4','1','1','1','1'
'1','1','3','4','1','1','2','3','1','3','1','2'
'1','1','3','4','2','1','2','3','2','3','2','1'
'1','1','3','4','3','1','2','3','1','3','1','2'
'1','1','3','4','4','1','2','3','2','3','2','2'
'1','2','1','1','1','1','2','1','2','4','2','2'
'1','2','1','1','2','1','2','1','1','4','1','2'
'1','2','1','1','3','1','2','1','2','4','2','2'
'1','2','1','1','4','1','2','1','1','4','1','2'
'1','2','1','2','1','1','2','3','1','3','1','2'
'1','2','1','2','2','1','2','3','1','3','1','2'
'1','2','1','2','3','1','2','3','2','3','2','2'
'1','2','1','2','4','1','2','3','2','3','2','1'
'1','2','1','3','1','1','2','4','1','1','1','2'
'1','2','1','3','2','1','2','4','2','1','2','1'
'1','2','1','3','3','1','2','4','2','1','2','1'
'1','2','1','3','4','1','2','4','1','1','1','2'
'1','2','1','4','1','1','2','2','1','2','1','2'
'1','2','1','4','2','1','2','2','1','2','1','2'
'1','2','1','4','3','1','2','2','2','2','2','2'
'1','2','1','4','4','1','2','2','2','2','2','2'
'1','2','2','1','1','1','3','2','1','1','1','2'
'1','2','2','1','2','1','3','2','1','1','1','1'
'1','2','2','1','3','1','3','2','2','1','2','2'
'1','2','2','1','4','1','3','2','2','1','2','2'
'1','2','2','2','1','1','3','1','2','3','2','2'
'1','2','2','2','2','1','3','1','1','3','1','2'
'1','2','2','2','3','1','3','1','2','3','2','2'
'1','2','2','2','4','1','3','1','1','3','1','2'
'1','2','2','3','1','1','3','3','1','2','1','2'
'1','2','2','3','2','1','3','3','2','2','2','2'
'1','2','2','3','3','1','3','3','2','2','2','1'
'1','2','2','3','4','1','3','3','1','2','1','1'
'1','2','2','4','1','1','3','4','2','4','2','2'
'1','2','2','4','2','1','3','4','1','4','1','2'
'1','2','2','4','3','1','3','4','2','4','2','2'
'1','2','2','4','4','1','3','4','1','4','1','2'
'1','2','3','1','1','1','1','2','1','4','1','2'
'1','2','3','1','2','1','1','2','2','4','2','2'
'1','2','3','1','3','1','1','2','1','4','1','2'
'1','2','3','1','4','1','1','2','2','4','2','2'
'1','2','3','2','1','1','1','1','1','2','1','2'
'1','2','3','2','2','1','1','1','1','2','1','1'
'1','2','3','2','3','1','1','1','2','2','2','2'
'1','2','3','2','4','1','1','1','2','2','2','2'
'1','2','3','3','1','1','1','3','1','1','1','2'
'1','2','3','3','2','1','1','3','2','1','2','2'
'1','2','3','3','3','1','1','3','2','1','2','2'
'1','2','3','3','4','1','1','3','1','1','1','2'
'1','2','3','4','1','1','1','4','1','3','1','2'
'1','2','3','4','2','1','1','4','1','3','1','2'
'1','2','3','4','3','1','1','4','2','3','2','2'
'1','2','3','4','4','1','1','4','2','3','2','2'
'1','3','1','1','1','1','1','1','2','2','2','1'
'1','3','1','1','2','1','1','1','1','2','1','1'
'1','3','1','1','3','1','1','1','1','2','1','2'
'1','3','1','1','4','1','1','1','2','2','2','2'
'1','3','1','2','1','1','1','3','2','1','2','1'
'1','3','1','2','2','1','1','3','2','1','2','1'
'1','3','1','2','3','1','1','3','1','1','1','1'
'1','3','1','2','4','1','1','3','1','1','1','2'
'1','3','1','3','1','1','1','4','2','3','2','2'
'1','3','1','3','2','1','1','4','2','3','2','2'
'1','3','1','3','3','1','1','4','1','3','1','1'
'1','3','1','3','4','1','1','4','1','3','1','2'
'1','3','1','4','1','1','1','2','2','4','2','2'
'1','3','1','4','2','1','1','2','1','4','1','2'
'1','3','1','4','3','1','1','2','2','4','2','1'
'1','3','1','4','4','1','1','2','1','4','1','1'
'1','3','2','1','1','1','2','2','1','2','1','2'
'1','3','2','1','2','1','2','2','2','2','2','1'
'1','3','2','1','3','1','2','2','1','2','1','2'
'1','3','2','1','4','1','2','2','2','2','2','2'
'1','3','2','2','1','1','2','1','2','4','2','2'
'1','3','2','2','2','1','2','1','2','4','2','2'
'1','3','2','2','3','1','2','1','1','4','1','2'
'1','3','2','2','4','1','2','1','1','4','1','2'
'1','3','2','3','1','1','2','3','2','3','2','2'
'1','3','2','3','2','1','2','3','1','3','1','2'
'1','3','2','3','3','1','2','3','2','3','2','2'
'1','3','2','3','4','1','2','3','1','3','1','2'
'1','3','2','4','1','1','2','4','2','1','2','2'
'1','3','2','4','2','1','2','4','1','1','1','1'
'1','3','2','4','3','1','2','4','2','1','2','2'
'1','3','2','4','4','1','2','4','1','1','1','2'
'1','3','3','1','1','1','3','2','2','1','2','2'
'1','3','3','1','2','1','3','2','2','1','2','2'
'1','3','3','1','3','1','3','2','1','1','1','1'
'1','3','3','1','4','1','3','2','1','1','1','1'
