@relation aux
@attribute Year numeric
@attribute Length numeric
@attribute Violence_time numeric
@attribute Injuries numeric
@attribute Fatal_injuries numeric
@attribute Good.neutral_injuries numeric
@attribute Good.neutral_fatalities numeric
@attribute Bad_injuries numeric
@attribute class {'1','2'}
@data
1937,5040,474,2,1,1,0,1,'2'
1940,7200,307,1,1,1,1,0,'1'
1940,5280,432,1,0,1,0,0,'1'
1941,3780,75,0,0,0,0,0,'1'
1942,4140,252,2,1,2,1,0,'1'
1945,4260,210,0,0,0,0,0,'1'
1947,4380,552,0,0,0,0,0,'1'
1949,4080,527,0,0,0,0,0,'1'
1950,4560,273,1,1,0,0,1,'2'
1951,4440,316,0,0,0,0,0,'1'
1953,4560,863,2,1,1,0,1,'2'
1955,4560,351,3,1,2,0,1,'2'
1959,4500,599,1,1,0,0,1,'2'
1961,4740,492,0,0,0,0,0,'1'
1963,4740,1012,0,0,0,0,0,'1'
1967,4680,676,3,0,3,0,0,'1'
1969,5100,109,0,0,0,0,0,'1'
1970,4740,354,0,0,0,0,0,'1'
1972,4800,500,1,0,1,0,0,'1'
1973,5640,164,0,0,0,0,0,'1'
1973,4980,814,0,0,0,0,0,'1'
1977,4980,65,0,0,0,0,0,'1'
1977,4560,675,0,0,0,0,0,'1'
1981,4980,717,3,1,2,1,1,'1'
1982,5100,743,5,3,3,1,2,'2'
1982,5200,522,4,3,3,2,1,'2'
1985,4680,471,0,0,0,0,0,'1'
1986,4860,701,0,0,0,0,0,'1'
1986,4380,798,2,2,0,0,2,'2'
1988,4140,484,3,2,1,1,2,'2'
1988,4440,293,6,3,2,0,4,'2'
1989,5340,554,5,3,3,2,2,'2'
1989,6180,35,0,0,0,0,0,'1'
1989,4980,517,2,1,1,0,1,'2'
1990,4440,494,1,1,0,0,1,'2'
1990,4440,1071,5,3,2,0,3,'2'
1990,4920,221,3,0,3,0,0,'1'
1990,4440,428,5,2,2,0,3,'2'
1990,4620,673,1,1,0,0,1,'2'
1991,4500,873,0,0,0,0,0,'1'
1991,5040,786,3,1,2,0,1,'2'
1991,4920,659,3,2,1,0,2,'2'
1992,5400,968,1,1,1,1,0,'1'
1992,4560,475,0,0,0,0,0,'1'
1992,5100,578,3,2,1,0,2,'2'
1992,5040,501,1,0,1,0,0,'1'
1993,5160,6,0,0,0,0,0,'1'
1993,4260,300,2,2,2,2,0,'1'
1993,4260,479,0,0,0,0,0,'1'
1994,5280,838,2,2,1,1,1,'2'
1994,4560,836,0,0,0,0,0,'1'
1994,5400,788,9,2,8,1,1,'2'
1994,5160,410,1,0,1,0,0,'1'
1994,4560,900,0,0,0,0,0,'1'
1995,4380,542,2,2,1,1,1,'2'
1995,4680,338,1,0,0,0,1,'1'
1995,4680,127,0,0,0,0,0,'1'
1995,5400,990,1,0,1,0,0,'1'
1995,4440,1026,1,1,0,0,1,'2'
1995,4860,323,3,1,3,1,0,'1'
1995,4860,246,0,0,0,0,0,'1'
1996,4920,800,0,0,0,0,0,'1'
1996,5400,1006,5,2,4,1,1,'2'
1997,5640,630,3,2,1,0,2,'2'
1997,4440,704,3,1,2,0,1,'2'
1997,4620,311,0,0,0,0,0,'1'
1997,5520,974,3,2,1,0,2,'2'
1997,4680,172,0,0,0,0,0,'1'
1997,4320,932,3,2,1,0,2,'2'
1998,5700,1098,3,1,2,0,1,'2'
1998,5280,986,5,2,3,0,2,'2'
1998,5160,1447,3,2,2,1,1,'2'
1998,4860,492,0,0,0,0,0,'1'
1999,5340,855,2,0,2,0,0,'1'
