@relation aux
@attribute year numeric
@attribute field_goals numeric
@attribute class {'1','2'}
@data
85,3,'1'
85,7,'2'
85,5,'1'
85,12,'2'
85,7,'2'
85,0,'1'
85,2,'1'
85,2,'1'
85,2,'1'
85,4,'1'
85,1,'1'
85,11,'2'
85,5,'2'
85,14,'2'
85,3,'1'
85,10,'2'
85,10,'2'
85,4,'1'
85,3,'1'
85,10,'2'
85,8,'2'
85,2,'1'
85,7,'2'
85,6,'1'
85,9,'2'
85,2,'1'
85,11,'2'
85,3,'1'
85,4,'1'
85,1,'1'
85,6,'2'
85,2,'1'
85,4,'1'
85,7,'2'
85,7,'2'
85,8,'2'
85,7,'2'
85,11,'2'
85,6,'2'
85,7,'2'
85,5,'1'
85,8,'2'
85,10,'2'
85,4,'2'
85,5,'1'
85,6,'1'
85,5,'2'
85,4,'2'
85,6,'1'
85,11,'2'
85,12,'2'
85,3,'1'
85,7,'1'
85,5,'1'
85,11,'2'
85,1,'1'
85,6,'2'
85,4,'1'
85,5,'1'
85,7,'2'
85,3,'1'
85,6,'2'
85,5,'1'
85,6,'1'
85,6,'2'
85,2,'1'
85,4,'1'
85,1,'1'
85,9,'2'
85,10,'2'
85,5,'1'
85,8,'2'
85,3,'2'
85,8,'2'
85,3,'1'
85,7,'1'
85,9,'2'
85,10,'2'
85,2,'1'
85,8,'2'
85,9,'2'
85,4,'1'
85,1,'1'
86,7,'2'
86,5,'2'
86,11,'2'
86,9,'2'
86,6,'2'
86,7,'2'
86,9,'2'
86,1,'1'
86,9,'2'
86,10,'2'
86,11,'2'
86,6,'1'
86,9,'2'
86,5,'1'
86,9,'2'
86,10,'2'
86,6,'2'
86,12,'2'
86,4,'1'
86,7,'2'
86,7,'2'
86,5,'1'
86,10,'2'
86,3,'1'
86,6,'2'
86,7,'2'
86,5,'2'
86,5,'2'
86,3,'1'
86,8,'2'
86,8,'2'
86,10,'2'
86,8,'2'
86,7,'2'
86,3,'1'
86,3,'2'
86,8,'1'
86,7,'2'
86,8,'2'
86,6,'1'
86,3,'1'
86,11,'2'
86,9,'2'
86,10,'2'
86,8,'2'
86,6,'2'
86,2,'1'
86,5,'2'
86,6,'2'
86,4,'1'
86,4,'1'
86,7,'2'
86,1,'1'
86,13,'2'
86,7,'2'
86,10,'2'
86,8,'2'
86,4,'1'
86,2,'1'
86,12,'2'
86,3,'1'
86,6,'2'
86,7,'2'
86,3,'1'
86,7,'2'
86,15,'2'
86,3,'1'
86,9,'2'
86,10,'2'
86,7,'2'
86,4,'1'
86,7,'2'
86,7,'2'
86,7,'2'
86,9,'2'
86,6,'2'
86,7,'2'
86,4,'2'
86,6,'2'
86,6,'2'
86,8,'2'
86,5,'2'
86,6,'2'
86,2,'1'
86,2,'1'
86,6,'2'
86,7,'2'
86,7,'1'
86,6,'2'
86,12,'2'
86,8,'2'
86,9,'2'
86,5,'1'
87,6,'2'
87,6,'2'
87,5,'2'
87,13,'2'
87,6,'2'
87,9,'2'
87,9,'2'
87,2,'1'
87,9,'2'
87,8,'2'
87,6,'1'
87,4,'2'
87,9,'2'
87,6,'1'
87,7,'2'
87,4,'1'
87,0,'1'
87,5,'1'
87,2,'1'
87,4,'1'
87,3,'1'
87,1,'1'
87,2,'1'
87,3,'1'
87,12,'2'
87,7,'2'
87,4,'2'
87,8,'2'
87,9,'2'
87,3,'1'
87,10,'2'
87,6,'1'
87,8,'2'
87,3,'1'
87,9,'2'
87,7,'2'
87,9,'2'
87,1,'1'
87,2,'1'
87,2,'1'
87,0,'1'
87,7,'2'
87,5,'2'
87,5,'1'
87,4,'1'
87,2,'1'
87,10,'2'
87,5,'2'
87,1,'1'
87,7,'2'
87,6,'2'
87,3,'1'
87,0,'1'
87,8,'2'
87,3,'1'
87,5,'1'
87,0,'1'
87,6,'1'
87,3,'1'
87,6,'2'
87,3,'1'
87,7,'2'
87,5,'1'
87,4,'1'
87,1,'1'
87,0,'1'
87,1,'1'
87,9,'2'
87,5,'1'
87,7,'2'
87,4,'1'
87,3,'1'
87,4,'1'
87,6,'1'
87,4,'1'
87,7,'1'
87,6,'1'
87,7,'1'
87,6,'1'
87,4,'1'
87,8,'2'
87,9,'2'
87,0,'1'
87,2,'1'
87,3,'1'
87,3,'1'
87,4,'1'
87,4,'2'
87,2,'1'
87,9,'2'
87,7,'1'
87,3,'1'
87,5,'1'
87,9,'2'
87,5,'1'
87,1,'1'
87,0,'1'
87,10,'2'
87,7,'1'
87,3,'2'
87,3,'1'
87,6,'1'
87,8,'2'
87,2,'1'
87,5,'2'
88,4,'1'
88,1,'1'
88,8,'2'
88,7,'1'
88,3,'1'
88,1,'1'
88,3,'1'
88,2,'1'
88,2,'1'
88,6,'2'
88,6,'1'
88,4,'1'
88,8,'2'
88,5,'2'
88,5,'1'
88,1,'1'
88,7,'2'
88,0,'1'
88,4,'1'
88,3,'1'
88,2,'1'
88,3,'1'
88,7,'2'
88,9,'2'
88,8,'2'
88,5,'2'
88,2,'1'
88,9,'2'
88,9,'2'
88,4,'1'
88,2,'1'
88,7,'2'
88,5,'1'
88,7,'1'
88,7,'1'
88,7,'1'
88,9,'2'
88,8,'2'
88,10,'2'
88,10,'2'
88,4,'2'
88,9,'2'
88,10,'2'
88,9,'2'
88,4,'1'
88,8,'2'
88,1,'1'
88,9,'2'
88,9,'2'
88,3,'1'
88,3,'1'
88,3,'1'
88,13,'2'
88,6,'1'
88,7,'1'
88,4,'1'
88,4,'1'
88,3,'1'
88,4,'1'
88,9,'1'
88,12,'2'
88,6,'2'
88,0,'1'
88,2,'1'
88,5,'1'
88,4,'2'
88,0,'1'
88,10,'2'
88,1,'1'
88,10,'2'
88,4,'2'
88,6,'2'
88,11,'2'
88,9,'2'
88,7,'1'
88,13,'2'
88,3,'1'
88,5,'1'
88,4,'1'
88,7,'2'
88,1,'1'
88,10,'2'
88,1,'1'
88,5,'1'
88,10,'2'
88,5,'1'
88,7,'2'
88,5,'1'
88,1,'1'
88,3,'1'
88,4,'1'
88,6,'2'
88,3,'1'
88,8,'2'
88,3,'2'
88,9,'2'
88,8,'2'
88,8,'1'
88,5,'1'
