@relation aux
@attribute col_1 numeric
@attribute col_2 numeric
@attribute col_3 numeric
@attribute col_4 numeric
@attribute col_5 numeric
@attribute class {'1','2'}
@data
1,508,235,3944,325,'1'
2,564,231,4578,323,'1'
3,322,270,4011,328,'1'
4,846,261,5233,305,'1'
5,871,300,4780,303,'1'
6,774,317,5889,307,'1'
7,856,387,5663,301,'1'
8,889,285,5759,310,'1'
9,715,300,4894,300,'1'
10,753,221,5012,324,'1'
11,649,264,4908,329,'1'
12,830,308,5753,320,'1'
13,738,379,5439,337,'1'
14,659,342,4634,328,'1'
15,664,378,4921,330,'1'
16,572,232,4869,318,'1'
17,701,231,4672,309,'1'
18,443,246,4782,333,'1'
19,446,230,4296,330,'1'
20,615,268,4827,318,'1'
21,661,337,5057,304,'1'
22,772,344,5540,328,'2'
23,766,330,5331,323,'2'
24,631,261,4715,317,'2'
25,390,214,3828,310,'2'
26,450,245,4120,321,'2'
27,476,233,3817,342,'2'
28,603,250,4243,339,'2'
29,805,243,4647,287,'2'
30,523,216,3967,325,'2'
31,588,212,3946,315,'2'
32,584,208,3724,332,'2'
33,445,215,3448,358,'2'
34,500,221,3680,320,'2'
35,661,244,3825,355,'2'
36,680,234,4189,306,'2'
37,797,269,4336,335,'2'
38,534,302,4418,335,'2'
39,541,268,4323,344,'2'
40,605,323,4813,331,'2'
41,785,304,5046,324,'2'
42,698,317,3764,366,'2'
43,796,332,4504,340,'2'
44,804,315,4005,378,'2'
45,809,291,5560,330,'2'
46,726,312,4989,313,'2'
47,671,316,4697,305,'2'
48,909,332,5438,307,'2'
49,484,546,5613,386,'2'
50,831,311,5309,333,'2'
