@relation aux
@attribute Age {'10-14','15-19','20-24','25-29','30-34','35-39','40-44','45-54','55-64','65+'}
@attribute Gender {'Female','Male'}
@attribute Race {'American_Indian','Asian/Pacific_Island','Black','Hispanic','White'}
@attribute class {'1','2'}
@data
'10-14','Male','White','1'
'15-19','Male','White','2'
'20-24','Male','White','2'
'25-29','Male','White','1'
'30-34','Male','White','1'
'35-39','Male','White','1'
'40-44','Male','White','1'
'45-54','Male','White','1'
'55-64','Male','White','1'
'65+','Male','White','1'
'10-14','Female','White','1'
'15-19','Female','White','2'
'20-24','Female','White','2'
'25-29','Female','White','2'
'30-34','Female','White','2'
'35-39','Female','White','1'
'40-44','Female','White','1'
'45-54','Female','White','1'
'55-64','Female','White','1'
'65+','Female','White','1'
'10-14','Male','Black','1'
'15-19','Male','Black','2'
'20-24','Male','Black','2'
'25-29','Male','Black','2'
'30-34','Male','Black','1'
'35-39','Male','Black','1'
'40-44','Male','Black','1'
'45-54','Male','Black','1'
'55-64','Male','Black','1'
'65+','Male','Black','1'
'10-14','Female','Black','2'
'15-19','Female','Black','2'
'20-24','Female','Black','2'
'25-29','Female','Black','2'
'30-34','Female','Black','2'
'35-39','Female','Black','1'
'40-44','Female','Black','1'
'45-54','Female','Black','1'
'55-64','Female','Black','1'
'65+','Female','Black','1'
'10-14','Male','Hispanic','1'
'15-19','Male','Hispanic','1'
'20-24','Male','Hispanic','2'
'25-29','Male','Hispanic','1'
'30-34','Male','Hispanic','1'
'35-39','Male','Hispanic','1'
'40-44','Male','Hispanic','1'
'45-54','Male','Hispanic','1'
'55-64','Male','Hispanic','1'
'65+','Male','Hispanic','1'
'10-14','Female','Hispanic','1'
'15-19','Female','Hispanic','2'
'20-24','Female','Hispanic','2'
'25-29','Female','Hispanic','2'
'30-34','Female','Hispanic','2'
'35-39','Female','Hispanic','1'
'40-44','Female','Hispanic','1'
'45-54','Female','Hispanic','1'
'55-64','Female','Hispanic','1'
'65+','Female','Hispanic','1'
'10-14','Male','Asian/Pacific_Island','1'
'15-19','Male','Asian/Pacific_Island','1'
'20-24','Male','Asian/Pacific_Island','1'
'25-29','Male','Asian/Pacific_Island','1'
'30-34','Male','Asian/Pacific_Island','1'
'35-39','Male','Asian/Pacific_Island','1'
'40-44','Male','Asian/Pacific_Island','1'
'45-54','Male','Asian/Pacific_Island','1'
'55-64','Male','Asian/Pacific_Island','1'
'65+','Male','Asian/Pacific_Island','1'
'10-14','Female','Asian/Pacific_Island','1'
'15-19','Female','Asian/Pacific_Island','1'
'20-24','Female','Asian/Pacific_Island','1'
'25-29','Female','Asian/Pacific_Island','1'
'30-34','Female','Asian/Pacific_Island','1'
'35-39','Female','Asian/Pacific_Island','1'
'40-44','Female','Asian/Pacific_Island','1'
'45-54','Female','Asian/Pacific_Island','1'
'55-64','Female','Asian/Pacific_Island','1'
'65+','Female','Asian/Pacific_Island','1'
'10-14','Male','American_Indian','1'
'15-19','Male','American_Indian','1'
'20-24','Male','American_Indian','1'
'25-29','Male','American_Indian','1'
'30-34','Male','American_Indian','1'
'35-39','Male','American_Indian','1'
'40-44','Male','American_Indian','1'
'45-54','Male','American_Indian','1'
'55-64','Male','American_Indian','1'
'65+','Male','American_Indian','1'
'10-14','Female','American_Indian','1'
'15-19','Female','American_Indian','1'
'20-24','Female','American_Indian','1'
'25-29','Female','American_Indian','1'
'30-34','Female','American_Indian','1'
'35-39','Female','American_Indian','1'
'40-44','Female','American_Indian','1'
'45-54','Female','American_Indian','1'
'55-64','Female','American_Indian','1'
'65+','Female','American_Indian','1'
