@relation aux
@attribute PERIOD numeric
@attribute SEEDED {'seeded','unseeded'}
@attribute TE numeric
@attribute TW numeric
@attribute NC numeric
@attribute SC numeric
@attribute NWC numeric
@attribute class {'1','2'}
@data
1,'seeded',1.69,3.73,1.65,1.8,3.33,'2'
2,'unseeded',0.74,0.78,1.09,0.79,1.59,'2'
3,'seeded',0.81,0.86,2.39,0.36,2.06,'2'
4,'unseeded',1.44,2.01,2.96,1.27,4.05,'2'
5,'seeded',2.48,4.61,4.16,2.16,6,'2'
6,'unseeded',0.84,2.39,2.76,0.87,4.17,'2'
7,'unseeded',0.37,1.37,1.08,0.85,3.45,'2'
8,'seeded',0.37,0.84,0.26,0.47,0.9,'2'
9,'unseeded',1.33,2.31,2.53,1.08,3.65,'1'
10,'seeded',3.38,5.56,2.76,3.1,5.06,'1'
11,'seeded',0.69,1.46,1.07,0.64,1.95,'1'
12,'unseeded',1.42,2.79,1.42,1.08,1.22,'1'
13,'seeded',0.44,1.05,0.24,0.44,0.94,'1'
14,'unseeded',0.76,1.24,0.7,0.67,0.94,'1'
15,'seeded',1.13,2.28,0.97,1.66,2.21,'2'
16,'unseeded',0.88,1.58,1.06,1.13,1.46,'2'
45,'seeded',0.17,0.55,0.13,0.27,0.35,'2'
46,'unseeded',0.25,0.77,0.1,0.3,0.34,'2'
47,'unseeded',0.78,1.45,0.38,0.58,0.67,'2'
48,'seeded',0.4,0.34,0.45,0.43,0.44,'2'
49,'seeded',0.52,0.79,0.42,0.47,0.53,'2'
50,'unseeded',2.73,2.09,2.24,4.02,2.52,'2'
51,'unseeded',0.9,2.45,0.52,1.32,2.18,'2'
52,'seeded',1.62,2.54,0.94,1.59,1.73,'2'
53,'unseeded',0.93,2.11,1.19,0.85,2.31,'2'
54,'seeded',0.63,1.31,0.76,0.71,1.28,'2'
55,'seeded',0.42,1.23,0.13,0.59,0.91,'2'
56,'unseeded',0.64,0.43,1.5,0.24,1.15,'2'
57,'unseeded',0.3,0.69,1.03,0.22,1.88,'2'
58,'seeded',0.88,1.32,1.87,0.58,2.97,'2'
