@relation aux
@attribute sat numeric
@attribute takers numeric
@attribute income numeric
@attribute years numeric
@attribute public numeric
@attribute expend numeric
@attribute class {'1','2'}
@data
1088,3,326,16.79,87.8,25.6,'2'
1075,2,264,16.07,86.2,19.95,'2'
1068,3,317,16.57,88.3,20.62,'2'
1045,5,338,16.3,83.9,27.14,'2'
1045,5,293,17.25,83.6,21.05,'2'
1033,8,263,15.91,93.7,29.48,'2'
1028,7,343,17.41,78.3,24.84,'2'
1022,4,333,16.57,75.2,17.42,'2'
1017,5,328,16.01,97,25.96,'2'
1011,10,304,16.85,77.3,27.69,'2'
1001,5,358,15.95,74.2,20.07,'2'
999,4,295,15.49,86.4,15.71,'2'
999,9,330,15.72,61.2,14.58,'2'
997,8,316,15.92,79.5,22.19,'2'
995,7,285,16.18,92.1,17.8,'2'
988,3,315,16.76,67.9,15.36,'2'
985,6,330,16.61,71.4,15.69,'2'
983,16,333,16.83,88.3,26.56,'2'
982,19,309,16.23,87.5,26.53,'2'
981,11,314,15.98,80.9,19.14,'2'
977,14,347,15.8,74.6,24.41,'1'
975,5,394,16.85,44.8,19.72,'2'
975,10,322,16.42,67.7,20.79,'2'
973,10,335,16.5,80.7,24.61,'2'
968,7,292,17.08,90.6,18.16,'2'
964,6,313,16.37,69.6,13.84,'2'
958,16,306,16.52,71.5,21.43,'1'
925,56,248,16.35,78.1,20.33,'1'
923,31,401,15.32,96.5,50.1,'1'
917,18,288,14.73,89.1,21.79,'2'
908,40,261,14.48,92.1,30.49,'1'
904,54,225,16.5,84.2,20.17,'1'
899,36,293,15.52,83,25.94,'1'
897,42,277,16.95,67.9,27.81,'1'
896,69,287,16.75,76.8,26.97,'1'
896,59,236,16.86,80.4,33.58,'1'
890,46,208,16.05,85.7,20.55,'1'
889,39,255,15.91,80.5,22.62,'1'
889,50,312,16.9,80.4,25.41,'1'
888,52,295,16.08,88.8,22.23,'1'
888,65,246,16.79,80.7,31.74,'1'
885,50,241,17.27,78.6,27.98,'1'
877,59,228,16.67,79.7,25.59,'1'
869,64,269,16.37,80.6,27.91,'1'
868,32,303,14.95,91.7,19.55,'1'
860,48,258,14.39,90.2,17.93,'1'
857,47,277,16.4,67.6,21.21,'1'
827,47,224,15.31,92.8,19.92,'1'
823,51,250,15.55,86.5,16.52,'1'
790,48,214,15.42,88.1,15.6,'1'
