@relation aux
@attribute lung numeric
@attribute heart numeric
@attribute liver numeric
@attribute spleen numeric
@attribute kidney numeric
@attribute class {'1','2'}
@data
0.9695,1.352002,8.185496,0.2255,1.348003,'1'
1.141003,1.499403,8.544507,0.2705,1.322103,'1'
0.872,1.268503,6.823009,0.05,0.897001,'2'
0.7399,1.270203,9.067509,0.113,1.278003,'1'
1.139302,1.496203,9.621993,0.1198,1.415003,'2'
1.125603,1.191403,9.743209,0.1393,1.340502,'2'
0.3672,0.6986,2.726603,0.0478,0.8199,'1'
0.3227,0.4193,1.744202,0.0448,0.8224,'1'
0.4972,0.4134,2.661703,0.0568,1.069703,'2'
0.5366,0.5298,3.262105,0.0751,0.9601,'2'
0.5219,0.602,3.623106,0.0701,1.163503,'2'
0.4291,0.423,2.077603,0.0383,0.8199,'1'
0.5354,0.5129,2.860803,0.0745,0.9825,'2'
0.4529,0.5715,2.809303,0.0559,1.007403,'2'
0.6532,0.5187,3.602503,0.0604,1.075103,'1'
0.9191,0.5479,2.863604,0.0687,0.9596,'2'
0.562,0.5001,2.925701,0.078,0.9589,'2'
0.5362,0.9423,2.697404,0.0543,1.079703,'1'
0.5516,0.795,2.746604,0.0657,1.010103,'2'
0.5789,0.5051,3.127104,0.0755,1.079803,'2'
0.6553,0.5999,3.496802,0.0436,1.197603,'2'
0.5613,1.034402,3.110803,0.0668,1.213102,'1'
0.537,0.7446,2.678003,0.045,1.042603,'1'
0.622,0.9023,8.307091,0.0997,1.368603,'2'
0.7738,0.7628,3.797205,0.0685,1.062903,'1'
1.050003,0.8981,4.897698,0.0821,1.011903,'2'
0.8416,1.509403,7.492797,0.1739,1.317103,'1'
0.8739,0.6723,2.636605,0.0536,1.098303,'1'
0.826,0.9604,12.80401,0.1193,1.593303,'2'
0.7589,0.948301,5.390897,0.0828,1.187203,'1'
1.177802,1.369203,8.125891,0.1376,1.353802,'1'
1.011903,1.208003,7.187204,0.0784,1.433803,'1'
0.982,1.286003,7.924502,0.1194,1.639603,'1'
0.6657,1.069003,4.402304,0.0752,1.213102,'1'
0.619,1.000202,8.025905,0.1056,1.563803,'1'
0.7849,1.116703,5.919895,0.0952,1.258203,'1'
0.5092,0.8698,3.264904,0.0876,1.348203,'1'
0.5687,0.8791,3.602301,0.1796,1.177203,'1'
1.436403,0.9932,8.207502,0.1187,1.316503,'1'
1.072503,0.9484,6.973599,0.1043,1.469303,'1'
1.162603,1.274603,11.9148,0.1072,1.499902,'2'
0.965,1.545003,6.542504,0.1062,1.267703,'1'
1.023903,1.078903,8.109611,0.1424,1.401202,'1'
0.3216,0.4987,1.626402,0.0293,0.8252,'1'
1.165302,1.630003,7.089703,0.1444,1.288403,'1'
0.8532,1.143903,4.012001,0.0769,1.227103,'1'
0.6354,0.894,2.687701,0.0463,0.993901,'1'
0.6489,1.239403,8.776109,0.1145,1.426202,'1'
0.962,0.8039,3.457602,0.0713,1.164603,'2'
0.7959,1.038503,8.385019,0.199,1.313503,'2'
0.8099,1.154303,7.531301,0.0595,1.386703,'1'
0.9824,1.490302,7.935294,0.1567,1.364203,'1'
0.9592,1.095003,15.4923,0.2959,1.437803,'2'
0.9596,1.276303,10.99881,0.1617,1.339402,'2'
1.119403,1.441502,5.982903,0.1308,1.135903,'2'
1.074803,1.171402,8.613209,0.1283,1.237903,'2'
0.9364,1.249602,7.538102,0.1605,1.179503,'1'
0.8353,1.142502,5.361403,0.1215,1.162503,'2'
1.104002,1.524003,12.1655,0.2685,1.393303,'2'
1.094503,1.369403,9.444088,0.1044,1.323403,'2'
1.140603,1.791703,12.37502,0.144,1.478303,'2'
0.7722,1.181203,5.571409,0.0896,1.169303,'2'
1.026003,1.536402,2.956805,0.0568,1.303103,'2'
1.460203,1.839003,6.439201,0.0628,1.229103,'2'
0.8891,1.629503,12.18871,0.133,1.708203,'1'
1.652102,1.086903,4.894001,0.0739,1.140003,'2'
0.81,1.176503,9.974107,0.1214,1.249303,'2'
1.191803,1.772203,8.265707,0.166,1.738103,'2'
0.7237,0.9394,2.631203,0.0421,1.030402,'1'
0.8385,1.301503,8.527997,0.0664,1.369103,'1'
1.066703,1.035703,8.8597,0.1019,1.369603,'1'
0.975,1.046203,7.803905,0.0568,1.144302,'1'
1.005203,1.015003,5.739195,0.095,0.8968,'1'
