@relation aux
@attribute col_1 numeric
@attribute col_2 numeric
@attribute class {'1','2'}
@data
1,4.4,'2'
1,3.9,'2'
1,4,'1'
1,4,'2'
1,3.5,'2'
1,4.1,'2'
1,2.3,'1'
1,4.7,'2'
1,1.7,'1'
1,4.9,'2'
1,1.7,'1'
1,4.6,'2'
1,3.4,'2'
2,4.3,'2'
2,1.7,'1'
2,3.9,'2'
2,3.7,'1'
2,3.1,'1'
2,4,'2'
2,1.8,'1'
2,4.1,'2'
2,1.8,'1'
2,3.2,'2'
2,1.9,'1'
2,4.6,'2'
2,2,'1'
3,4.5,'2'
3,3.9,'2'
3,4.3,'2'
3,2.3,'1'
3,3.8,'2'
3,1.9,'1'
3,4.6,'2'
3,1.8,'1'
3,4.7,'2'
3,1.8,'1'
3,4.6,'2'
3,1.9,'1'
3,3.5,'2'
4,4,'2'
4,3.7,'2'
4,3.7,'1'
4,4.3,'1'
4,3.6,'2'
4,3.8,'2'
4,3.8,'2'
4,3.8,'2'
4,2.5,'1'
4,4.5,'2'
4,4.1,'1'
4,3.7,'2'
4,3.8,'1'
4,3.4,'2'
5,4,'1'
5,2.3,'1'
5,4.4,'2'
5,4.1,'2'
5,4.3,'2'
5,3.3,'2'
5,2,'1'
5,4.3,'2'
5,2.9,'1'
5,4.6,'2'
5,1.9,'1'
5,3.6,'1'
5,3.7,'2'
5,3.7,'2'
6,1.8,'1'
6,4.6,'2'
6,3.5,'2'
6,4,'1'
6,3.7,'2'
6,1.7,'1'
6,4.6,'2'
6,1.7,'1'
6,4,'2'
6,1.8,'1'
6,4.4,'2'
6,1.9,'1'
6,4.6,'2'
6,2.9,'2'
7,3.5,'2'
7,2,'1'
7,4.3,'2'
7,1.8,'1'
7,4.1,'2'
7,1.8,'1'
7,4.7,'2'
7,4.2,'2'
7,3.9,'2'
7,4.3,'2'
7,1.8,'1'
7,4.5,'2'
7,2,'1'
8,4.2,'2'
8,4.4,'2'
8,4.1,'1'
8,4.1,'2'
8,4,'2'
8,4.1,'2'
8,2.7,'1'
8,4.6,'2'
8,1.9,'1'
8,4.5,'2'
8,2,'1'
8,4.8,'2'
8,4.1,'2'
16,4.1,'2'
16,4.2,'2'
16,4.5,'2'
16,1.9,'1'
16,4.7,'2'
16,2,'1'
16,4.7,'2'
16,2.5,'1'
16,4.3,'2'
16,4.4,'2'
16,4.4,'2'
16,4.3,'1'
16,4.6,'2'
16,2.1,'1'
17,4.8,'2'
17,4.1,'1'
17,4,'1'
17,4,'2'
17,4.4,'2'
17,4.1,'2'
17,4.3,'2'
17,4,'1'
17,3.9,'2'
17,3.2,'1'
17,4.5,'2'
17,2.2,'1'
17,4.7,'2'
17,4.6,'2'
18,2.2,'1'
18,4.8,'2'
18,4.3,'2'
18,3.8,'2'
18,4,'2'
18,4.1,'2'
18,1.8,'1'
18,4.4,'2'
18,4,'2'
18,2.2,'1'
18,5.1,'2'
18,1.9,'1'
18,5,'2'
18,4.4,'2'
19,4.5,'2'
19,3.8,'2'
19,4.3,'2'
19,4.4,'2'
19,2.2,'1'
19,4.8,'2'
19,1.9,'1'
19,4.7,'2'
19,1.8,'1'
19,4.8,'2'
19,2,'1'
19,4.4,'2'
19,2.5,'1'
19,4.3,'2'
20,4.4,'2'
20,1.9,'1'
20,4.7,'2'
20,4.3,'2'
20,2.2,'1'
20,4.7,'2'
20,2.3,'1'
20,4.6,'2'
20,3.3,'1'
20,4.2,'2'
20,2.9,'1'
20,4.6,'2'
20,3.3,'1'
20,4.2,'2'
20,2.6,'1'
20,4.6,'1'
21,3.7,'2'
21,1.8,'1'
21,4.7,'2'
21,4.5,'2'
21,4.5,'1'
21,4.8,'2'
21,2,'1'
21,4.8,'2'
21,1.9,'1'
21,4.7,'2'
21,2,'1'
21,5.1,'2'
21,4.3,'2'
21,4.8,'2'
22,3,'2'
22,2.1,'1'
22,4.6,'2'
22,4,'2'
22,2.2,'1'
22,5.1,'2'
22,2.9,'1'
22,4.3,'2'
22,2.1,'1'
22,4.7,'2'
22,4.5,'1'
22,1.7,'1'
22,4.2,'2'
22,4.3,'2'
23,1.7,'1'
23,4.4,'2'
23,4.2,'2'
23,2.2,'1'
23,4.7,'2'
23,4,'1'
23,1.8,'1'
23,4.7,'2'
23,1.8,'1'
23,4.5,'2'
23,2.1,'1'
23,4.2,'2'
23,2.1,'1'
23,5.2,'2'
23,2,'1'
