@relation aux
@attribute oz1 numeric
@attribute oz2 numeric
@attribute oz3 numeric
@attribute oz4 numeric
@attribute oz5 numeric
@attribute oz6 numeric
@attribute oz7 numeric
@attribute oz8 numeric
@attribute oz9 numeric
@attribute oz10 numeric
@attribute class {'1','2'}
@data
1.253314,1.422196,0.051152,-0.553307,0.641022,0.97668,0.636818,1.326494,-0.191315,1.266632,'2'
-0.265436,0.158235,-1.101055,1.038427,-0.100404,0.755842,1.296684,1.170968,1.314848,-0.277808,'2'
0.55334,1.492693,-1.106239,1.039904,1.314257,-0.252222,1.654212,-0.395913,0.74219,-0.75597,'1'
0.257106,0.101673,0.674655,0.263117,1.483258,1.261019,-0.81346,-0.204744,-1.274157,1.102848,'2'
-0.917179,-1.241753,0.589486,-1.031419,-0.82713,0.572551,-0.548512,-0.201588,-1.069301,0.499185,'1'
0.548444,1.602389,-1.549217,1.352638,-1.738407,-1.38294,-1.318581,-1.623646,-1.337004,-0.450253,'1'
-0.024753,-0.294402,0.366356,1.044628,0.976566,1.765714,0.575131,-1.363029,-1.035936,-0.032049,'2'
-0.286266,0.370127,-0.567797,0.176517,0.974586,-1.523185,-0.25353,1.011183,-0.930602,-0.784592,'2'
-0.304032,-0.022258,-0.164777,-0.159116,1.710923,1.553181,-0.483317,-0.716261,-1.509789,1.053705,'2'
-0.543726,-1.102982,0.967098,1.143373,1.401262,0.046556,1.364831,-1.047457,-0.616102,-1.335158,'2'
-0.375693,-0.957908,0.386459,1.417431,1.173134,-1.389775,-0.648079,1.210693,-0.340006,0.723057,'2'
-0.705177,-1.336026,1.260036,1.097405,0.554545,-0.770211,1.215917,0.383655,0.34526,0.842471,'2'
-0.140307,-0.806369,1.1948,0.918197,-1.785997,-0.177345,1.231408,0.924801,1.151205,-1.547173,'2'
-1.722919,-1.807724,0.16361,-1.279054,-0.997288,0.468116,0.474132,0.677885,0.697702,-0.122771,'1'
0.124383,0.835631,-0.869388,0.870486,0.210959,0.460828,-1.471756,-1.342528,-0.668162,0.775939,'1'
-0.132185,0.309951,-1.320834,1.177624,-1.130927,-1.129075,0.31373,0.108367,0.998883,0.680988,'2'
-1.049766,-1.164876,0.52312,1.080932,0.635912,1.318264,-0.499546,1.602215,-1.610198,0.198557,'2'
-1.423913,-0.985746,-1.438194,1.280231,-0.12293,-0.282297,0.275594,1.017873,1.162267,-0.41013,'2'
-0.503358,-1.060304,1.104283,-0.533348,1.425955,1.505357,-0.348258,-0.796704,-1.056247,1.512995,'2'
-0.673178,-0.788322,0.751323,0.480184,0.810404,1.066188,1.17672,0.975468,-1.286796,-1.679566,'2'
0.374577,1.161097,-1.643577,-1.226338,-1.020343,-0.55487,-0.123735,-0.115991,-1.563002,-1.025109,'1'
0.197842,-0.321237,1.004114,-1.720081,-1.592842,0.523912,-0.595963,-0.875208,-1.086732,0.22197,'1'
1.678065,1.579071,0.297153,0.344936,0.645018,-1.386397,1.584736,0.986661,0.30277,-0.819501,'2'
-0.780505,-1.415602,1.651238,1.354533,1.372227,-0.225292,1.713253,-1.099899,0.470874,-1.282725,'2'
-0.572585,-0.078773,-1.364568,1.461549,-1.056166,-1.064194,1.27315,1.417073,-0.610035,-0.087917,'2'
-0.92995,-0.699191,-0.472311,0.910782,-0.367476,-0.971475,0.512187,1.017504,1.378328,0.02885,'2'
1.676708,1.206983,1.676208,-0.706351,1.520261,-0.881473,1.174302,0.208786,1.789128,0.637962,'2'
0.98754,0.376928,1.075984,-0.543777,0.370379,-0.498884,1.580356,-0.926636,0.242961,-1.51923,'1'
-0.131785,0.391359,-0.605324,-1.463521,-0.938066,-0.40992,0.707337,1.514482,0.606649,-0.126755,'1'
0.129878,-0.070251,0.533143,1.556495,0.186317,0.964802,-1.508541,0.576592,1.49388,-0.969877,'2'
0.130126,-0.223142,0.753814,-0.201012,0.162554,0.130533,-1.402191,-1.467954,-1.342791,0.8491,'2'
-1.704762,-1.458942,-1.132183,1.526385,-0.157783,0.782168,-0.555282,-1.631915,0.555372,-1.237668,'2'
-0.904663,-1.747036,1.710378,0.577478,-0.96281,-0.998803,-0.678621,-0.412314,0.799109,0.594907,'2'
2.484042,1.66422,1.405131,-0.093661,-1.511058,-1.563693,0.05916,-0.342218,-1.428436,-0.704232,'1'
0.752527,0.713722,-0.238785,-0.725802,0.081672,-1.574684,-0.193916,0.836526,0.853444,-1.559889,'1'
