@relation aux
@attribute Age numeric
@attribute Civil numeric
@attribute Can.US numeric
@attribute class {'1','2'}
@data
31.00364,23.26688,7.230798,'2'
58.36153,17.76006,4.480846,'1'
49.43488,14.58399,7.632419,'2'
40.8756,16.54536,9.448964,'2'
30.3865,14.09269,10.82812,'2'
21.51478,14.62777,14.206017,'2'
52.79831,16.20542,5.881757,'2'
42.5571,21.26227,5.632542,'1'
32.50106,20.83966,14.843309,'1'
82.03417,18.70948,7.309711,'2'
53.82093,24.90919,11.178427,'2'
35.45004,14.98645,8.150639,'2'
35.97384,18.26981,9.701499,'2'
17.28443,19.28165,11.770937,'2'
47.84746,21.9185,9.643621,'1'
40.34323,17.07288,9.569179,'2'
48.94204,23.28281,7.051396,'1'
50.78407,20.55171,3.190454,'1'
70.31722,20.43653,8.282282,'1'
40.09599,16.5574,7.592497,'2'
71.25636,22.05316,4.745073,'2'
49.15592,25.29855,9.402155,'2'
30.10877,20.51938,9.761904,'2'
60.10861,21.42536,8.329093,'1'
73.64907,23.04829,8.914683,'2'
23.09566,23.14277,8.283638,'2'
74.50653,26.67545,5.60768,'2'
53.39023,18.14701,9.13196,'1'
60.17807,23.91731,8.108079,'1'
49.07031,15.7657,8.046996,'2'
59.30952,22.50678,16.309953,'1'
38.13897,23.45553,9.242191,'2'
37.8643,24.35871,5.072251,'2'
40.93404,17.9462,10.789831,'1'
48.83539,21.78728,7.370431,'2'
61.15319,15.45962,12.015777,'1'
54.83277,21.48099,9.210092,'1'
49.31054,23.79483,6.105405,'2'
33.24291,19.62174,8.779893,'1'
59.5954,20.19549,10.643159,'2'
32.77764,17.36042,7.753344,'1'
30.00506,20.7241,12.047433,'1'
36.58341,20.62303,11.447005,'1'
46.23877,24.32389,4.462721,'1'
43.86243,23.74024,9.876809,'2'
42.69428,19.54895,5.318793,'2'
39.81298,19.33146,10.398321,'2'
30.16931,18.75827,11.600249,'2'
47.56914,19.27212,9.87405,'1'
72.0344,21.73765,6.55889,'1'
40.96265,19.02519,11.647133,'1'
65.71708,21.56996,11.836892,'2'
66.77646,17.31682,12.036039,'1'
60.83708,16.99439,11.667376,'2'
27.31667,18.36396,7.861619,'1'
32.80462,12.07096,4.005709,'2'
30.708,11.07358,5.301046,'2'
29.00284,10.80803,9.067069,'1'
37.59411,18.30526,4.025821,'2'
34.42687,21.61645,11.537995,'1'
17.07915,20.17793,8.948571,'2'
34.36449,17.90967,11.154126,'1'
59.2687,19.40296,6.94356,'2'
31.89212,16.98409,7.451597,'1'
37.56111,19.20495,6.586649,'1'
55.98981,21.62523,9.481025,'2'
40.28487,14.21112,11.62173,'1'
30.46914,21.15591,8.372235,'1'
66.03676,21.20303,7.654457,'2'
34.21307,24.81469,9.823174,'2'
27.37644,16.97518,9.042124,'2'
53.23168,26.28034,12.118969,'1'
45.92785,16.01805,4.801961,'1'
54.18077,20.08232,8.73789,'1'
38.01772,21.15527,4.208769,'2'
43.59799,12.05415,11.74575,'1'
53.09078,18.54568,11.796233,'2'
29.99265,20.68949,7.729539,'2'
32.87926,19.33031,8.940657,'2'
51.41095,27.17447,18.329891,'2'
47.9779,13.45111,11.132126,'2'
35.55825,19.4097,9.945236,'1'
29.14101,13.93297,8.971434,'2'
29.61948,17.28113,12.037997,'2'
44.66024,21.05967,13.070463,'1'
20.11325,15.43279,9.895172,'2'
46.15706,20.18894,9.892874,'2'
47.35069,21.03832,10.722192,'2'
51.10651,20.13089,7.559437,'1'
48.27315,10.3783,12.464415,'2'
38.5025,19.29832,7.388185,'2'
53.28329,12.42103,7.895045,'2'
49.31968,19.53016,8.827714,'2'
38.0076,22.62315,12.517871,'2'
