@relation aux
@attribute fathers_occupation {'Clerk','Craftsman-Construction','Craftsman-Manufacturing','Craftsmen-Other','Farm_Laborer','Farmer/Farm_Manager','Laborer-Manufacturing','Laborer-Nonmanufacturing','Manager','Operative-Manufacturing','Operative-Nonmanufacturing','Professional-Salaried','Professional_Self-Employed','Proprietor','Salesman-Nonretail','Salesman-Retail','Service_Worker'}
@attribute sons_occupation {'Clerk','Craftsman-Construction','Craftsman-Manufacturing','Craftsmen-Other','Farm_Laborer','Farmer/Farm_Manager','Laborer-Manufacturing','Laborer-Nonmanufacturing','Manager','Operative-Manufacturing','Operative-Nonmanufacturing','Professional-Salaried','Professional_Self-Employed','Proprietor','Salesman-Nonretail','Salesman-Retail','Service_Worker'}
@attribute family_structure {'intact','nonintact'}
@attribute race {'black','white'}
@attribute counts_for_sons_first_occupation numeric
@attribute class {'1','2'}
@data
'Professional_Self-Employed','Professional_Self-Employed','intact','white',22.9,'2'
'Professional_Self-Employed','Professional-Salaried','intact','white',96.2,'2'
'Professional_Self-Employed','Manager','intact','white',18.1,'2'
'Professional_Self-Employed','Salesman-Nonretail','intact','white',8.9,'1'
'Professional_Self-Employed','Proprietor','intact','white',2.8,'1'
'Professional_Self-Employed','Clerk','intact','white',22.4,'1'
'Professional_Self-Employed','Salesman-Retail','intact','white',5.7,'1'
'Professional_Self-Employed','Craftsman-Manufacturing','intact','white',7.6,'1'
'Professional_Self-Employed','Craftsmen-Other','intact','white',6.6,'1'
'Professional_Self-Employed','Craftsman-Construction','intact','white',6.8,'1'
'Professional_Self-Employed','Service_Worker','intact','white',3.9,'1'
'Professional_Self-Employed','Operative-Nonmanufacturing','intact','white',9.6,'1'
'Professional_Self-Employed','Operative-Manufacturing','intact','white',8,'1'
'Professional_Self-Employed','Laborer-Manufacturing','intact','white',2.4,'1'
'Professional_Self-Employed','Laborer-Nonmanufacturing','intact','white',5.9,'1'
'Professional_Self-Employed','Farmer/Farm_Manager','intact','white',1.4,'1'
'Professional_Self-Employed','Farm_Laborer','intact','white',0,'1'
'Professional-Salaried','Professional_Self-Employed','intact','white',7.3,'2'
'Professional-Salaried','Professional-Salaried','intact','white',338.6,'2'
'Professional-Salaried','Manager','intact','white',54.5,'2'
'Professional-Salaried','Salesman-Nonretail','intact','white',36.2,'2'
'Professional-Salaried','Proprietor','intact','white',8.4,'1'
'Professional-Salaried','Clerk','intact','white',96.6,'2'
'Professional-Salaried','Salesman-Retail','intact','white',33.1,'2'
'Professional-Salaried','Craftsman-Manufacturing','intact','white',26.8,'2'
'Professional-Salaried','Craftsmen-Other','intact','white',54.7,'2'
'Professional-Salaried','Craftsman-Construction','intact','white',13.1,'2'
'Professional-Salaried','Service_Worker','intact','white',24.8,'2'
'Professional-Salaried','Operative-Nonmanufacturing','intact','white',48.4,'2'
'Professional-Salaried','Operative-Manufacturing','intact','white',62.3,'2'
'Professional-Salaried','Laborer-Manufacturing','intact','white',15.2,'1'
'Professional-Salaried','Laborer-Nonmanufacturing','intact','white',23.4,'2'
'Professional-Salaried','Farmer/Farm_Manager','intact','white',3.3,'1'
'Professional-Salaried','Farm_Laborer','intact','white',11.1,'1'
'Manager','Professional_Self-Employed','intact','white',12.8,'2'
'Manager','Professional-Salaried','intact','white',293.2,'2'
'Manager','Manager','intact','white',112.8,'2'
'Manager','Salesman-Nonretail','intact','white',82,'2'
'Manager','Proprietor','intact','white',4.4,'2'
'Manager','Clerk','intact','white',128.1,'2'
'Manager','Salesman-Retail','intact','white',59,'2'
'Manager','Craftsman-Manufacturing','intact','white',35.4,'2'
'Manager','Craftsmen-Other','intact','white',49.8,'2'
'Manager','Craftsman-Construction','intact','white',28.5,'2'
'Manager','Service_Worker','intact','white',28.6,'2'
'Manager','Operative-Nonmanufacturing','intact','white',72.9,'2'
'Manager','Operative-Manufacturing','intact','white',82.9,'2'
'Manager','Laborer-Manufacturing','intact','white',13,'1'
'Manager','Laborer-Nonmanufacturing','intact','white',52.8,'2'
'Manager','Farmer/Farm_Manager','intact','white',5.4,'1'
'Manager','Farm_Laborer','intact','white',5.2,'1'
'Salesman-Nonretail','Professional_Self-Employed','intact','white',6.5,'1'
'Salesman-Nonretail','Professional-Salaried','intact','white',114,'2'
'Salesman-Nonretail','Manager','intact','white',29.1,'2'
'Salesman-Nonretail','Salesman-Nonretail','intact','white',40.5,'2'
'Salesman-Nonretail','Proprietor','intact','white',1.7,'1'
'Salesman-Nonretail','Clerk','intact','white',67.9,'2'
'Salesman-Nonretail','Salesman-Retail','intact','white',26.3,'2'
'Salesman-Nonretail','Craftsman-Manufacturing','intact','white',12.4,'2'
'Salesman-Nonretail','Craftsmen-Other','intact','white',23.1,'2'
'Salesman-Nonretail','Craftsman-Construction','intact','white',6.1,'1'
'Salesman-Nonretail','Service_Worker','intact','white',9.5,'2'
'Salesman-Nonretail','Operative-Nonmanufacturing','intact','white',26.7,'2'
'Salesman-Nonretail','Operative-Manufacturing','intact','white',30.2,'2'
'Salesman-Nonretail','Laborer-Manufacturing','intact','white',4.7,'1'
'Salesman-Nonretail','Laborer-Nonmanufacturing','intact','white',18.9,'1'
'Salesman-Nonretail','Farmer/Farm_Manager','intact','white',1.3,'1'
'Salesman-Nonretail','Farm_Laborer','intact','white',4,'1'
'Proprietor','Professional_Self-Employed','intact','white',16.2,'2'
'Proprietor','Professional-Salaried','intact','white',165.7,'2'
'Proprietor','Manager','intact','white',58.4,'2'
'Proprietor','Salesman-Nonretail','intact','white',46,'2'
'Proprietor','Proprietor','intact','white',29.1,'2'
'Proprietor','Clerk','intact','white',97.1,'2'
'Proprietor','Salesman-Retail','intact','white',76.1,'2'
'Proprietor','Craftsman-Manufacturing','intact','white',29,'2'
'Proprietor','Craftsmen-Other','intact','white',41.6,'2'
'Proprietor','Craftsman-Construction','intact','white',30.8,'2'
'Proprietor','Service_Worker','intact','white',23.6,'2'
'Proprietor','Operative-Nonmanufacturing','intact','white',59.7,'2'
'Proprietor','Operative-Manufacturing','intact','white',79.5,'2'
'Proprietor','Laborer-Manufacturing','intact','white',19.1,'1'
'Proprietor','Laborer-Nonmanufacturing','intact','white',54.5,'2'
'Proprietor','Farmer/Farm_Manager','intact','white',11,'1'
'Proprietor','Farm_Laborer','intact','white',11.5,'1'
'Clerk','Professional_Self-Employed','intact','white',1.9,'1'
'Clerk','Professional-Salaried','intact','white',154.3,'2'
'Clerk','Manager','intact','white',32.7,'2'
'Clerk','Salesman-Nonretail','intact','white',22.2,'2'
'Clerk','Proprietor','intact','white',4.1,'1'
'Clerk','Clerk','intact','white',110.3,'2'
'Clerk','Salesman-Retail','intact','white',27.3,'1'
'Clerk','Craftsman-Manufacturing','intact','white',16.6,'2'
'Clerk','Craftsmen-Other','intact','white',36.9,'2'
'Clerk','Craftsman-Construction','intact','white',9.8,'2'
'Clerk','Service_Worker','intact','white',15.1,'2'
'Clerk','Operative-Nonmanufacturing','intact','white',52,'2'
'Clerk','Operative-Manufacturing','intact','white',63.2,'2'
'Clerk','Laborer-Manufacturing','intact','white',19.6,'1'
'Clerk','Laborer-Nonmanufacturing','intact','white',27.8,'2'
'Clerk','Farmer/Farm_Manager','intact','white',2.3,'1'
'Clerk','Farm_Laborer','intact','white',8.9,'1'
'Salesman-Retail','Professional_Self-Employed','intact','white',4.7,'2'
'Salesman-Retail','Professional-Salaried','intact','white',60,'2'
'Salesman-Retail','Manager','intact','white',16.4,'2'
'Salesman-Retail','Salesman-Nonretail','intact','white',17.3,'2'
'Salesman-Retail','Proprietor','intact','white',2.3,'2'
'Salesman-Retail','Clerk','intact','white',44.2,'2'
'Salesman-Retail','Salesman-Retail','intact','white',38.1,'1'
'Salesman-Retail','Craftsman-Manufacturing','intact','white',10.3,'1'
'Salesman-Retail','Craftsmen-Other','intact','white',16.7,'2'
'Salesman-Retail','Craftsman-Construction','intact','white',5.9,'1'
'Salesman-Retail','Service_Worker','intact','white',7.4,'1'
'Salesman-Retail','Operative-Nonmanufacturing','intact','white',34.7,'1'
'Salesman-Retail','Operative-Manufacturing','intact','white',35.5,'2'
'Salesman-Retail','Laborer-Manufacturing','intact','white',9.8,'1'
'Salesman-Retail','Laborer-Nonmanufacturing','intact','white',10.5,'1'
'Salesman-Retail','Farmer/Farm_Manager','intact','white',2.9,'1'
'Salesman-Retail','Farm_Laborer','intact','white',3.1,'1'
'Craftsman-Manufacturing','Professional_Self-Employed','intact','white',7.3,'1'
'Craftsman-Manufacturing','Professional-Salaried','intact','white',193.8,'2'
'Craftsman-Manufacturing','Manager','intact','white',46.6,'2'
'Craftsman-Manufacturing','Salesman-Nonretail','intact','white',31.4,'2'
'Craftsman-Manufacturing','Proprietor','intact','white',2.3,'2'
'Craftsman-Manufacturing','Clerk','intact','white',157.7,'2'
'Craftsman-Manufacturing','Salesman-Retail','intact','white',46.4,'2'
'Craftsman-Manufacturing','Craftsman-Manufacturing','intact','white',138.3,'2'
'Craftsman-Manufacturing','Craftsmen-Other','intact','white',61.3,'2'
'Craftsman-Manufacturing','Craftsman-Construction','intact','white',25.8,'2'
'Craftsman-Manufacturing','Service_Worker','intact','white',50.7,'2'
'Craftsman-Manufacturing','Operative-Nonmanufacturing','intact','white',91.9,'2'
'Craftsman-Manufacturing','Operative-Manufacturing','intact','white',236.9,'2'
'Craftsman-Manufacturing','Laborer-Manufacturing','intact','white',72.8,'2'
'Craftsman-Manufacturing','Laborer-Nonmanufacturing','intact','white',66.1,'2'
'Craftsman-Manufacturing','Farmer/Farm_Manager','intact','white',7.3,'1'
'Craftsman-Manufacturing','Farm_Laborer','intact','white',11.9,'1'
'Craftsmen-Other','Professional_Self-Employed','intact','white',6.4,'1'
'Craftsmen-Other','Professional-Salaried','intact','white',194.2,'2'
'Craftsmen-Other','Manager','intact','white',46.6,'2'
'Craftsmen-Other','Salesman-Nonretail','intact','white',33.2,'2'
'Craftsmen-Other','Proprietor','intact','white',2.7,'2'
'Craftsmen-Other','Clerk','intact','white',152.6,'2'
'Craftsmen-Other','Salesman-Retail','intact','white',48.5,'2'
'Craftsmen-Other','Craftsman-Manufacturing','intact','white',58.2,'2'
'Craftsmen-Other','Craftsmen-Other','intact','white',180.7,'2'
'Craftsmen-Other','Craftsman-Construction','intact','white',45.6,'2'
'Craftsmen-Other','Service_Worker','intact','white',43.5,'2'
'Craftsmen-Other','Operative-Nonmanufacturing','intact','white',163.7,'2'
'Craftsmen-Other','Operative-Manufacturing','intact','white',148.3,'2'
'Craftsmen-Other','Laborer-Manufacturing','intact','white',35,'2'
'Craftsmen-Other','Laborer-Nonmanufacturing','intact','white',99.5,'2'
'Craftsmen-Other','Farmer/Farm_Manager','intact','white',5.9,'1'
'Craftsmen-Other','Farm_Laborer','intact','white',26.9,'1'
'Craftsman-Construction','Professional_Self-Employed','intact','white',5.8,'1'
'Craftsman-Construction','Professional-Salaried','intact','white',120.3,'2'
'Craftsman-Construction','Manager','intact','white',26.7,'2'
'Craftsman-Construction','Salesman-Nonretail','intact','white',18.2,'2'
'Craftsman-Construction','Proprietor','intact','white',5.1,'2'
'Craftsman-Construction','Clerk','intact','white',112.9,'2'
'Craftsman-Construction','Salesman-Retail','intact','white',47,'2'
'Craftsman-Construction','Craftsman-Manufacturing','intact','white',45.7,'2'
'Craftsman-Construction','Craftsmen-Other','intact','white',62.6,'2'
'Craftsman-Construction','Craftsman-Construction','intact','white',154.3,'2'
'Craftsman-Construction','Service_Worker','intact','white',33.5,'2'
'Craftsman-Construction','Operative-Nonmanufacturing','intact','white',115.6,'2'
'Craftsman-Construction','Operative-Manufacturing','intact','white',131.8,'2'
'Craftsman-Construction','Laborer-Manufacturing','intact','white',33.8,'1'
'Craftsman-Construction','Laborer-Nonmanufacturing','intact','white',106.5,'2'
'Craftsman-Construction','Farmer/Farm_Manager','intact','white',4.2,'1'
'Craftsman-Construction','Farm_Laborer','intact','white',33.1,'1'
'Service_Worker','Professional_Self-Employed','intact','white',3.3,'1'
'Service_Worker','Professional-Salaried','intact','white',72.7,'2'
'Service_Worker','Manager','intact','white',30,'2'
'Service_Worker','Salesman-Nonretail','intact','white',17.7,'2'
'Service_Worker','Proprietor','intact','white',1.7,'2'
'Service_Worker','Clerk','intact','white',96.9,'2'
'Service_Worker','Salesman-Retail','intact','white',28.2,'2'
'Service_Worker','Craftsman-Manufacturing','intact','white',33.7,'2'
'Service_Worker','Craftsmen-Other','intact','white',31.7,'2'
'Service_Worker','Craftsman-Construction','intact','white',14.8,'2'
'Service_Worker','Service_Worker','intact','white',44.1,'2'
'Service_Worker','Operative-Nonmanufacturing','intact','white',55.9,'2'
'Service_Worker','Operative-Manufacturing','intact','white',81.5,'2'
'Service_Worker','Laborer-Manufacturing','intact','white',20.9,'1'
'Service_Worker','Laborer-Nonmanufacturing','intact','white',36.6,'2'
'Service_Worker','Farmer/Farm_Manager','intact','white',4.5,'1'
'Service_Worker','Farm_Laborer','intact','white',8.6,'1'
'Operative-Nonmanufacturing','Professional_Self-Employed','intact','white',3.8,'1'
'Operative-Nonmanufacturing','Professional-Salaried','intact','white',117,'2'
'Operative-Nonmanufacturing','Manager','intact','white',23.3,'2'
'Operative-Nonmanufacturing','Salesman-Nonretail','intact','white',15.5,'2'
'Operative-Nonmanufacturing','Proprietor','intact','white',5.4,'2'
'Operative-Nonmanufacturing','Clerk','intact','white',149.3,'2'
'Operative-Nonmanufacturing','Salesman-Retail','intact','white',58,'2'
'Operative-Nonmanufacturing','Craftsman-Manufacturing','intact','white',42.9,'2'
'Operative-Nonmanufacturing','Craftsmen-Other','intact','white',84.8,'2'
'Operative-Nonmanufacturing','Craftsman-Construction','intact','white',41.1,'2'
'Operative-Nonmanufacturing','Service_Worker','intact','white',51.6,'2'
'Operative-Nonmanufacturing','Operative-Nonmanufacturing','intact','white',307.9,'2'
'Operative-Nonmanufacturing','Operative-Manufacturing','intact','white',195.6,'2'
'Operative-Nonmanufacturing','Laborer-Manufacturing','intact','white',54,'2'
'Operative-Nonmanufacturing','Laborer-Nonmanufacturing','intact','white',117.2,'2'
'Operative-Nonmanufacturing','Farmer/Farm_Manager','intact','white',8.7,'1'
'Operative-Nonmanufacturing','Farm_Laborer','intact','white',44.5,'1'
'Operative-Manufacturing','Professional_Self-Employed','intact','white',7.9,'1'
'Operative-Manufacturing','Professional-Salaried','intact','white',127.9,'2'
'Operative-Manufacturing','Manager','intact','white',26.6,'2'
'Operative-Manufacturing','Salesman-Nonretail','intact','white',19.9,'2'
'Operative-Manufacturing','Proprietor','intact','white',0.5,'2'
'Operative-Manufacturing','Clerk','intact','white',147.2,'2'
'Operative-Manufacturing','Salesman-Retail','intact','white',64,'2'
'Operative-Manufacturing','Craftsman-Manufacturing','intact','white',87.4,'2'
'Operative-Manufacturing','Craftsmen-Other','intact','white',74.2,'2'
'Operative-Manufacturing','Craftsman-Construction','intact','white',25.5,'2'
'Operative-Manufacturing','Service_Worker','intact','white',57.1,'2'
'Operative-Manufacturing','Operative-Nonmanufacturing','intact','white',124,'2'
'Operative-Manufacturing','Operative-Manufacturing','intact','white',427.4,'2'
'Operative-Manufacturing','Laborer-Manufacturing','intact','white',88.7,'2'
'Operative-Manufacturing','Laborer-Nonmanufacturing','intact','white',81.9,'2'
'Operative-Manufacturing','Farmer/Farm_Manager','intact','white',6.8,'1'
'Operative-Manufacturing','Farm_Laborer','intact','white',29.9,'1'
'Laborer-Manufacturing','Professional_Self-Employed','intact','white',2.3,'1'
'Laborer-Manufacturing','Professional-Salaried','intact','white',24.4,'2'
'Laborer-Manufacturing','Manager','intact','white',3.1,'2'
