@relation aux
@attribute NOx numeric
@attribute C numeric
@attribute class {'1','2'}
@data
3.741,12,'1'
2.295,12,'1'
1.498,12,'2'
2.881,12,'2'
0.76,12,'2'
3.12,9,'2'
0.638,9,'2'
1.17,9,'2'
2.358,12,'2'
0.606,12,'2'
3.669,12,'2'
1,12,'2'
0.981,15,'2'
1.192,18,'1'
0.926,7.5,'1'
1.59,12,'1'
1.806,12,'2'
1.962,15,'2'
4.028,15,'2'
3.148,9,'1'
1.836,9,'2'
2.845,7.5,'2'
1.013,7.5,'2'
0.414,18,'2'
0.812,18,'2'
0.374,15,'1'
3.623,15,'2'
1.869,7.5,'1'
2.836,7.5,'2'
3.567,9,'1'
0.866,15,'2'
1.369,15,'1'
0.542,15,'2'
2.739,15,'2'
1.2,15,'2'
1.719,9,'2'
3.423,9,'1'
1.634,7.5,'1'
1.021,7.5,'2'
2.157,7.5,'2'
3.361,18,'1'
1.39,18,'2'
1.947,18,'2'
0.962,18,'2'
0.571,9,'1'
2.219,9,'1'
1.419,9,'1'
3.519,9,'1'
1.732,7.5,'1'
3.206,7.5,'1'
2.471,7.5,'1'
1.777,15,'1'
2.571,18,'2'
3.952,18,'2'
3.931,15,'1'
1.587,15,'1'
1.397,7.5,'1'
3.536,7.5,'1'
2.202,7.5,'1'
0.756,7.5,'2'
1.62,7.5,'1'
3.656,7.5,'1'
2.964,7.5,'2'
3.76,18,'1'
0.672,18,'2'
3.677,18,'1'
3.517,12,'1'
3.29,12,'2'
1.139,9,'1'
0.727,9,'2'
2.581,9,'2'
0.923,15,'1'
1.527,15,'1'
3.388,15,'1'
2.085,15,'2'
0.966,15,'2'
3.488,7.5,'1'
0.754,7.5,'2'
0.797,9,'2'
2.064,7.5,'1'
3.732,18,'2'
0.586,18,'2'
0.561,7.5,'1'
0.563,9,'1'
0.678,12,'1'
0.37,15,'1'
0.53,18,'1'
1.9,18,'1'
