@relation aux
@attribute group {'1','2','3','4','5','6','7','8','9','10','11','12','13','14','15','16','17','18','19','20','21','22','23','24','25','26','27','28','29','30','31','32','33','34','35','36','37','38','39','40','41','42','43'}
@attribute conc numeric
@attribute age numeric
@attribute at.risk numeric
@attribute class {'1','2'}
@data
'1',0,22.5,2956638,'2'
'1',0,27.5,2175046,'2'
'1',0,32.5,1580019,'2'
'1',0,37.5,1320637,'2'
'1',0,42.5,1327866,'2'
'1',0,47.5,1334769,'2'
'1',0,52.5,1214443,'2'
'1',0,57.5,977820,'2'
'1',0,62.5,739460,'2'
'1',0,67.5,520965,'2'
'1',0,72.5,320158,'2'
'1',0,77.5,158750,'2'
'1',0,82.5,63236,'2'
'2',10,22.5,1128,'1'
'2',10,27.5,634,'1'
'2',10,32.5,389,'1'
'2',10,37.5,313,'1'
'2',10,42.5,364,'1'
'2',10,47.5,410,'1'
'2',10,52.5,325,'1'
'2',10,57.5,227,'1'
'2',10,62.5,141,'1'
'2',10,67.5,104,'1'
'2',10,72.5,63,'1'
'2',10,77.5,39,'1'
'2',10,82.5,22,'1'
'3',11,22.5,904,'1'
'3',11,27.5,545,'1'
'3',11,32.5,270,'1'
'3',11,37.5,283,'1'
'3',11,42.5,241,'1'
'3',11,47.5,298,'1'
'3',11,52.5,280,'1'
'3',11,57.5,218,'1'
'3',11,62.5,168,'1'
'3',11,67.5,138,'1'
'3',11,72.5,124,'1'
'3',11,77.5,33,'1'
'3',11,82.5,27,'1'
'4',30,22.5,1187,'1'
'4',30,27.5,782,'1'
'4',30,32.5,549,'1'
'4',30,37.5,472,'1'
'4',30,42.5,469,'1'
'4',30,47.5,421,'1'
'4',30,52.5,379,'1'
'4',30,57.5,323,'2'
'4',30,62.5,312,'1'
'4',30,67.5,232,'1'
'4',30,72.5,157,'1'
'4',30,77.5,60,'1'
'4',30,82.5,45,'1'
'5',32,22.5,1792,'1'
'5',32,27.5,1217,'1'
'5',32,32.5,854,'1'
'5',32,37.5,745,'1'
'5',32,42.5,733,'1'
'5',32,47.5,671,'1'
'5',32,52.5,570,'1'
'5',32,57.5,463,'1'
'5',32,62.5,317,'1'
'5',32,67.5,220,'1'
'5',32,72.5,159,'1'
'5',32,77.5,59,'2'
'5',32,82.5,51,'1'
'6',32,22.5,584,'1'
'6',32,27.5,393,'1'
'6',32,32.5,237,'1'
'6',32,37.5,222,'1'
'6',32,42.5,232,'1'
'6',32,47.5,216,'1'
'6',32,52.5,194,'1'
'6',32,57.5,162,'1'
'6',32,62.5,173,'1'
'6',32,67.5,122,'1'
'6',32,72.5,88,'1'
'6',32,77.5,38,'2'
'6',32,82.5,28,'1'
'7',42,22.5,2188,'1'
'7',42,27.5,1509,'1'
'7',42,32.5,1065,'1'
'7',42,37.5,1036,'1'
'7',42,42.5,1051,'1'
'7',42,47.5,951,'1'
'7',42,52.5,820,'1'
'7',42,57.5,637,'1'
'7',42,62.5,511,'1'
'7',42,67.5,408,'1'
'7',42,72.5,247,'1'
'7',42,77.5,122,'1'
'7',42,82.5,84,'1'
'8',45,22.5,1981,'1'
'8',45,27.5,1203,'1'
'8',45,32.5,719,'1'
'8',45,37.5,574,'1'
'8',45,42.5,644,'1'
'8',45,47.5,709,'1'
'8',45,52.5,637,'1'
'8',45,57.5,458,'1'
'8',45,62.5,282,'1'
'8',45,67.5,157,'1'
'8',45,72.5,155,'1'
'8',45,77.5,122,'1'
'8',45,82.5,75,'1'
'9',50,22.5,1468,'1'
'9',50,27.5,807,'1'
'9',50,32.5,553,'1'
'9',50,37.5,508,'1'
'9',50,42.5,619,'1'
'9',50,47.5,621,'1'
'9',50,52.5,485,'1'
'9',50,57.5,359,'1'
'9',50,62.5,325,'1'
'9',50,67.5,247,'1'
'9',50,72.5,235,'1'
'9',50,77.5,155,'1'
'9',50,82.5,119,'1'
'10',56,22.5,1543,'1'
'10',56,27.5,777,'1'
'10',56,32.5,464,'1'
'10',56,37.5,499,'1'
'10',56,42.5,617,'1'
'10',56,47.5,898,'1'
'10',56,52.5,460,'1'
'10',56,57.5,373,'1'
'10',56,62.5,244,'1'
'10',56,67.5,174,'1'
'10',56,72.5,97,'1'
'10',56,77.5,41,'1'
'10',56,82.5,51,'1'
'11',60,22.5,2527,'1'
'11',60,27.5,1443,'1'
'11',60,32.5,816,'1'
'11',60,37.5,747,'1'
'11',60,42.5,902,'1'
'11',60,47.5,944,'1'
'11',60,52.5,810,'1'
'11',60,57.5,607,'1'
'11',60,62.5,475,'1'
'11',60,67.5,381,'1'
'11',60,72.5,249,'1'
'11',60,77.5,146,'1'
'11',60,82.5,60,'1'
'12',65,22.5,1563,'1'
'12',65,27.5,944,'1'
'12',65,32.5,592,'1'
'12',65,37.5,498,'1'
'12',65,42.5,583,'1'
'12',65,47.5,512,'1'
'12',65,52.5,426,'1'
'12',65,57.5,382,'1'
'12',65,62.5,377,'1'
'12',65,67.5,314,'1'
'12',65,72.5,183,'1'
'12',65,77.5,120,'1'
'12',65,82.5,80,'1'
'13',73,22.5,2796,'1'
'13',73,27.5,1759,'1'
'13',73,32.5,1302,'1'
'13',73,37.5,1289,'1'
'13',73,42.5,1401,'1'
'13',73,47.5,1066,'1'
'13',73,52.5,864,'1'
'13',73,57.5,653,'1'
'13',73,62.5,550,'1'
'13',73,67.5,442,'1'
'13',73,72.5,350,'1'
'13',73,77.5,214,'1'
'13',73,82.5,81,'1'
'14',80,22.5,2477,'1'
'14',80,27.5,1667,'1'
'14',80,32.5,939,'1'
'14',80,37.5,782,'1'
'14',80,42.5,878,'1'
'14',80,47.5,1028,'1'
'14',80,52.5,1147,'1'
'14',80,57.5,1030,'1'
'14',80,62.5,589,'1'
'14',80,67.5,348,'1'
'14',80,72.5,223,'1'
'14',80,77.5,113,'1'
'14',80,82.5,86,'1'
'15',100,22.5,1613,'1'
'15',100,27.5,1042,'1'
'15',100,32.5,638,'1'
'15',100,37.5,510,'1'
'15',100,42.5,624,'1'
'15',100,47.5,628,'1'
'15',100,52.5,513,'1'
'15',100,57.5,405,'1'
'15',100,62.5,326,'1'
'15',100,67.5,252,'1'
'15',100,72.5,169,'1'
'15',100,77.5,107,'1'
'15',100,82.5,68,'1'
'16',110,22.5,1508,'1'
'16',110,27.5,809,'1'
'16',110,32.5,522,'1'
'16',110,37.5,582,'1'
'16',110,42.5,519,'1'
'16',110,47.5,506,'1'
'16',110,52.5,404,'2'
'16',110,57.5,316,'1'
'16',110,62.5,243,'1'
'16',110,67.5,170,'2'
'16',110,72.5,113,'1'
'16',110,77.5,39,'1'
'16',110,82.5,22,'1'
'17',110,22.5,1044,'1'
'17',110,27.5,639,'1'
'17',110,32.5,363,'1'
'17',110,37.5,390,'1'
'17',110,42.5,392,'1'
'17',110,47.5,408,'1'
'17',110,52.5,295,'1'
'17',110,57.5,238,'1'
'17',110,62.5,205,'1'
'17',110,67.5,116,'1'
'17',110,72.5,101,'1'
'17',110,77.5,41,'1'
'17',110,82.5,17,'1'
'18',123,22.5,1022,'1'
'18',123,27.5,682,'1'
'18',123,32.5,429,'1'
'18',123,37.5,492,'1'
'18',123,42.5,454,'1'
'18',123,47.5,394,'1'
'18',123,52.5,286,'1'
'18',123,57.5,266,'1'
'18',123,62.5,252,'1'
'18',123,67.5,192,'1'
'18',123,72.5,101,'1'
'18',123,77.5,90,'1'
'18',123,82.5,49,'1'
'19',126,22.5,1616,'1'
'19',126,27.5,897,'1'
'19',126,32.5,516,'1'
'19',126,37.5,485,'1'
'19',126,42.5,588,'1'
'19',126,47.5,555,'1'
'19',126,52.5,474,'1'
'19',126,57.5,411,'1'
'19',126,62.5,345,'1'
'19',126,67.5,285,'1'
'19',126,72.5,184,'1'
'19',126,77.5,104,'1'
'19',126,82.5,48,'1'
'20',256,22.5,2506,'1'
'20',256,27.5,1455,'1'
'20',256,32.5,923,'1'
'20',256,37.5,796,'1'
'20',256,42.5,929,'1'
'20',256,47.5,853,'1'
'20',256,52.5,708,'1'
'20',256,57.5,510,'1'
'20',256,62.5,392,'1'
'20',256,67.5,275,'1'
'20',256,72.5,202,'1'
'20',256,77.5,111,'1'
'20',256,82.5,42,'1'
'21',256,22.5,1036,'1'
'21',256,27.5,511,'1'
'21',256,32.5,249,'1'
'21',256,37.5,277,'1'
'21',256,42.5,255,'1'
'21',256,47.5,281,'1'
'21',256,52.5,353,'1'
'21',256,57.5,226,'1'
'21',256,62.5,204,'1'
'21',256,67.5,201,'1'
'21',256,72.5,153,'1'
'21',256,77.5,83,'1'
'21',256,82.5,43,'1'
'22',259,22.5,1425,'1'
'22',259,27.5,773,'1'
'22',259,32.5,468,'1'
'22',259,37.5,379,'1'
'22',259,42.5,457,'1'
'22',259,47.5,439,'1'
'22',259,52.5,403,'1'
'22',259,57.5,374,'1'
'22',259,62.5,346,'1'
'22',259,67.5,237,'1'
'22',259,72.5,143,'1'
'22',259,77.5,75,'1'
'22',259,82.5,61,'1'
'23',307,22.5,733,'1'
'23',307,27.5,398,'1'
'23',307,32.5,202,'1'
'23',307,37.5,213,'1'
'23',307,42.5,272,'1'
'23',307,47.5,292,'1'
'23',307,52.5,239,'1'
'23',307,57.5,154,'1'
'23',307,62.5,169,'1'
'23',307,67.5,140,'1'
'23',307,72.5,85,'1'
'23',307,77.5,32,'1'
'23',307,82.5,24,'1'
'24',307,22.5,1231,'1'
'24',307,27.5,740,'1'
'24',307,32.5,501,'1'
'24',307,37.5,514,'1'
'24',307,42.5,563,'1'
'24',307,47.5,539,'1'
'24',307,52.5,440,'1'
'24',307,57.5,300,'1'
'24',307,62.5,212,'1'
'24',307,67.5,131,'1'
'24',307,72.5,90,'1'
'24',307,77.5,66,'2'
'24',307,82.5,37,'1'
'25',350,22.5,1024,'1'
'25',350,27.5,551,'1'
'25',350,32.5,346,'1'
'25',350,37.5,291,'1'
'25',350,42.5,351,'1'
'25',350,47.5,334,'1'
'25',350,52.5,259,'1'
'25',350,57.5,204,'1'
'25',350,62.5,143,'1'
'25',350,67.5,176,'1'
'25',350,72.5,122,'1'
'25',350,77.5,55,'1'
'25',350,82.5,56,'1'
'26',398,22.5,745,'1'
'26',398,27.5,380,'1'
'26',398,32.5,269,'1'
'26',398,37.5,218,'1'
'26',398,42.5,250,'1'
'26',398,47.5,327,'1'
'26',398,52.5,294,'1'
'26',398,57.5,224,'1'
'26',398,62.5,167,'1'
'26',398,67.5,103,'1'
'26',398,72.5,60,'1'
'26',398,77.5,19,'1'
'26',398,82.5,13,'1'
'27',406,22.5,1203,'1'
'27',406,27.5,570,'1'
'27',406,32.5,311,'1'
'27',406,37.5,342,'1'
'27',406,42.5,341,'1'
'27',406,47.5,442,'1'
'27',406,52.5,336,'1'
'27',406,57.5,319,'1'
'27',406,62.5,249,'1'
'27',406,67.5,201,'1'
'27',406,72.5,104,'1'
'27',406,77.5,36,'1'
'27',406,82.5,28,'1'
'28',448,22.5,1164,'1'
'28',448,27.5,592,'1'
