@relation aux
@attribute group {'1','2','3','4','5','6','7','8','9','10','11','12','13','14','15','16','17','18','19','20','21','22','23','24','25','26','27','28','29','30','31','32','33','34','35','36','37','38','39','40','41','42','43'}
@attribute conc numeric
@attribute age numeric
@attribute at.risk numeric
@attribute class {'1','2'}
@data
'1',0,22.5,2595529,'1'
'1',0,27.5,1846189,'2'
'1',0,32.5,1402764,'1'
'1',0,37.5,1215899,'2'
'1',0,42.5,1191615,'2'
'1',0,47.5,1111810,'2'
'1',0,52.5,957985,'2'
'1',0,57.5,774836,'2'
'1',0,62.5,634758,'2'
'1',0,67.5,492203,'2'
'1',0,72.5,342767,'2'
'1',0,77.5,199630,'2'
'1',0,82.5,96293,'2'
'2',10,22.5,934,'1'
'2',10,27.5,489,'1'
'2',10,32.5,276,'1'
'2',10,37.5,317,'1'
'2',10,42.5,374,'1'
'2',10,47.5,435,'2'
'2',10,52.5,342,'1'
'2',10,57.5,277,'2'
'2',10,62.5,203,'2'
'2',10,67.5,175,'1'
'2',10,72.5,105,'2'
'2',10,77.5,78,'2'
'2',10,82.5,38,'1'
'3',11,22.5,666,'1'
'3',11,27.5,267,'1'
'3',11,32.5,310,'1'
'3',11,37.5,221,'1'
'3',11,42.5,311,'1'
'3',11,47.5,292,'1'
'3',11,52.5,295,'1'
'3',11,57.5,265,'1'
'3',11,62.5,203,'1'
'3',11,67.5,143,'1'
'3',11,72.5,93,'1'
'3',11,77.5,69,'1'
'3',11,82.5,59,'1'
'4',30,22.5,1003,'1'
'4',30,27.5,591,'1'
'4',30,32.5,481,'1'
'4',30,37.5,405,'1'
'4',30,42.5,462,'1'
'4',30,47.5,397,'1'
'4',30,52.5,392,'1'
'4',30,57.5,353,'1'
'4',30,62.5,317,'1'
'4',30,67.5,199,'2'
'4',30,72.5,115,'1'
'4',30,77.5,71,'2'
'4',30,82.5,75,'1'
'5',32,22.5,1545,'1'
'5',32,27.5,865,'1'
'5',32,32.5,673,'1'
'5',32,37.5,709,'1'
'5',32,42.5,744,'1'
'5',32,47.5,644,'1'
'5',32,52.5,563,'2'
'5',32,57.5,439,'1'
'5',32,62.5,318,'1'
'5',32,67.5,238,'2'
'5',32,72.5,167,'1'
'5',32,77.5,92,'1'
'5',32,82.5,36,'2'
'6',32,22.5,469,'1'
'6',32,27.5,260,'1'
'6',32,32.5,198,'1'
'6',32,37.5,199,'1'
'6',32,42.5,183,'1'
'6',32,47.5,227,'1'
'6',32,52.5,162,'1'
'6',32,57.5,219,'1'
'6',32,62.5,194,'1'
'6',32,67.5,126,'1'
'6',32,72.5,77,'2'
'6',32,77.5,35,'2'
'6',32,82.5,43,'2'
'7',42,22.5,2063,'1'
'7',42,27.5,1267,'1'
'7',42,32.5,1101,'1'
'7',42,37.5,1038,'1'
'7',42,42.5,984,'1'
'7',42,47.5,932,'1'
'7',42,52.5,738,'1'
'7',42,57.5,567,'1'
'7',42,62.5,497,'1'
'7',42,67.5,427,'1'
'7',42,72.5,321,'1'
'7',42,77.5,178,'1'
'7',42,82.5,114,'1'
'8',45,22.5,1432,'1'
'8',45,27.5,830,'1'
'8',45,32.5,553,'1'
'8',45,37.5,520,'1'
'8',45,42.5,650,'1'
'8',45,47.5,710,'1'
'8',45,52.5,662,'1'
'8',45,57.5,456,'1'
'8',45,62.5,320,'1'
'8',45,67.5,232,'1'
'8',45,72.5,213,'1'
'8',45,77.5,129,'1'
'8',45,82.5,113,'1'
'9',50,22.5,1100,'1'
'9',50,27.5,603,'1'
'9',50,32.5,436,'1'
'9',50,37.5,525,'1'
'9',50,42.5,624,'1'
'9',50,47.5,636,'1'
'9',50,52.5,466,'1'
'9',50,57.5,366,'1'
'9',50,62.5,370,'1'
'9',50,67.5,309,'1'
'9',50,72.5,214,'1'
'9',50,77.5,111,'1'
'9',50,82.5,128,'1'
'10',56,22.5,1105,'1'
'10',56,27.5,480,'1'
'10',56,32.5,414,'1'
'10',56,37.5,466,'1'
'10',56,42.5,582,'1'
'10',56,47.5,563,'1'
'10',56,52.5,447,'1'
'10',56,57.5,365,'2'
'10',56,62.5,283,'2'
'10',56,67.5,168,'1'
'10',56,72.5,125,'2'
'10',56,77.5,57,'1'
'10',56,82.5,39,'1'
'11',60,22.5,1893,'1'
'11',60,27.5,1032,'1'
'11',60,32.5,668,'1'
'11',60,37.5,787,'1'
'11',60,42.5,950,'1'
'11',60,47.5,878,'2'
'11',60,52.5,807,'1'
'11',60,57.5,629,'1'
'11',60,62.5,559,'1'
'11',60,67.5,455,'1'
'11',60,72.5,298,'1'
'11',60,77.5,150,'2'
'11',60,82.5,121,'1'
'12',65,22.5,1199,'1'
'12',65,27.5,587,'1'
'12',65,32.5,451,'1'
'12',65,37.5,491,'1'
'12',65,42.5,521,'1'
'12',65,47.5,553,'1'
'12',65,52.5,537,'1'
'12',65,57.5,487,'1'
'12',65,62.5,404,'1'
'12',65,67.5,299,'1'
'12',65,72.5,197,'1'
'12',65,77.5,103,'1'
'12',65,82.5,98,'1'
'13',73,22.5,2394,'1'
'13',73,27.5,1360,'1'
'13',73,32.5,1183,'1'
'13',73,37.5,1209,'2'
'13',73,42.5,1261,'1'
'13',73,47.5,1046,'1'
'13',73,52.5,853,'1'
'13',73,57.5,725,'1'
'13',73,62.5,671,'1'
'13',73,67.5,546,'1'
'13',73,72.5,355,'1'
'13',73,77.5,192,'1'
'13',73,82.5,142,'1'
'14',80,22.5,2149,'1'
'14',80,27.5,1318,'1'
'14',80,32.5,1018,'1'
'14',80,37.5,857,'1'
'14',80,42.5,988,'1'
'14',80,47.5,1018,'1'
'14',80,52.5,879,'1'
'14',80,57.5,709,'1'
'14',80,62.5,483,'1'
'14',80,67.5,417,'1'
'14',80,72.5,220,'1'
'14',80,77.5,137,'1'
'14',80,82.5,139,'1'
'15',100,22.5,1439,'1'
'15',100,27.5,744,'1'
'15',100,32.5,415,'1'
'15',100,37.5,510,'1'
'15',100,42.5,564,'1'
'15',100,47.5,573,'1'
'15',100,52.5,467,'1'
'15',100,57.5,402,'1'
'15',100,62.5,385,'1'
'15',100,67.5,335,'1'
'15',100,72.5,254,'1'
'15',100,77.5,168,'1'
'15',100,82.5,136,'1'
'16',110,22.5,1110,'1'
'16',110,27.5,586,'1'
'16',110,32.5,477,'1'
'16',110,37.5,502,'1'
'16',110,42.5,575,'1'
'16',110,47.5,521,'1'
'16',110,52.5,447,'2'
'16',110,57.5,392,'2'
'16',110,62.5,302,'2'
'16',110,67.5,195,'1'
'16',110,72.5,101,'1'
'16',110,77.5,65,'1'
'16',110,82.5,37,'1'
'17',110,22.5,718,'1'
'17',110,27.5,449,'1'
'17',110,32.5,290,'1'
'17',110,37.5,329,'1'
'17',110,42.5,397,'1'
'17',110,47.5,401,'1'
'17',110,52.5,333,'1'
'17',110,57.5,251,'2'
'17',110,62.5,203,'2'
'17',110,67.5,175,'1'
'17',110,72.5,156,'1'
'17',110,77.5,62,'1'
'17',110,82.5,69,'1'
'18',123,22.5,674,'1'
'18',123,27.5,436,'1'
'18',123,32.5,360,'1'
'18',123,37.5,440,'1'
'18',123,42.5,385,'1'
'18',123,47.5,396,'1'
'18',123,52.5,363,'1'
'18',123,57.5,313,'1'
'18',123,62.5,280,'1'
'18',123,67.5,272,'1'
'18',123,72.5,210,'1'
'18',123,77.5,113,'1'
'18',123,82.5,49,'1'
'19',126,22.5,1196,'1'
'19',126,27.5,501,'1'
'19',126,32.5,443,'1'
'19',126,37.5,510,'1'
'19',126,42.5,609,'1'
'19',126,47.5,610,'1'
'19',126,52.5,544,'1'
'19',126,57.5,453,'1'
'19',126,62.5,408,'2'
'19',126,67.5,295,'1'
'19',126,72.5,226,'1'
'19',126,77.5,142,'1'
'19',126,82.5,89,'1'
'20',256,22.5,1949,'1'
'20',256,27.5,981,'1'
'20',256,32.5,755,'1'
'20',256,37.5,787,'1'
'20',256,42.5,912,'1'
'20',256,47.5,872,'1'
'20',256,52.5,759,'1'
'20',256,57.5,540,'1'
'20',256,62.5,464,'2'
'20',256,67.5,352,'2'
'20',256,72.5,262,'1'
'20',256,77.5,111,'1'
'20',256,82.5,125,'1'
'21',256,22.5,686,'1'
'21',256,27.5,240,'1'
'21',256,32.5,277,'1'
'21',256,37.5,254,'1'
'21',256,42.5,234,'1'
'21',256,47.5,376,'1'
'21',256,52.5,362,'1'
'21',256,57.5,241,'1'
'21',256,62.5,285,'2'
'21',256,67.5,188,'1'
'21',256,72.5,165,'2'
'21',256,77.5,61,'1'
'21',256,82.5,43,'1'
'22',259,22.5,1100,'1'
'22',259,27.5,572,'1'
'22',259,32.5,401,'1'
'22',259,37.5,365,'1'
'22',259,42.5,521,'1'
'22',259,47.5,453,'1'
'22',259,52.5,480,'1'
'22',259,57.5,389,'1'
'22',259,62.5,289,'1'
'22',259,67.5,193,'1'
'22',259,72.5,131,'1'
'22',259,77.5,101,'1'
'22',259,82.5,84,'1'
'23',307,22.5,547,'1'
'23',307,27.5,320,'1'
'23',307,32.5,164,'1'
'23',307,37.5,196,'1'
'23',307,42.5,266,'1'
'23',307,47.5,299,'1'
'23',307,52.5,271,'1'
'23',307,57.5,196,'1'
'23',307,62.5,153,'1'
'23',307,67.5,122,'1'
'23',307,72.5,94,'1'
'23',307,77.5,56,'1'
'23',307,82.5,74,'1'
'24',307,22.5,793,'1'
'24',307,27.5,466,'1'
'24',307,32.5,356,'1'
'24',307,37.5,490,'1'
'24',307,42.5,556,'1'
'24',307,47.5,520,'1'
'24',307,52.5,388,'1'
'24',307,57.5,268,'1'
'24',307,62.5,237,'1'
'24',307,67.5,188,'1'
'24',307,72.5,127,'1'
